planete,type,valeur,vie_actuelle,vie_anterieure
Mercure,Maison_gouvernee,8,"La pensée descend dans les zones de crise, de sexualité, de secrets et de pouvoir. La personne peut chercher à tout comprendre pour ne pas perdre le contrôle.","Mémoire d’occultisme, de secret, de manipulation mentale, de parole dangereuse ou de savoir interdit."
Mercure,Maison_gouvernee,9,"La pensée touche la vérité, les croyances, les études et la transmission. La personne révise son rapport au savoir légitime et aux grandes idées.","Mémoire d’enseignement, de dogme, de jugement, d’exil intellectuel ou de vérité imposée."
Mercure,Maison_gouvernee,10,"La parole et l’intelligence sont liées à la carrière, l’autorité et l’image publique. La personne peut craindre d’être jugée sur ses idées.","Mémoire de fonction publique, d’écriture, de parole officielle, de chute liée à une opinion."
Mercure,Maison_gouvernee,11,"La pensée agit dans les groupes, réseaux et projets. La personne peut réviser sa place dans le collectif par la parole, les idées ou l’engagement intellectuel.","Mémoire de cercle d’étude, de mouvement collectif, d’idéal partagé ou de parole trahie par le groupe."
Mercure,Maison_gouvernee,12,"Le mental fonctionne en retrait, dans l’invisible ou le non-dit. La personne peut ruminer en silence, capter beaucoup et exprimer tardivement.","Mémoire de silence, d’enfermement, de secret, de savoir caché ou de parole interdite."
,,,,
Jupiter,Maison_gouvernee,1,"La croissance, la foi et la légitimité touchent directement l’identité. La personne révise sa manière de prendre de l’espace sans excès ni imposture.","Mémoire de statut, d’autorité morale, d’expansion personnelle ou d’abus de confiance."
Jupiter,Maison_gouvernee,2,"L’expansion concerne les ressources, la valeur et la sécurité. La personne peut osciller entre confiance matérielle et peur de manquer.","Mémoire de richesse, de privilège, de perte matérielle ou de rapport excessif aux possessions."
Jupiter,Maison_gouvernee,3,"La croissance passe par la parole, l’étude et la transmission. La personne révise sa confiance dans sa pensée et sa capacité à enseigner ou convaincre.","Mémoire d’orateur, d’élève, de messager, de dogme transmis ou de parole trop sûre d’elle."
Jupiter,Maison_gouvernee,4,"La foi et la légitimité se rejouent dans la famille et les racines. La personne peut porter une mémoire de clan, de protection ou d’exil.","Mémoire de lignée influente, de foyer protecteur, de transmission religieuse ou de perte d’appartenance."
Jupiter,Maison_gouvernee,5,"L’expansion touche la créativité, l’amour, les enfants et la joie. La personne révise son droit à rayonner, créer ou prendre plaisir.","Mémoire de création reconnue, de privilège amoureux, d’enfant symbolique ou réel, ou d’excès de plaisir."
Jupiter,Maison_gouvernee,6,"La croissance passe par le travail, le service et le corps. La personne peut chercher du sens dans l’utilité, parfois jusqu’à trop donner.","Mémoire de service religieux, de soin, de devoir moral ou de travail vécu comme mission."
Jupiter,Maison_gouvernee,7,"La foi se rejoue dans le couple, les alliances et les contrats. La personne révise ses attentes relationnelles et son besoin de partenaire porteur de sens.","Mémoire d’alliance sociale, spirituelle ou juridique, de mariage de statut ou de confiance trahie."
Jupiter,Maison_gouvernee,8,"L’expansion touche la crise, la fusion, l’héritage, la sexualité et le pouvoir partagé. La personne révise son rapport aux ressources d’autrui et à l’intensité.","Mémoire d’héritage, de dette, de pouvoir spirituel, d’abus de confiance ou d’expansion par les crises."
Jupiter,Maison_gouvernee,9,"La foi, les croyances, les études, l’étranger et la transmission sont au centre. La personne révise son rapport à la vérité et à l’autorité morale.","Mémoire religieuse, philosophique, enseignante ou juridique ; possible excès de certitude dans une autre vie."
Jupiter,Maison_gouvernee,10,"L’expansion concerne la carrière, la reconnaissance et l’autorité. La personne révise son droit à réussir sans se cacher ni se croire au-dessus des autres.","Mémoire de pouvoir social, de prestige, de fonction morale ou de chute par orgueil."
Jupiter,Maison_gouvernee,11,"La croissance passe par les groupes, les projets et la vision collective. La personne révise sa foi dans le collectif et son rôle de guide ou soutien.","Mémoire de communauté, d’idéal social, de groupe religieux ou politique, de promesse collective non tenue."
Jupiter,Maison_gouvernee,12,"La foi agit dans le retrait, l’invisible et l’intériorité. La personne révise son lien au sens, à la solitude, au sacrifice et à la protection invisible.","Mémoire monastique, spirituelle, d’exil, de foi cachée ou de protection reçue dans l’ombre."
,,,,
Saturne,Maison_gouvernee,1,"La structure, la peur et la responsabilité touchent l’identité. La personne peut mûrir lentement dans son droit d’exister et de tenir debout seule.","Mémoire de charge personnelle, d’autorité précoce, de dureté identitaire ou de responsabilité imposée."
Saturne,Maison_gouvernee,2,"La sécurité, le corps, l’argent et la valeur sont soumis à une révision lente. La personne peut craindre le manque ou devoir reconstruire une estime solide.","Mémoire de pauvreté, de privation, de dette, de perte de ressources ou de valeur conditionnée par l’effort."
Saturne,Maison_gouvernee,3,"La parole, l’apprentissage et les liens proches sont structurés par la prudence. La personne peut craindre de mal dire, mal penser ou être jugée.","Mémoire de silence imposé, d’éducation rigide, de parole sanctionnée ou de responsabilité envers la fratrie."
Saturne,Maison_gouvernee,4,"La responsabilité se rejoue dans la famille, les racines et le foyer. La personne peut porter un poids ancestral ou une maturité émotionnelle précoce.","Mémoire de charge familiale, d’exil, de froid affectif, de devoir envers la lignée."
Saturne,Maison_gouvernee,5,"La créativité, le plaisir, l’amour et les enfants sont soumis à retenue. La personne peut apprendre lentement à s’autoriser la joie et l’expression.","Mémoire de plaisir interdit, de création empêchée, de responsabilité envers un enfant ou d’amour soumis aux règles."
Saturne,Maison_gouvernee,6,"Le travail, le corps et le quotidien deviennent des lieux de discipline karmique. La personne peut répéter des cycles d’effort, de contrôle ou d’épuisement.","Mémoire de servitude, de maladie, de devoir, de travail dur ou de dette à travers le service."
Saturne,Maison_gouvernee,7,"Les relations, contrats et engagements demandent maturité. La personne peut craindre l’abandon, le jugement ou la lourdeur du lien.","Mémoire de mariage contraint, d’engagement karmique, de dette relationnelle ou de solitude dans l’union."
Saturne,Maison_gouvernee,8,"La peur, le contrôle, la perte, la sexualité et les ressources partagées sont au centre. La personne révise sa capacité à lâcher sans se sentir détruite.","Mémoire de deuil, dette, domination, privation sexuelle ou crise ayant figé la confiance."
Saturne,Maison_gouvernee,9,"La structure touche les croyances, l’étude, la loi ou l’étranger. La personne révise son rapport à l’autorité morale et à la vérité.","Mémoire de dogme, d’exil, de sanction religieuse/juridique ou de responsabilité liée à l’enseignement."
Saturne,Maison_gouvernee,10,"La carrière, l’autorité et la reconnaissance sont des terrains majeurs de maturation. La personne avance lentement mais construit durablement.","Mémoire de pouvoir, de chute sociale, de charge publique ou de responsabilité écrasante."
Saturne,Maison_gouvernee,11,"Les groupes, amitiés et projets collectifs sont soumis à tri, distance et maturation. La personne révise sa place dans le collectif.","Mémoire d’exclusion, de devoir envers un groupe, de responsabilité collective ou d’idéal refroidi par la réalité."
Saturne,Maison_gouvernee,12,"La responsabilité agit dans l’ombre, le retrait ou la solitude. La personne peut porter une culpabilité ancienne ou une sensation de dette invisible.","Mémoire d’enfermement, d’exil, de sacrifice, de faute ancienne ou de solitude imposée."
,,,,
Uranus,Maison_gouvernee,1,"Si Uranus est traité comme influence moderne, la révision touche l’identité, la liberté et la rupture avec les anciens rôles.","Mémoire de marginalité, d’exil social, de rupture identitaire ou de refus des normes."
Uranus,Maison_gouvernee,2,"La liberté se rejoue dans la sécurité matérielle, les ressources et la valeur personnelle. Instabilité possible entre besoin d’indépendance et peur de perdre.","Mémoire de rupture matérielle, de perte soudaine ou de refus des possessions classiques."
Uranus,Maison_gouvernee,3,"La pensée, la parole et les liens proches sont marqués par la rupture ou l’originalité. La personne peut capter vite mais s’exprimer à contretemps.","Mémoire de parole dissidente, de savoir marginal, de rupture fraternelle ou d’exclusion intellectuelle."
Uranus,Maison_gouvernee,4,La liberté touche la famille et les racines. La personne révise son besoin de rompre avec le clan pour exister autrement.,"Mémoire d’exil familial, de rupture de lignée, de foyer instable ou de différence rejetée."
Uranus,Maison_gouvernee,5,"La créativité, l’amour et l’expression personnelle demandent liberté. La personne peut refuser les cadres classiques du plaisir ou de la création.","Mémoire d’amour libre, de création marginale, de rupture affective soudaine ou d’enfant hors norme."
Uranus,Maison_gouvernee,6,"Le quotidien, le corps et le travail demandent adaptation. La personne peut mal vivre les routines ou chercher une manière libre de servir.","Mémoire de travail instable, de marginalité professionnelle ou de rupture avec le devoir imposé."
Uranus,Maison_gouvernee,7,"Les relations sont traversées par le besoin de liberté. La personne révise son rapport à l’engagement, à l’indépendance et aux alliances non conventionnelles.","Mémoire d’union rompue, de relation hors norme, de rejet social ou de liberté sacrifiée dans le couple."
Uranus,Maison_gouvernee,8,"La rupture touche la sexualité, la fusion, les pertes et les crises. La personne peut vivre l’intimité comme un lieu d’électrochoc intérieur.","Mémoire de crise soudaine, de rupture sexuelle, de perte brutale ou de libération par destruction."
Uranus,Maison_gouvernee,9,"La liberté touche les croyances, l’étranger, l’étude et la vérité. La personne révise son rapport aux dogmes et aux idéologies.","Mémoire d’hérésie, d’exil intellectuel, de rupture religieuse ou de pensée révolutionnaire."
Uranus,Maison_gouvernee,10,La carrière et l’image publique demandent indépendance. La personne peut refuser les cadres classiques de réussite ou connaître des ruptures de trajectoire.,"Mémoire de chute publique, de rébellion contre l’autorité ou de destin social atypique."
Uranus,Maison_gouvernee,11,"Les groupes, réseaux et projets collectifs sont au cœur de la liberté. La personne révise son rapport à l’appartenance et à la différence.","Mémoire de révolution, de groupe dissident, d’exclusion collective ou d’idéal futuriste."
Uranus,Maison_gouvernee,12,"La liberté agit en profondeur, souvent dans l’ombre. La personne peut porter une agitation intérieure difficile à nommer.","Mémoire d’enfermement, de dissidence cachée, d’exil intérieur ou de rupture invisible."
,,,,
Neptune,Maison_gouvernee,1,"Si Neptune est traité comme influence moderne, l’identité est traversée par idéalisation, flou ou hypersensibilité.","Mémoire d’effacement, de mysticisme, de sacrifice identitaire ou de confusion du moi."
Neptune,Maison_gouvernee,2,"La sécurité, le corps et les ressources sont teintés d’idéalisation ou de flou. La personne révise son rapport à la valeur concrète.","Mémoire de sacrifice matériel, de perte, de don excessif ou de confusion entre valeur et abandon."
Neptune,Maison_gouvernee,3,"La pensée, la parole et les liens proches peuvent être intuitifs mais flous. La personne révise la frontière entre perception et projection.","Mémoire de mensonge, de secret, de parole inspirée ou de confusion dans la transmission."
Neptune,Maison_gouvernee,4,"Les racines et la famille sont traversées par idéalisation, absence ou brouillard émotionnel. La personne révise son besoin d’un foyer rêvé.","Mémoire de sacrifice familial, d’abandon, d’exil ou de dissolution du clan."
Neptune,Maison_gouvernee,5,"L’amour, la créativité et le plaisir peuvent être idéalisés. La personne révise sa tendance à confondre inspiration et fuite.","Mémoire d’amour impossible, de muse, de création sacrifiée ou d’enfant idéalisé."
Neptune,Maison_gouvernee,6,"Le travail, le corps et le service sont traversés par le flou, le don ou la fatigue. La personne révise sa tendance à se dissoudre dans l’utilité.","Mémoire de soin, de sacrifice, de maladie floue ou de service sans limites."
Neptune,Maison_gouvernee,7,"Les relations peuvent être idéalisées, floues ou sacrificielles. La personne révise ses projections affectives et son besoin de sauver ou d’être sauvée.","Mémoire d’amour sacrificiel, de trahison floue, d’union mystique ou de perte de soi dans l’autre."
Neptune,Maison_gouvernee,8,"La fusion, la sexualité, la perte et les ressources partagées sont traversées par idéalisation ou dissolution. La personne révise ses zones de confusion intime.","Mémoire de passion sacrificielle, de secret sexuel, de dette floue ou de pouvoir spirituel mal compris."
Neptune,Maison_gouvernee,9,"La foi, les croyances et l’ailleurs peuvent être idéalisés. La personne révise son rapport au spirituel, au salut et aux vérités absolues.","Mémoire mystique, religieuse, d’exil spirituel ou de désillusion idéologique."
Neptune,Maison_gouvernee,10,"La carrière et l’image publique peuvent être floues, inspirées ou sacrificielles. La personne révise sa vocation et son besoin de sens.","Mémoire de vocation sacrifiée, de réputation floue, de mission spirituelle ou de chute par illusion."
Neptune,Maison_gouvernee,11,Les groupes et idéaux collectifs peuvent être idéalisés. La personne révise ses rêves sociaux et ses projections sur le collectif.,"Mémoire d’utopie, de communauté spirituelle, de désillusion collective ou d’idéal sacrifié."
Neptune,Maison_gouvernee,12,"Le retrait, l’invisible et la foi intérieure sont amplifiés. La personne révise les zones de sacrifice, d’abandon et de dissolution psychique.","Mémoire monastique, d’exil, de sacrifice, de dissolution ou de lien spirituel profond."
,,,,
Pluton,Maison_gouvernee,1,"Si Pluton est traité comme influence moderne, l’identité est traversée par transformation, pouvoir et survie psychique.","Mémoire de domination, de crise identitaire, de pouvoir personnel ou de renaissance après destruction."
Pluton,Maison_gouvernee,2,"Les ressources, le corps et la valeur personnelle sont liés à des enjeux de contrôle et de dépossession.","Mémoire de perte matérielle, d’emprise, de survie ou de possession transformée en dette."
Pluton,Maison_gouvernee,3,"La pensée et la parole peuvent devenir des lieux de pouvoir. La personne révise l’usage de l’information, du secret ou de l’intensité mentale.","Mémoire de manipulation, de secret, de parole destructrice ou de savoir dangereux."
Pluton,Maison_gouvernee,4,La famille et les racines portent une charge de transformation profonde. La personne révise les héritages invisibles du clan.,"Mémoire de crise familiale, de domination clanique, de perte de foyer ou de survie transgénérationnelle."
Pluton,Maison_gouvernee,5,"La créativité, l’amour et le désir portent une intensité transformante. La personne révise son rapport au pouvoir dans l’expression personnelle.","Mémoire de passion destructrice, de création obsessionnelle, de perte liée aux enfants ou au désir."
Pluton,Maison_gouvernee,6,"Le travail, le corps et le quotidien deviennent lieux de contrôle, crise ou régénération. La personne révise son rapport à l’effort et au pouvoir dans le service.","Mémoire de servitude, de maladie, de contrôle quotidien ou de transformation par le travail."
Pluton,Maison_gouvernee,7,"Les relations sont traversées par pouvoir, emprise, fusion ou transformation. La personne révise ses alliances profondes.","Mémoire de lien d’emprise, de trahison, de passion destructrice ou de pacte relationnel non résolu."
Pluton,Maison_gouvernee,8,"La crise, la sexualité, la mort symbolique, les pertes et les ressources partagées sont au centre. La personne révise son rapport au pouvoir le plus intime.","Mémoire de survie, de deuil, de domination sexuelle, d’héritage lourd ou de transformation radicale."
Pluton,Maison_gouvernee,9,"Les croyances, la vérité et la transmission peuvent être traversées par pouvoir ou radicalité. La personne révise son rapport aux certitudes absolues.","Mémoire de dogme, de pouvoir religieux/philosophique, d’exil ou de vérité imposée."
Pluton,Maison_gouvernee,10,"La carrière et l’image publique portent des enjeux de pouvoir, chute et renaissance. La personne révise son rapport à l’autorité et au contrôle social.","Mémoire de pouvoir public, de chute sociale, d’autorité destructrice ou de renaissance après perte de statut."
Pluton,Maison_gouvernee,11,Les groupes et projets collectifs peuvent porter des enjeux d’emprise ou de transformation. La personne révise son rapport au pouvoir collectif.,"Mémoire de groupe secret, de trahison collective, de révolution ou d’emprise idéologique."
Pluton,Maison_gouvernee,12,"Le pouvoir agit dans l’invisible, l’inconscient ou le retrait. La personne révise des peurs profondes, parfois sans pouvoir les nommer immédiatement.","Mémoire d’enfermement, de persécution, de pouvoir caché, de crise invisible ou de survie psychique."
