ASTRE,DONNEE,VALEUR ,INTERPRETATION,
lune_noire,aspect_jupiter,conjonction,"Le rapport au père, aux guides et enseignants est difficile, avec une
sensation de se faire écraser et nier dans ses capacités. Le problème ici
est la prise de place, le sentiment d'avoir sa place quelque part, d'être
reconnu et digne de confiance. Le rapport à la loi est difficile, à la
religion également.","Le rapport au père, aux guides et enseignants est difficile, avec une
sensation de se faire écraser et nier dans ses capacités. Le problème ici
est la prise de place, le sentiment d'avoir sa place quelque part, d'être
reconnu et digne de confiance. Le rapport à la loi est difficile, à la
religion également."
lune_noire,aspect_saturne,opposition,"Avec Saturne au périgée, il y a une problématique concernant la lignée familiale, la transmission générationnelle, concernant l'image du père qui n'aurait pas transmis le cadre de manière sécurisante. On a honte de sa famille, de sa lignée, de son père. On peut se rigidifier à l'extrême pour se rassurer, se demandant une ligne de conduite stricte, pratiquant une intolérance et une exigence envers les autres. Et on ne supportera pas que les autres nous jugent, nous révèlent nos incohérences, on les rendra responsables de nos sorties de cadre.","Avec Saturne au périgée, il y a une problématique concernant la lignée familiale, la transmission générationnelle, concernant l'image du père qui n'aurait pas transmis le cadre de manière sécurisante. On a honte de sa famille, de sa lignée, de son père. On peut se rigidifier à l'extrême pour se rassurer, se demandant une ligne de conduite stricte, pratiquant une intolérance et une exigence envers les autres. Et on ne supportera pas que les autres nous jugent, nous révèlent nos incohérences, on les rendra responsables de nos sorties de cadre."
lune_noire,aspect_saturne,conjonction,"Avec Saturne, il y a un problème de limites: un hypercontrôle et une
intolérance forte avec de l'exigence, mais également un difficulté à
évoluer dans un cadre avec des règles. Le refus de l'autorité, de la
hiérarchie et l'obéissance à quelqu'un d'autre que soit peut être difficile.
Le rapport à la réussite et aux échecs est difficile, une tendance à se
mettre en défaut pour s'en plaindre ensuite.","Avec Saturne, il y a un problème de limites: un hypercontrôle et une
intolérance forte avec de l'exigence, mais également un difficulté à
évoluer dans un cadre avec des règles. Le refus de l'autorité, de la
hiérarchie et l'obéissance à quelqu'un d'autre que soit peut être difficile.
Le rapport à la réussite et aux échecs est difficile, une tendance à se
mettre en défaut pour s'en plaindre ensuite."
lune_noire,aspect_uranus,opposition,"On a honte de notre besoin de liberté. On a le sentiment de toujours
réclamer plus de liberté, d'indépendance, et on se reproche souvent à soimême sa marginalité, son manque d'acceptation du cadre, des normes
sociales. On veut sortir du cadre mais on condamne ce désir. On cultive la
différence, ayant du mal à la supporter chez les autres, parce-que l'on
craint par dessus tout d'être dans une norme, malgré soi. Et en même
temps, on veut faire partie de la norme, appartenir à un groupe dans
lequel on peut se fondre.","On a honte de notre besoin de liberté. On a le sentiment de toujours
réclamer plus de liberté, d'indépendance, et on se reproche souvent à soimême sa marginalité, son manque d'acceptation du cadre, des normes
sociales. On veut sortir du cadre mais on condamne ce désir. On cultive la
différence, ayant du mal à la supporter chez les autres, parce-que l'on
craint par dessus tout d'être dans une norme, malgré soi. Et en même
temps, on veut faire partie de la norme, appartenir à un groupe dans
lequel on peut se fondre."
lune_noire,aspect_uranus,conjonction,"Le rapport à la liberté est difficile, chaque personne ou situation risquant
de la lui enlever. Le sentiment de rejet est projeté dans de nombreuses
situations de la vie, alors que c'est l'individu qui participe à le mettre en
place. L'individu se veut anti-conformiste tout en souhaitant appartenir à
un collectif qu'il idéalise et exècre en même temps.","Le rapport à la liberté est difficile, chaque personne ou situation risquant
de la lui enlever. Le sentiment de rejet est projeté dans de nombreuses
situations de la vie, alors que c'est l'individu qui participe à le mettre en
place. L'individu se veut anti-conformiste tout en souhaitant appartenir à
un collectif qu'il idéalise et exècre en même temps."
lune_noire,aspect_neptune,opposition,"Avec Neptune au périgée, on peut ressentir l'existence d'une nostalgie,
d'un mal être intérieur dont on ne saisit pas les contours. On rejette
souvent ces émotions que l'on juge confuses, disproportionnées,
inadaptées. On recherche des expériences transcendantes, à s'oublier
dans une spiritualité, se sentant dans une quête (vue comme ridicule)
d'absolu. On peut cacher ses croyances spirituelles, par honte, pratiquer
le déni, avoir honte de ne pas réussir à plus se structurer.","Avec Neptune au périgée, on peut ressentir l'existence d'une nostalgie,
d'un mal être intérieur dont on ne saisit pas les contours. On rejette
souvent ces émotions que l'on juge confuses, disproportionnées,
inadaptées. On recherche des expériences transcendantes, à s'oublier
dans une spiritualité, se sentant dans une quête (vue comme ridicule)
d'absolu. On peut cacher ses croyances spirituelles, par honte, pratiquer
le déni, avoir honte de ne pas réussir à plus se structurer."
lune_noire,aspect_neptune,conjonction,"Avec Neptune, il y a confusion intérieure, mentale, avec des expériences
paranormales et une coupure avec la réalité. Les addictions et l'alcool
peuvent survenir, pour noyer les fantasmes d'absolu avec le divin, avec
l'amour idéalisé mais qui nous fait fuir en même temps.","Avec Neptune, il y a confusion intérieure, mentale, avec des expériences
paranormales et une coupure avec la réalité. Les addictions et l'alcool
peuvent survenir, pour noyer les fantasmes d'absolu avec le divin, avec
l'amour idéalisé mais qui nous fait fuir en même temps."
lune_noire,aspect_pluton,opposition,"Pluton en face de la lune noire va donner un mélange explosif ! On
ressent des tourments profonds, des peurs, des questions de fond qui font
mal, angoissent. On ressent comme une ombre au fond de soi, craignant
presque d'être malveillant. On a honte de ces ressentis que l'on peut
juger avec dureté, et on passe d'un point de tension du thème à un autre
point de tension du thème, créant de l'emportement, une violence que
nous craignons. À force de contraindre cette force intérieure, on la fait
grandir, et elle devient encore plus difficile à contrôler.","Pluton en face de la lune noire va donner un mélange explosif ! On
ressent des tourments profonds, des peurs, des questions de fond qui font
mal, angoissent. On ressent comme une ombre au fond de soi, craignant
presque d'être malveillant. On a honte de ces ressentis que l'on peut
juger avec dureté, et on passe d'un point de tension du thème à un autre
point de tension du thème, créant de l'emportement, une violence que
nous craignons. À force de contraindre cette force intérieure, on la fait
grandir, et elle devient encore plus difficile à contrôler."
lune_noire,aspect_pluton,conjonction,"Les énergies plutoniennes et de la lune noire, lorsqu'elles se mélangent,
ne donnent pas de très bonnes choses. Deux parts d'ombre se mêlent
pour donner des sentiments d'angoisses profonds, une tendance à la
violence, à la haine, à la peur, aux instincts primaires. Il faut cependant
ne pas les confondre, la lune noire va également appeler à dépasser ces
pulsions animales. L'individu possède une richesse intérieure, et il aura de
grandes capacités de transformation, si il arrive à dépasser cette
conjonction.","Les énergies plutoniennes et de la lune noire, lorsqu'elles se mélangent,
ne donnent pas de très bonnes choses. Deux parts d'ombre se mêlent
pour donner des sentiments d'angoisses profonds, une tendance à la
violence, à la haine, à la peur, aux instincts primaires. Il faut cependant
ne pas les confondre, la lune noire va également appeler à dépasser ces
pulsions animales. L'individu possède une richesse intérieure, et il aura de
grandes capacités de transformation, si il arrive à dépasser cette
conjonction."
lune_noire,aspect_noeud_sud,noeud_sud_conjonction,"passé karmique très lourd et pesant, on a le sentiment d'avoir fait quelque chose de mal dans la vie antérieure. Le NN est tourné en ridicule, on a du mal à y adhérer. On est sans cesse ramené vers son passé karmique.","passé karmique très lourd et pesant, on a le sentiment d'avoir fait quelque chose de mal dans la vie antérieure. Le NN est tourné en ridicule, on a du mal à y adhérer. On est sans cesse ramené vers son passé karmique."
lune_noire,aspect_noeud_nord,noeud_nord_conjonction,"passé karmique ridiculisé, on a honte de ce qu'on a fait dans la vie antérieure. Fuite du passé. Projet de réussir son NN absolument mais il faudra se confronter à ses peurs les plus profondes pour y arriver.","passé karmique ridiculisé, on a honte de ce qu'on a fait dans la vie antérieure. Fuite du passé. Projet de réussir son NN absolument mais il faudra se confronter à ses peurs les plus profondes pour y arriver."
lune_noire,aspect_noeud_nord,noeud_nord_carre,Difficulté à accepter son passé et à se tourner vers l'avenir. On a du mal à tirer des leçons de sa vie passée pour les réinjecter dans l'accès à sa mission de vie. ,Difficulté à accepter son passé et à se tourner vers l'avenir. On a du mal à tirer des leçons de sa vie passée pour les réinjecter dans l'accès à sa mission de vie. 
