PLANÈTE,TYPE_DONNÉE,VALEUR,VIE ACTUELLE,VIE ANTERIEURE
Mercure,Signe,lion,"On manque de confiance en soi. Sa parole n'est jamais assez brillante et intéressante, donc soit on en dit trop, soit en se tait. On veut se faire valoir en parlant de soi.",Karma égotique et avec ses enfants. On leur a peu donné de place parce-qu'on a pas réussi soi-même à gérer son propre égo. Avoir des enfants représentait une contrainte.
Mercure,Signe,vierge,"On a été un enfant plus mature que les autres, et on l'a mal vécu : incompréhensions, mise à l'écart. On est resté discret, sage, pour éviter d'amener l'attention sur soi-même.","Karma d'abus de confiance. On a pu refuser une position de service, de domestique, et on a menti et volé. On va devoir apprendre à être humble."
Mercure,Signe,balance,"On a du mal à sociabiliser, avec les mondanités, on a peur de se lier aux autres. Dans l'enfance, on est resté sage et en retrait, tout ce qui comptait, c'était les apparences...","Relation de couple difficile, on a cherché à dominer et écraser l'autre, faire preuve d'autorité sans entendre, sans nuancer son comportement."
Mercure,Signe,scorpion,"On a peur de sa propre agressivité intérieure, de sa capacité à agresser l'autre et à le piquer. Sentiment de manipulation dans l'enfance, d'anxiétés à la maison.","On a été dans l'agressivité dans la vie passée et on ne s'est pas occupé des siens, rejetant les autres par peur du rejet. On a fait du vide autour de soi."
Mercure,Signe,sagittaire,"Notre parole est parfois inadaptée. Gaffes, exagérations, monologues, on essaie de se rassurer en parlant beaucoup. Dans l'enfance on n'a pas eu la place attendue.","On en a trop fait: train de vie luxueux, monde des apparences, suprématie de la réussite, on a écrasé les autres et on a En sagittaire pu tout perdre."
Mercure,Signe,capricorne,"On peine à maintenir une certaine continuité, à se trouver dans le travail, à organiser son quotidien et on vit au jour le jour. Enfance vécue dans une certaine froideur et rigidité.","Nous avons été dans l'autorité et la toute puissance patriarcale, en chef de famille qui imposait ses règles aux autres, ne tolérant pas de la désobéissance."
Mercure,Signe,verseau,"On a du mal à mettre en avant ses idées, pourtant on a un esprit novateur, mais ce n'est pas assez à nos yeux. Froideur dans le foyer, sentiment de solitude, enfance indépendante.","On a été dans le dogme, dans l'irresponsabilité sociale, on jouait avec les mots pour avoir de l'influence. On a vécu hors des normes sociales."
Mercure,Signe,poissons,"Mercure est en chute et rétrograde, la communication est donc difficile, floue, incontrôlable. Dans son enfance, on a pu fusionner avec un parent.","Karma spirituel. On a pu abuser des croyances spirituelles et ne plus distinguer le vrai du faux. Vies d'addictions, de retrait spirituel, de perte du lien au réel."
VENUS,signification,,"Vénus rétrograde signe un karma lié à l'amour, aux relations, au féminin et aux valeurs. Tu portes une mémoire de rigidité affective, de manque d'amour dans l'enfance, et possiblement d'un féminin blessé ou dégradé dans des vies antérieures. Cette vie t'invite à déconstruire les blocages qui t'empêchent d'aimer véritablement et de recevoir l'amour, à guérir ta relation au féminin et à toi-même, et à retrouver la souplesse du cœur au-delà des principes rigides et des blessures de trahison.",
Vénus,Maison,1,"On s'identifie à un comportement de dispersion affective, on est dans la quête de plaisirs. On est dans une caricature de Vénus rétrograde, on a du mal à s'imaginer agir autrement.","Karma affectif, on a pu pousser l'égoïsme, se mettre au centre dans les relations."
Vénus,Maison,2,On a des difficultés à utiliser son don pour gagner sa vie. On a des valeurs affectives rigides et de l'insécurité. Vie antérieure : Karma de certitudes. On a établit des certitude,"Karma de certitudes. On a établit des certitudes tellement rigides, des principes, se condamnant soi même à ne pas utiliser sa créativité, ses talents, explorer sa féminité. Attachement insécure à l'argent."
Vénus,Maison,3,"On peut avoir un vécu difficile avec ses frères et soeurs, surtout avec une soeur. Sensation qu'une soeur nous a fait de l'ombre, était plus aimée que nous. Détachement affectif.","Karma avec la fratrie : incestes, abus. On n'a pas aimé sa soeur à sa juste valeur dans la vie antérieure, on l'a rejetée, on était le vilain petit canard dans la famille."
Vénus,Maison,4,"On a pu mal vivre la place d'une soeur au foyer (comme en maison 3) ou sa propre place de femme à la maison. Manque d'amour au foyer, valeurs rigides à la maison.","Karma familial. On a intégré l'idée qu'on ne peut pas aimer au foyer. On a pu faire un mariage sans amour, et voir son mari chercher l'amour auprès d'autres femmes."
Vénus,Maison,5,"On n'a pas senti l'amour du père envers soi en tant que femme, ou sa soeur a pris l'amour du père. Crainte d'avoir des enfants, notamment l'arrivée d'une fille que nous craignons.","Karma de filiation. On a pu être une mère enfant, ne pas réussir à aimer son enfant. On était encore dans un besoin de construction égotique, du fait de la jeunesse, pour devenir mère."
Vénus,Maison,6,Il y a le risque de n'exister qu'à travers la maladie. Ou alors on va aider les autres au nom de principes très rigides dans lesquels nous risquons de nous perdre. Nous donnons tout de nous.,"On a pu être bonne soeur, être dans le don total mais au nom de principes, ou alors se complaire dans la maladie, se sentir aimé.e uniquement quand on était malade."
Vénus,Maison,7,"L'amour sincère et le couple sont deux principes difficiles à réconcilier. On donne pour recevoir, on n'est pas dans le don. On a peur d'être séparé.e des autres.","L'union ne se faisait pas avec de l'amour, on se mariait par intérêt. Tout s'est joué dans les apparences. On a tout donné pour préserver le vernis lisse des apparences."
Vénus,Maison,8,"Les relations amoureuses font très peur, insécurisent. On a des difficultés avec son féminin, on vit des relations toxiques, de la manipulation, un rapport de pouvoir en amour.","Le karma en relation avec l'amour est lourd. Nous avons pu connaître des viols, des abus sexuels, vivre une version dégradée de son féminin. On s'est coupé de ses sentiments."
Vénus,Maison,9,"On recherche l'aventure en amour, mais on ne se laisse pas aller, les principes sont trop rigides. On fantasme la passion mais on ne se laisse pas aller à ses sentiments pour la vivre.","Nous avons utilisé l'amour pour se hisser socialement: mariage intéressé, rayonnement à travers l'union. On ne savait pas aimer ses enfants, sa fille, ses soeurs, les femmes..."
Vénus,Maison,10,"Il peut être difficile de poursuivre des ambitions professionnelles en tant que femme, ou on a eu le sentiment d'un manque d'amour familial. Rigidité des valeurs, exigence.",Nos valeurs vis-à-vis du travail et du modèle de vie étaient très rigides. On a intégré un modèle patriarcal et traditionnel concernant la place de la femme.
Vénus,Maison,11,Les relations amoureuses sont un sujet d'expérience plutôt que de connexion aux sentiments. On a du mal à éprouver de l'amour et on vit des amitiés amoureuses. Refus de l'engagement.,"On a vécu l'amour de manière intellectualisée, sans attaches et sous des principes dogmatiques. On a imposé son égo dans ses relations. Détachement sentimental."
Vénus,Maison,12,"Le féminin est un sujet très complexe, on a un rejet fort du féminin. L'amour est un lieu de trouble, de mal être, on n'a jamais le sentiment d'être assez aimé.e.","On a abandonné sa femme et ses proches, ou on s'est isolée en tant que femme, préférant la solitude à la souffrance que représente l'amour. Abandon des siens."
Vénus,Signe,bélier,"On est dans l'exagération de Vénus rétrograde, dans sa version instinctive et dans une attitude de guerrier.ère face à l'amour. La manifestation personnelle est peu vécue dans l'amour.","Karma de relations conflictuelles, où nous étions au centre de la relation, refusant de se changer par peur de la soumission. On a pu être une femme guerrière refusant les hommes."
Vénus,Signe,taureau,"Besoin de vivre des relations, de ne pas être seul.e par besoin de sécurité, les principes sont rigides. On veut gagner de l'argent mais de manière immédiate. On ne donne pas gratuitement.","On a été dans des principes excessifs concernant l'argent, on a abusé de son talent pour s'enrichir, pour abuser de En l'argent. On a oublié ses valeurs féminines, au nom de la sécurité."
Vénus,Signe,gémeaux,"Si pas de soeur dans cette vie, on pourra le regretter. Si on a une fille, on vivra de l'attraction/répulsion avec elle, parcequ'il y a un problème vénusien.","Karma avec les frères et soeurs. On a pu se sentir sacrifié au profit d'une soeur si présence de Neptune R, ou on a sacrifié ses études pour sa fratrie avec Mercure R."
Vénus,Signe,cancer,"Il est difficile de réconcilier amour et foyer. On a du mal à abandonner ses principes, et on se retrouve avec des partenaires dispersés sexuellement.","Karma familial. On devait être une femme ""bien"" douce, qui présente bien, mais coupée de ses sentiments. Mariage sans amour. Principes de fidélité, mais dispersion sexuelle."
Vénus,Signe,lion,"Besoin de réassurance égotique. On doute de sa capacité à séduire et à être aimé.e. Manque de mise en valeur dans l'enfance, on se disperse dans les relations sexuelles.","Karma égotique. On avait des principes autour de la séduction, et on faisait le contraire pour se rassurer, on a été dispersé sexuellement (plusieurs partenaires.)"
Vénus,Signe,vierge,"On a du mal à aimer parce-que le moindre sentiment passe par le crible du mental. On aime au nom d'une liste de critères. On peut s'enfermer dans le rôle de la femme corvéable à merci, tout en se plaignant d'incarner ce rôle.",Karma autour des soins et du don de soi : on a tout donné de soi de manière discrète mais sans amour.
Vénus,Signe,balance,"On aimera au nom de valeurs mondaines. Ce qui est important c'est que le partenaire ""présente bien"". On charme pour être aimé.e, besoin de plaire. On a besoin de faire bonne figure, que les autres nous trouvent gentil/le.",Les valeurs étaient rigides et l'amour peu considéré. Il était important d'être aimée.e avant d'aimer. Mariage sans amour.
Vénus,Signe,scorpion,"On se méfie de l'amour, et on vit des schémas sentimentaux répétitifs et destructeurs. On va vivre avec agressivité le rapport à l'amour. Relations toxiques, manipulations.","On a été dans l'agressivité dans la vie passée, on a attaqué pour se défendre d'un danger quelconque en lien avec les siens. Abus, viols possibles."
Vénus,Signe,sagittaire,Notre besoin de liberté et d'espace nous positionne dans une ambiguïté entre demande d'amour oppressante et sentiment que l'autre nous enferme. On aime l'autre quand il réussit.,"On a érigé en valeur la réussite au-dessus des sentiments. Union arrangée pour se hisser socialement. On aimait se montrer, les mondanités, exposer sa réussite sociale. Bourgeoisie."
Vénus,Signe,capricorne,"On vit difficilement le rapport à l'amour véritable, parce-que tout est enfermé dans des principes très rigides, très mentaux. On est dans une certaine froideur sentimentale.","Vision des femmes difficile. Les femmes ont pu être méprisées dans la vie passée, on a manqué d'amour envers elles ou envers soi en tant que femme. Rigidité sentimentale."
Vénus,Signe,verseau,"On voit l'amour comme un enfermement, on veut être libre en amour. On refuse l'engagement tout en le recherchant paradoxalement, mais on se met dans des relations sans lendemain.","On a refusé un engagement ou rompu un engagement au nom de sa valeur liberté. On a suivi des idéaux En verseau politiques, délaissant ses proches."
Vénus,Signe,poissons,"On fantasme l'amour mais on le fuit également. On a un besoin désespéré d'amour, une idéalisation totale de la relation, voire une dépendance amoureuse, mais on vit des échecs.",On a pu fantasmer l'amour à outrance tout comme le rejeter pour des valeurs spirituelles d'isolement et de repli. On a idéalisé un amour qui nous a profondément déçu.e.
MARS,signification,,"Mars rétrograde signe un karma lié à l'action, la colère, le masculin et la violence. Tu portes une mémoire de conflits, de guerre ou d'excès de force dans des vies antérieures, qui génère aujourd'hui une profonde culpabilité et une peur de ta propre violence intérieure. Cette vie t'invite à apprivoiser ta colère, à te pardonner les excès du passé, et à reconquérir ton droit d'agir et de désirer sans être paralysé.e par la peur ou poussé.e dans l'impulsivité. Le chemin consiste à transformer ta relation au masculin et à ta propre puissance d'action.",
Mars,Maison,1,"On s'identifie à un comportement de colère, de violence, d'énervement. On peut vite se sentir agressif ou agressé, on ressent en soi une violence interne qui fait peur.","Karma de guerrier, on a été soi-même identifié à ce mars rétrograde : violent, colérique, agressif, dominateur, cherchant à affirmer à outrance ses droits."
Mars,Maison,2,"On a des certitudes ancrées sur ses droits, son droit de s'affirmer face aux autres. On désire les bien des autres. On a du mal à aimer, sans se confronter à un désir anxiogène.","Karma d'avidité. On a pu s'emparer des biens des autres avec une certaines colère, une volonté d'avoir plus afin d'assouvir un besoin de domination. Domination sexuelle."
Mars,Maison,3,"On peut avoir un vécu difficile avec ses frères et soeurs, surtout avec un frère. On a vécu un climat assez conflictuel et violent avec ce frère ou au sein de la fratrie. Colère à l'école.","Karma avec la fratrie : violence envers un frère dans la vie passée, un conflit a été mené au sein de la fratrie, on a pu vivre ou commettre un inceste."
Mars,Maison,4,"On a pu mal vivre la place d'un frère au foyer (comme maison 3) ou on a vécu son enfance dans un climat de forte violence, maltraitance physique ou psychologique.","Karma familial. On a pu être extrêmement violent auprès de sa famille, de son foyer, maltraiter ses enfants, comme on a pu être maltraité dans son enfance et rejouer cette violence."
Mars,Maison,5,"On n'a pas senti l'amour du père envers soi en tant qu'homme, un frère a pu prendre sa place et avoir tout l'amour du père. Reconnaissance de soi difficile. Colère. On aura du mal à agir.","Karma de filiation. On a pu être un père très jeune et vivre sa paternité à travers la colère. Recherche de valorisation en s'affirmant démesurément, avec colère, dans le conflit."
Mars,Maison,6,"On somatise régulièrement parce-qu'on a peur de sa propre violence. Éruptions cutanées, inflammations, rejet dans le travail de ce qu'on considère vite comme de la domination.","On a pu avoir des problèmes autour de la santé, des passages à l'acte, de la violence envers soi-même, on a pu être interné dans la vie passée, vivre des agressions."
Mars,Maison,7,"Le rapport à l'amour est difficile et mal vécu. On ressent sans cesse un besoin de domination de la part de l'autre. Et on provoque paradoxalement parfois sa colère. Image des hommes violents, tyranniques, infidèles.",On vécu de la maltraitance dans son couple dans la vie antérieure ou c'est nous qui avons battu une femme.
Mars,Maison,8,"On a un intérêt pour l'occulte, c'est d'ailleurs la seule chose qui apaise notre tempérament colérique. On a un sentiment de violence interne et une fascination/répulsion pour le pouvoir.","Vie antérieure très chargée et très sombre, on a pu être dans un pouvoir total, très violent, tuer, agresser, du fait d'un sentiment de danger important. Vie dans l'occulte et la magie noire."
Mars,Maison,9,"S'élever socialement est difficile, on a la sensation de ne pas mériter les honneurs, la réussite. On peut travailler dans l'énergétique, pour canaliser ses instincts de colère.","On a été un seigneur, un maître, et on n'a pas hésité à appliquer la loi de façon déshumanisée. C'est l'image du bourreau, de l'inquisiteur."
Mars,Maison,10,"Nervosité excessive dans la sphère professionnelle, on ne supporte aucune frustration, aucun refus, aucune autorité, on a une ambition forte tout en se sabotant.","On a appliqué ses exigences à la force du poignet, combattu pour diriger, imposé son commandement absolu et son autorité."
Mars,Maison,11,"On peut avoir des phobies de toutes sortes et surtout des phobies de la foule et des groupes (agoraphobies), on a peur de toutes formes de violence et d'être en danger.","Ancien samouraï, mercenaire, baroudeur, aventurier, garde du corps, mafia, participant à des sectes ou à des groupes dont la vocation était de s'imposer dans la violence."
Mars,Maison,12,"Peurs sexuelles, fantasmes générant beaucoup de honte, la sexualité est ressentie comme honteuse. Désir d'action, de vivre, d'agir, en grande difficulté.","Vie de marginal, vie ancienne de mendiant, de paria, de vies où on a été trimbalé d'un endroit à un autre, en dehors de toute vie sociale, ou vie de prêtre missionnaire."
Mars,Signe,bélier,"On est dans une forme de violence et de colère intense, on bout à l'intérieur et on sent que l'explosion peut vite être vive, on peine à avancer par peur de sa colère.","Karma de guerrier, on a pu être soldat, faire la guerre. On tenait difficilement compte des autres, n'écoutant que ses propres désirs et son instinct."
Mars,Signe,taureau,"On vit avec une certaine violence les rapports sexuels, on abuse des plaisirs matériels et sensuels, on sent une fascination et un désir pour l'argent, on a des certitudes.","On a pu s'emparer des possessions des autres, pour son propre plaisir. On a été dans une certaine violence, colère, face à ce qu'on n'avait pas et que les autres avaient."
Mars,Signe,gémeaux,"Si on est un garçon, on a mal vécu cette place masculine, qui n'a pas été valorisée. Si on a eu un frère, on a pu ressentir de la colère vis-à-vis de lui, le trouver immature.","Karma avec les frères et soeurs, on a pu maltraiter un de ses frères, vivre un conflit avec lui. On a pu être un homme totalement dispersé en amour, utilisant les autres pour le sexe."
Mars,Signe,cancer,"La projection sur le masculin et le vécu de sa part masculine sont difficiles. On a du mal à se laisser aller à l'amour, aux sentiments, à être entreprenant dans les relations, à agir.","Karma familial. On n'a pas été reconnu en tant qu'homme au sein de sa famille, vécu d'humiliations, de dégradations, de rejet en tant qu'homme. Violence familiale."
Mars,Signe,lion,"Doute de soi, en tant qu'homme ou avec les hommes. Les hommes sont vus comme faisant tout ce qu'ils veulent, sont égoïstes. On ressent des pulsions fortes de désir.","Karma égotique. On a manqué de reconnaissance et valorisation égotique, alors on a tout ramené à soi, utilisé la domination pour être le meilleur."
Mars,Signe,vierge,"On a du mal à se positionner, à agir, à prendre les devants, tout en sentant en soi une grande colère, une agressivité.","Karma autour des soins : on a pu connaître des maladies difficiles, être interné, subir des agressions qui nous ont amené à des obligations de soin. On a pu passer à l'acte dans le cadre social."
Mars,Signe,balance,"On cherchera des hommes ou on sera soi-même pris dans un paradoxe entre domination sur l'autre et doute de soi, manque de positionnement véritable et d'engagement dans la relation. Colère dans le couple, rapport de conflits.","On cherché à cacher au nom des apparences un vécu violent dans le foyer, que nous en soyons l'auteur ou la victime."
Mars,Signe,scorpion,"On possède un certain magnétisme sexuel, mais le rapport au désir est difficile, on ressent des pulsions difficiles à contrôler. Peur de soi-même, fortes anxiétés.","On a été dans l'agressivité et la violence dans la vie passée, on a pu faire du mal aux autres. On a pu être dans des activités occultes, de magie noire."
Mars,Signe,sagittaire,"On doutera de ce que l'on vaut, de sa valeur, de ses mérites et on sera dans un auto-sabotage pour éviter d'agir, et donc par peur de l'échec, par peur d'être mis en avant.","On a dominé les autres pour son propre pouvoir personnel, en faisant du mal aux autres, on a arraché ses victoires En sagittaire par l'agression. Maître ou seigneur appliquant la justice."
Mars,Signe,capricorne,"Le désir sexuel est nié, on cherche à se rigidifier pour éviter les débordements. On est caractériel, nerveux, on supporte difficilement le commandement d'autrui.","On avait l'ambition d'être le dirigeant, le chef absolu, on a recherché une forme d'absolutisme, enn l'obtenant par la violence."
Mars,Signe,verseau,"On peut être dispersé sexuellement, dépersonnalisé niveau de son désir, recherchant les histoires sans lendemain. Hommes vus comme indépendants. Priorité à l'intellect.","On a pu participer à des groupes violents, être totalement instable socialement, marginal ou coureur de jupons, refusant toute règle collective."
Mars,Signe,poissons,"On fantasme l'amour et la sexualité mais la fuite semble souvent plus facile, plus rassurante alors on le vit dans son imaginaire.","Fantasme de la sexualité, déviances sexuelles, expériences sexuelles déviantes, on a pu être un homme fréquentant des prostituées."
JUPITER,signification,,"Jupiter rétrograde signe un karma lié à la réussite, la place sociale et la légitimité. Tu portes une mémoire d'excès dans des vies antérieures : tu as pris toute la place, abusé des plaisirs ou de ton pouvoir, puis tout perdu. Aujourd'hui, cette mémoire génère un profond sentiment d'illégitimité, un syndrome de l'imposteur et une peur de réussir par terreur de tout perdre à nouveau. Cette vie t'invite à apprendre la justesse, à te donner le droit d'exister pleinement et de profiter de la vie sans culpabilité, en trouvant l'équilibre entre expansion et retrait.",
Jupiter,Maison,1,"On une fascination pour la réussite, tout en ne se
l'autorisant pas. Identification à Jupiter rétrograde. On se sabote,
on a l'impression de ne pas mériter.","Image de soi grandiose, volontés de réussite
irréalisables, on a pu mentir et écraser les autres pour son intérêt
personnel. Bourgeoisie."
Jupiter,Maison,2,"Ambitions financières contrariées, on ne s'autorise
gagner de l'argent tout en étant parfois assez intéressé par
l'argent, on a du mal à donner.","Karma d'avidité. On a gardé pour soi tous ses
revenus, afin de sécuriser sa place. On a profité d'héritages, mais
on a pu tout perdre."
Jupiter,Maison,3," On n'utilise pas son éducation et les possibilités
éducatives reçues pour avoir une position sociale. Difficultés à faire
des études, problématique matérielle avec la fratrie.","Dette karmique matérielle avec la fratrie, on a pu
garder pour soi des héritages et laisser sa fratrie sans le sou.
Dispersion et gaspillage intellectuel."
Jupiter,Maison,4,"On peut gagner ses revenus à la maison. On n'a pas
eu le sentiment d'avoir de la place dans sa famille, d'être l'élément
différent, à part.","Karma familial. On a pris toute la place au sein du
foyer, seul nous comptait. Les autres servaient nos intérêts. On s'est
enrichi à travers sa position familiale."
Jupiter,Maison,5,"On n'a pas sa place dans ce monde, pas assez de
reconnaissance et on aura à coeur d'avoir des enfants pour leur
transmettre autre chose. On va devoir assumer ses enfants.","On n'a pas assumé ses enfants, on les a dépossédés.
On n'a pas été un bon tuteur ou éducateur à cause d'une course à la
reconnaissance."
Jupiter,Maison,6,"On aura du mal à se sentir mériter les honneurs, les
mérites, la réussite dans le métier. Foie fragile.","On a fait des excès niveau santé dans la vie passée
: nourriture, alcool, on s'est abîmé le foie. On a vécu de manière
excessive, abîmant notre corps. On a manqué de générosité avec les
autres, avec des principes rigides."
Jupiter,Maison,7,"On peut laisser à l'autre le soin de diriger sa propre
vie, tout en voulant toute la place dans la relation, et reprochant à
l'autre de trop en prendre.","On n'a pas laissé de place à l'autre dans les
relations. L'autre est devenu un instrument de valorisation égotique
et utilisé pour la réussite personnelle."
Jupiter,Maison,8," Image personnelle, orgueil dans la réussite qui va être
transformée, remise en question. Crise égotique, on va devoir
prendre en compte les autres, et regagner sa place.","Karma d'argent, de pouvoir personnel, exagération
du pouvoir personnel dans le rapport à l'autre. Très grand appétit
de représentation, au détriment des autres."
Jupiter,Maison,9,"S'élever socialement est difficile, on peut être dans un
excès égotique, dans la moralisation, accuser les autres d'avoir plus
que nous.","Ancien noble, bourgeois, on a bafoué les lois et tout
gardé pour soi. On s'est cru au dessus de toutes les lois, au dessus
des règles."
Jupiter,Maison,10,"Ambitions très fortes mais projets qui retombent, peur
de la réussite. On peut mener des projets rapides et intenses et
avoir du mal à les terminer.","Karma de réussite. On a rejeté la loi paternelle,
notre famille, et on a cherché à réussir par rancune envers ses
origines."
Jupiter,Maison,11,"On pourra être attiré par la vie associative, donner de
soi à l'humanité, bénévolement, pour résoudre la problématique de
générosité.","Rejet de la collectivité, pour vivre selon ses propres règles, on voulait être tout puissant, réussir tout en ne partageant pas avec la collectivité. On a volé la collectivité."
Jupiter,Maison,12,"Abnégation de ses propres besoins dans l'intérêt des
autres. Sens du don, sens large de la communication et de
l'éducation, présence et réponse immédiate.","Karma de don excessif, altruisme total, don de soi,
recherche spirituelle absolue et fantasmée. Malgré tout, meilleure
place de Jupiter R parce-que peut être élevé au sens spirituel."
Jupiter,Signe,bélier,"On va devoir gérer son rapport à la réussite en
soumettant ses actions aux jugements des autres, on a du mal à
savoir ce que l'on vaut, on a peur de réussir pleinement.","On a cherché à s'élever au-dessus des autres dans
un esprit combatif et guerrier, dans une volonté de toute puissance
égotique. On a pu mener des combats."
Jupiter,Signe,taureau," Il peut y avoir de l'avarice, des ambitions financières
contrariées. On peut rencontrer des gens qui ne tiennent pas
compte de nous.","On a profité d'argent dans son milieu familial, et on
l'a gardé pour soi, pour se sécuriser au maximum. Le pouvoir était une forme de sécurité mais on a pu tout perdre."
Jupiter,Signe,gémeaux,"On n'a pas eu le sentiment d'avoir de la place vis-à-vis
de sa fratrie. On a un sentiment d'inexistence. Difficultés pour les
études, dispersion.","Dette karmique avec la fratrie. On s'est dispersé au
niveau des études, au niveau intellectuel. Rejet du modèle éducatif
d'origine, gaspillage de ses acquis sociaux. Manque de construction."
Jupiter,Signe,cancer,"On a eu du mal à créer des liens dans sa famille.
Manque de liens à l'amour, à la sécurité. On peut gagner sa place et
sa vie à travers son foyer, sa famille.","Karma familial. On n'a pas réussi à créer de liens
proches avec les membres de son foyer, on a manqué de générosité,
on a eu le sentiment de ne pas être assez aimé dans sa famille."
Jupiter,Signe,lion,"Doute de soi, manque de confiance en soi, volonté de
puissance mais contrariée. On aura envie d'être reconnu, vu, et l'égo
posera problème en manque ou en excès.","On a pensé à soi, sa réussite, son prestige, vie de
seigneur, de noblesse, de bourgeoisie. On s'est détaché du coeur et
de l'amour, surtout vis-à-vis des enfants."
