ASTRE,DONNEE,VALEUR,INTERPRETATION
lune,Signe,Sagittaire,"Dans les vies antérieures, comportement très écrasant, on a eu
tendance à exister en demandant aux autres de se mettre en
retrait, à prendre tout la place. Sa propre mère dans cette vie
sera aussi dans ce type de comportements.
On se sécurise en transmettant aux autres des connaissances, un
point de vue, même si c'est anodin. On apprend aussi à sortir de sa zone de confort."
lune,Maison,9,"Il existe une vulnérabilité vis-à-vis de la façon dont on prend
sa place, dont on réussit, dans notre propre légitimité à avoir
du succès, à savoir des choses et à les transmettre. On a peur
de partir loin, de l'aventure, on ne se sent pas capable. On a
pourtant soif de découvertes et de connaissances."
lune,Signe,Capricorne,"Dans les vies antérieures, comportement très froid. On a eu du
mal à se lier aux autres, dans son foyer, à donner de l'amour, à
accepter de dépendre de l'amour des autres parfois. On a eu
tendance à rester enfermé dans ses certitudes, ses convictions, à
avoir du mal à aimer, par peur de se laisser aller, de se sentir
vulnérable. En se sécurise par le travail, en s'organisant, par la
rigueur."
lune,Maison,10,"Il existe une vulnérabilité vis-à-vis de notre métier, de la façon
dont on réalise ses propres ambitions. On peut avoir peur de se
lancer, de se mettre sérieusement au travail, avec une tendance
à procrastiner. On peut avoir peur de la solitude. C'est en
même temps un placement qui indique qu'on travaillera en
fonction de sa vie émotionnelle."
lune,Signe,Verseau,"Dans les vies antérieures, comportement indépendant et froid.
On a eu du mal à transmettre de l'amour au foyer, à renoncer à
un peu de liberté pour le bien de son foyer par exemple, à
accepter de se plier à certaines exigences sociales. On a vécu
dans les idéologies, les imposant aux autres.
On se sécurise en se liant aux autres, en montant des projets, en se sentant utile au monde. "
lune,Maison,11,"Il existe une vulnérabilité vis-à-vis des groupes. On peut avoir
tendance à avoir peur des groupes de personnes élargis, tout
en ayant envie d'en faire partie. Il y a une méfiance amicale,
un peur de la trahison. On aura tendance à se cacher vis-à-vis
des autres pour éviter d'être un bouc émissaire."
lune,Signe,Poissons,"Dans les vies antérieures, comportement sacrificiel, on a été une
mère très culpabilisante, envahissante, on a cherché à acheter
l'amour des autres en réclamant de l'attention, de l'amour. On a
retrouvé soi-même ce type de mère dans cette vie. On a vécu
dans les vies antérieures dans l'illusion, refusant de se confronter
au réel, fuyant les situations problématiques. On se sécurise par la création, l'art, la spiritualité."
lune,Maison,12,"Il existe une vulnérabilité vis-à-vis de ses propres émotions,
une tendance au sacrifice, à la culpabilité. Vécu difficile avec
sa mère dans cette vie. On a peur de son propre inconscient,
de se perdre, de se noyer, d'être dilué ou même de devenir fou.
Les émotions sont mal vécues, semblent immenses et
ingérables. C'est une lune empreinte d'un vécu karmique."
soleil,maison,1,"vie antérieure tournée vers la spiritualité, les
émotions, on cherche à expérimenter maintenant l'action, le dynamisme,
à agir."
soleil,maison,2,"vie antérieure très active, compétitive, centrée sur
soi, on cherche maintenant à construire, à expérimenter la stabilité, la
sérénité, la lenteur."
soleil,maison,3,"vie antérieure tournée la possession et la sécurité,
on cherche à vivre dans plus de légèreté, à apprendre, on devient
curieux, on s'ouvre au monde extérieur."
soleil,maison,4,"vie antérieure tournée vers l'apprentissage,
l'intellect, on cherche à retrouver le lien à ses émotions, construire une
famille, un foyer, se lier aux autres au niveau sentimental."
soleil,maison,5,"vie antérieure guidée par ses émotions, dans sa
famille et son clan, on cherche à s'en extraire pour trouver sa propre
voie de rayonnement, à briller, trouver sa valeur individuelle."
soleil,maison,6,"vie antérieure tournée vers le besoin de
reconnaissance, la flatterie, on veut se rendre utile, se mettre au service
de l'autre, aider, on s'intéresse au soin et à la santé, à son métier."
soleil,maison,7,"vie antérieure tournée vers la rigueur d'une vie
organisée, on cherche à construire une relation, à vivre le couple et à se
tourner vers les autres, on cherche à les comprendre."
soleil,maison,8,"vie antérieure passée à construire la relation, on
cherche dorénavant à comprendre l'inconscient de la relation, l'impact
de l'autre sur soi-même, à travailler sur soi, s'introspecter."
soleil,maison,9,"vie antérieure tournée vers une certaine anxiété, on
cherche à se relier à la vie, à bouger, se développer, grandir, apprendre
et transmettre, expérimenter."
soleil,maison,10,"vie antérieure tournée vers la soif de la découverte,
de la compréhension, on va s'isoler pour rechercher en soi ses
aspirations profondes et le moyen d'aller vers ses ambitions."
soleil,maison,11,"vie antérieure très isolée, solitaire, tournée vers le
soi, on se relie aux autres et on essaie de comprendre quelle place on
dans l'humanité. On vit à travers les idées, la pensée."
soleil,maison,12,"vie antérieure tournée vers le dogme idéologique
intellectuel, on cherche à s'en libérer pour aller vers un monde
émotionnel et plus spirituel. On termine un cycle."
lune,precedente,soleil,"vous avez brillé dans la vie antérieure, l'égo a été un sujet important, pour retrouver de la valeur."
lune,precedente,mercure,"vous avez eu le sens des amis dans la vie antérieure, et vous avez cherché à beaucoup apprendre, découvrir de choses."
lune,precedente,venus,"vous venez d'une vie vénusienne, et vous venez avec une sensibilité, de la tendresse, une compréhension de l'amour universel pour l'amener sur terre."
lune,precedente,mars,"intense activité dans la vie antérieure, une tendance à la colère, une certaine violence et combativité."
lune,precedente,jupiter,"si mal aspecté, va indiquer les excès, sexuels, gourmands, financiers, égoïsme. Son placement va indiquer un secteur délaissé, là où l'évolution est incomplète. Si bien aspecté, des vies antérieures de chance, de bonne fortune"
lune,precedente,saturne ,"planète du karma, vie antérieure d'exil parce-que l'âme
refusait d'avancer. Il y a maintenant une pression intense à aller vers
son projet, changer. Saturne va donner l'impulsion du progrès, avec
patience et persévérance."
lune,precedente,uranus,"ie antérieure de liberté, de grands espaces, tant physique que mental. Il y a en soi une lutte intérieure contre les entraves de la matière, pour être libre. Tendance à l'idéalisme et à l'intolérance, il faut qu'Uranus gagne en maturité."
lune,precedente,neptune,"vie antérieure d'initiation religieuse, fascination pour les dons médiumniques, recours à la méditation... Neptune a plutôt tendance à accumuler des dettes karmiques. Plus il sera proche de la lune plus il fera peser de difficultés pour que la personne arrive à sortir de l'illusion."
lune,precedente,pluton,"vie antérieure de tensions, de difficultés, mais il y a une formidable source d'énergie qui nous pousse à profondément nous transformer. Il y a dans cette configuration le projet de grandir et d'aller vers son projet de vie, sa vérité intérieure."
lunaison,phase,Nouvelle Lune,"Incarnation centrée sur la découverte de soi. Énergie solaire puissante, charismatique et spontanée — la lumière vient de l'intérieur. Fort potentiel créatif et capacité à initier, mais risque d'épuisement avant l'aboutissement. Vision subjective de la vie, tendance à l'égocentrisme assumé : c'est le but du cycle. Le repli sur soi et la solitude font partie du chemin. L'introspection profonde devient ensuite une ressource pour guider les autres. Peut devenir une figure pionnière ou un symbole social."
lunaison,phase,Premier croissant,"L'élan est là, mais le monde résiste. Première confrontation entre la vision intérieure et les contraintes du réel — ce n'est plus le temps de rêver, c'est le temps d'agir malgré le doute. Tendance à hésiter avant de s'engager, mais une fois l'engagement pris, il est solide et durable. Construction patiente, brique par brique. Besoin de validation extérieure plus marqué qu'en Nouvelle Lune — apprendre à faire confiance à son propre élan sans attendre la permission. Capacité à transformer une vision en quelque chose de concret et de tangible. Force tranquille qui s'affirme progressivement."
lunaison,phase,Premier quartier,"Volonté forte, goût pour surmonter les obstacles — avec une satisfaction réelle à en sortir vainqueur. Parcours souvent semé de tensions et de crises : c'est le moteur, pas l'accident. Énergie puissante, déterminée, physiquement et mentalement active, parfois perçue comme trop exigeante. Impulsion profonde à challenger les structures existantes pour les remplacer par quelque chose de plus juste ou d'innovant. Vocation à inspirer les autres à libérer leur créativité et à ranimer leur flamme intérieure."
lunaison,phase,Gibbeuse croissante,"Programme intérieur tourné vers l'accomplissement : tout rassembler, bien faire, toujours mieux. Forte exigence envers soi-même, analyse constante du chemin parcouru. Capacité innée à évaluer les situations avec justesse. Influence naturellement apaisante, bienveillante et constructive — on aide, on fait avancer. Risque de ne jamais se sentir à la hauteur, de trouver continuellement quelque chose à améliorer. Fort potentiel d'accomplissement dans un domaine précis, voire d'illumination. Sentiment profond d'avoir une mission, désir de donner du sens à sa vie en se dévouant à quelque chose qui dépasse l'individuel."
lunaison,phase,Pleine Lune,"Apprentissage par l'autre, toujours. Ce qui est attiré dans les relations reflète les parties non intégrées de soi — y compris les zones d'ombre. Tension constante entre émotions et rationalité, subjectivité et objectivité : le conflit intérieur est structurel, pas accidentel. Fort risque de se sentir en opposition avec soi-même. Les relations sont à la fois la source des blessures et le chemin vers la conscience. Danger de dépendance et de répétition des mêmes schémas. Influence naturellement polarisante sur l'entourage. Idéalisme puissant, vision humaniste, capacité de recul et de synthèse rare. Potentiel de visionnaire — à condition d'intégrer la polarité Moi/Autre plutôt que de la subir."
lunaison,phase,Gibbeuse décroissante,"Leadership naturel mis au service des autres autant que de soi. Sème des idées, s'investit dans des causes. Un vécu souvent difficile dès l'enfance devient une ressource : capacité réelle à soutenir ceux qui traversent la détresse. Don inné pour transmettre, enseigner, communiquer. N'a pas peur de se battre pour ses convictions — avec un côté réformateur, voire révolutionnaire. Risque de dérive fanatique ou de confusion mentale. Doit apprendre à concilier sa vision avec la réalité des autres."
lunaison,phase,Dernier quartier,"Besoin de se retirer du monde, de s'intérioriser, de se connecter à quelque chose qui dépasse l'individuel. Créativité profonde, parfois des dons médiumniques. L'activité est davantage spirituelle et intellectuelle que physique. Quête existentielle quasi permanente sur le sens de la vie et la nature des choses. Personnalité complexe, relations interpersonnelles intenses — certaines personnes rencontrées viennent d'autres vies, avec des choses à terminer ou à guérir. Sentiment fort d'avoir un destin particulier, une mission, d'être à part — parfois le mouton noir de la famille. Vocation à œuvrer pour l'humain par la compassion. Peut devenir un visionnaire ou une figure prophétique. Le succès et l'épanouissement arrivent souvent tard dans la vie."
lunaison,phase,Lune balsamique,"Dernière phase avant la renaissance. Incarnation vécue comme une clôture karmique : il s'agit moins de construire que de terminer, de lâcher, de distiller ce qui a été vécu. Fort bagage des vies passées, sentiment d'être entre deux mondes — ni tout à fait dans le présent, ni encore dans le futur. Tendance naturelle au retrait, à la solitude, à la méditation. Don pour accompagner les autres vers des transitions, des fins de cycle, des deuils. Risque de mélancolie ou d'épuisement si on force le rythme du monde extérieur. Le succès visible n'est pas l'enjeu de cette incarnation — c'est la sagesse accumulée et transmise qui compte. Âme de sage, parfois incomprise de son vivant."
