PLANETE_1,ASPECT,PLANETE_2,SCORE,INTERPRETATION,IDENTITE,FAMILLE,MA_MERE,MA_PERE,GRANDS_AXES,COMMENT_GERER,AMOUR_STYLE,AMOUR_COUPLE,AMOUR_PARTENAIRE_FEMME,AMOUR_PARTENAIRE_HOMME,AMOUR_INTIMITE,KARMIQUE
maitre_asc,opposition,soleil,,"Tu peux avoir l’impression que ces deux parts de toi ne vont pas naturellement dans la même direction. Il peut en résulter des hésitations sur ton identité, une difficulté à savoir qui tu es réellement ou à assumer pleinement certaines facettes de toi-même. Tu peux parfois osciller entre deux façons d’être, comme si chacune remettait l’autre en question. Cette opposition peut aussi se vivre à travers le regard des autres, qui semblent te renvoyer une image de toi différente de celle que tu ressens intérieurement. Selon le reste du thème, elle peut également faire écho à une difficulté de reconnaissance ou de validation identitaire dans la relation au père ou à une figure d’autorité.","Tu peux avoir l’impression que ces deux parts de toi ne vont pas naturellement dans la même direction. Il peut en résulter des hésitations sur ton identité, une difficulté à savoir qui tu es réellement ou à assumer pleinement certaines facettes de toi-même. Tu peux parfois osciller entre deux façons d’être, comme si chacune remettait l’autre en question. Cette opposition peut aussi se vivre à travers le regard des autres, qui semblent te renvoyer une image de toi différente de celle que tu ressens intérieurement. ",peut également faire écho à une difficulté de reconnaissance ou de validation identitaire dans la relation au père ou à une figure d’autorité.,,peut également faire écho à une difficulté de reconnaissance ou de validation identitaire dans la relation au père ou à une figure d’autorité.,,,,,,,,
maitre_asc,opposition,lune,,"Tu peux avoir le sentiment que ce que tu ressens profondément ne correspond pas toujours à la personne que tu montres ou cherches à devenir. Tes émotions peuvent parfois te sembler contradictoires avec tes choix ou ta manière d’avancer. Tu peux osciller entre le besoin d’écouter ton ressenti et celui de t’en détacher pour continuer ton chemin. Cette opposition peut aussi se manifester dans la relation à la mère ou à une figure maternelle, avec le sentiment de ne pas avoir été pleinement compris, rassuré ou accueilli dans ce que tu étais.",Tu peux avoir le sentiment que ce que tu ressens profondément ne correspond pas toujours à la personne que tu montres ou cherches à devenir. Tes émotions peuvent parfois te sembler contradictoires avec tes choix ou ta manière d’avancer. Tu peux osciller entre le besoin d’écouter ton ressenti et celui de t’en détacher pour continuer ton chemin. ,"Cette opposition peut aussi se manifester dans la relation à la mère ou à une figure maternelle, avec le sentiment de ne pas avoir été pleinement compris, rassuré ou accueilli dans ce que tu étais.",,,,,,,,,,
maitre_asc,opposition,mercure,,"Tu peux avoir le sentiment que certaines pensées, idées ou vérités ne trouvent pas facilement leur place dans la personne que tu cherches à construire. Il peut exister des sujets que tu préfères éviter, des parts de toi difficiles à verbaliser ou une tendance à remettre constamment en question ce que tu ressens ou ce que tu es. Durant l’enfance, certains sujets ont pu être difficiles à exprimer ou à entendre, donnant l’impression qu’une partie de toi devait rester cachée. Tu peux beaucoup réfléchir pour tenter de te comprendre, sans toujours parvenir à trouver des réponses satisfaisantes. Cette opposition t’invite progressivement à accepter qu’une partie de ton identité échappe au contrôle du mental.","Tu peux avoir le sentiment que certaines pensées, idées ou vérités ne trouvent pas facilement leur place dans la personne que tu cherches à construire. Il peut exister des sujets que tu préfères éviter, des parts de toi difficiles à verbaliser ou une tendance à remettre constamment en question ce que tu ressens ou ce que tu es. . Tu peux beaucoup réfléchir pour tenter de te comprendre, sans toujours parvenir à trouver des réponses satisfaisantes. ","Durant l’enfance, certains sujets ont pu être difficiles à exprimer ou à entendre, donnant l’impression qu’une partie de toi devait rester cachée",,,,,,,,,,
maitre_asc,opposition,venus,,"Tu peux parfois avoir le sentiment de devoir choisir entre être pleinement toi-même et préserver l’harmonie dans tes relations. Certaines personnes semblent te renvoyer une image de toi qui ne correspond pas à ce que tu ressens intérieurement, ce qui peut générer des incompréhensions ou une difficulté à trouver ta juste place. Cette opposition peut également refléter une relation complexe avec une sœur, une figure féminine importante ou, chez certaines personnes, une difficulté à accepter pleinement leur propre féminin. Si tu es attiré(e) par les femmes, cette tension peut également se manifester dans tes relations avec elles, qu’elles soient amicales ou amoureuses.","Tu peux parfois avoir le sentiment de devoir choisir entre être pleinement toi-même et préserver l’harmonie dans tes relations. Certaines personnes semblent te renvoyer une image de toi qui ne correspond pas à ce que tu ressens intérieurement, ce qui peut générer des incompréhensions ou une difficulté à trouver ta juste place.  ","Cette opposition peut également refléter une relation complexe avec une sœur, une figure féminine importante ou, chez certaines personnes, une difficulté à accepter pleinement leur propre féminin.",,,,,,,,"Si tu es attiré(e) par les femmes, cette tension peut également se manifester dans tes relations avec elles, qu’elles soient amicales ou amoureuses.",,
maitre_asc,opposition,mars,,"Tu peux osciller entre des périodes où tu affirmes fortement tes besoins et d’autres où tu préfères les taire par peur des conflits ou de leurs conséquences. Tu peux avoir une relation ambivalente à la colère : tantôt tu la contiens, tantôt elle surgit lorsque la tension devient trop importante. Il peut également être difficile de trouver la juste mesure dans ta façon d’agir, alternant entre hésitation et impulsivité. Si tu es attiré(e) par les hommes, cette opposition peut parfois se manifester dans la relation au masculin, avec une difficulté à trouver un équilibre entre affirmation et domination. Chez un homme, elle peut refléter un questionnement sur sa manière d’incarner son énergie masculine. Une relation complexe avec un frère ou une figure masculine peut également participer à cette dynamique.","Tu peux osciller entre des périodes où tu affirmes fortement tes besoins et d’autres où tu préfères les taire par peur des conflits ou de leurs conséquences. Tu peux avoir une relation ambivalente à la colère : tantôt tu la contiens, tantôt elle surgit lorsque la tension devient trop importante. Il peut également être difficile de trouver la juste mesure dans ta façon d’agir, alternant entre hésitation et impulsivité. S Chez un homme, elle peut refléter un questionnement sur sa manière d’incarner son énergie masculine. ",Une relation complexe avec un frère ou une figure masculine peut également participer à cette dynamique.,,,,,,,"si tu es attiré(e) par les hommes, cette opposition peut parfois se manifester dans la relation au masculin, avec une difficulté à trouver un équilibre entre affirmation et domination.",,,
maitre_asc,opposition,jupiter,,"Tu peux osciller entre de grandes périodes de confiance, où tu te sens capable de tout accomplir, et d’autres où tu doutes profondément de ta valeur ou de ta légitimité. Tu peux parfois chercher à compenser ce manque par des ambitions très élevées, des projets multiples ou un besoin de reconnaissance important. Cette opposition peut également te confronter à des personnes qui semblent occuper la place que tu aimerais prendre, t’obligeant progressivement à définir la tienne. Avec le temps, tu développes une confiance plus stable, fondée sur ce que tu es réellement plutôt que sur le regard extérieur.","Tu peux osciller entre de grandes périodes de confiance, où tu te sens capable de tout accomplir, et d’autres où tu doutes profondément de ta valeur ou de ta légitimité. Tu peux parfois chercher à compenser ce manque par des ambitions très élevées, des projets multiples ou un besoin de reconnaissance important. Cette opposition peut également te confronter à des personnes qui semblent occuper la place que tu aimerais prendre, t’obligeant progressivement à définir la tienne. Avec le temps, tu développes une confiance plus stable, fondée sur ce que tu es réellement plutôt que sur le regard extérieur.",,,,,,,,,,,
maitre_asc,opposition,saturne,,"Tu peux avoir le sentiment qu’une partie de toi souhaite s’exprimer librement tandis qu’une autre la freine continuellement par peur de ne pas être à la hauteur. Tu peux alterner entre un fort besoin de contrôle et des moments où tu souhaites te libérer de toutes les contraintes. Cette opposition peut également se vivre à travers le regard d’un père, d’une figure d’autorité ou de personnes exigeantes qui semblent régulièrement remettre en question ta légitimité. En apprenant à ne plus construire ton identité uniquement à travers leurs attentes, tu développes progressivement une confiance plus solide et authentique.","Tu peux avoir le sentiment qu’une partie de toi souhaite s’exprimer librement tandis qu’une autre la freine continuellement par peur de ne pas être à la hauteur. Tu peux alterner entre un fort besoin de contrôle et des moments où tu souhaites te libérer de toutes les contraintes. CEn apprenant à ne plus construire ton identité uniquement à travers leurs attentes, tu développes progressivement une confiance plus solide et authentique.","peut également se vivre à travers le regard d’un père, d’une figure d’autorité ou de personnes exigeantes qui semblent régulièrement remettre en question ta légitimité. ",,,,,,,,,,
maitre_asc,opposition,uranus,,"Tu peux avoir le sentiment qu’une partie de toi aspire à construire une identité stable, tandis qu’une autre refuse toute forme d’enfermement ou de conformité. Il n’est pas rare que cette opposition se manifeste par des changements soudains, des ruptures ou des rencontres qui bouleversent la manière dont tu te définis. Tu peux également te sentir différent des autres ou avoir l’impression de ne jamais trouver pleinement ta place. Avec le temps, tu apprends à exprimer ton originalité sans avoir besoin de te définir uniquement par la rupture ou la provocation.","Tu peux avoir le sentiment qu’une partie de toi aspire à construire une identité stable, tandis qu’une autre refuse toute forme d’enfermement ou de conformité. Il n’est pas rare que cette opposition se manifeste par des changements soudains, des ruptures ou des rencontres qui bouleversent la manière dont tu te définis. Tu peux également te sentir différent des autres ou avoir l’impression de ne jamais trouver pleinement ta place. Avec le temps, tu apprends à exprimer ton originalité sans avoir besoin de te définir uniquement par la rupture ou la provocation.",,,,,,,,,,,
maitre_asc,opposition,neptune,,"u peux osciller entre le désir de rester fidèle à toi-même et la tendance à t’adapter aux attentes ou aux émotions des autres. Il peut être difficile de savoir où tu t’arrêtes et où commence l’autre, ce qui peut parfois générer de la confusion ou un sentiment de perte de repères. Cette opposition peut également faire écho à une blessure d’abandon, réelle ou symbolique, ou au sentiment de ne pas avoir reçu un amour totalement inconditionnel. Avec le temps, tu apprends à développer une identité plus stable sans renoncer à ta sensibilité ni à ton empathie.","tu peux osciller entre le désir de rester fidèle à toi-même et la tendance à t’adapter aux attentes ou aux émotions des autres. Il peut être difficile de savoir où tu t’arrêtes et où commence l’autre, ce qui peut parfois générer de la confusion ou un sentiment de perte de repères.  Avec le temps, tu apprends à développer une identité plus stable sans renoncer à ta sensibilité ni à ton empathie.","Cette opposition peut également faire écho à une blessure d’abandon, réelle ou symbolique, ou au sentiment de ne pas avoir reçu un amour totalement inconditionnel.",,,,,,,,,,
maitre_asc,opposition,pluton,,"Tu peux avoir le sentiment que certaines parts de toi sont difficiles à accepter ou qu’elles ressurgissent malgré toi au fil des expériences de vie. Cette opposition peut t’amener à vivre des rapports de force, des peurs de perte, de rejet ou de trahison qui viennent régulièrement questionner la personne que tu crois être. Tu peux également avoir tendance à cacher certaines facettes de toi jusqu’à ce qu’un événement ou une relation t’oblige à les regarder en face. Avec le temps, cette dynamique devient un puissant moteur de transformation intérieure, t’amenant à construire une identité plus consciente et plus profonde.","Tu peux avoir le sentiment que certaines parts de toi sont difficiles à accepter ou qu’elles ressurgissent malgré toi au fil des expériences de vie. Cette opposition peut t’amener à vivre des rapports de force, des peurs de perte, de rejet ou de trahison qui viennent régulièrement questionner la personne que tu crois être. Tu peux également avoir tendance à cacher certaines facettes de toi jusqu’à ce qu’un événement ou une relation t’oblige à les regarder en face. Avec le temps, cette dynamique devient un puissant moteur de transformation intérieure, t’amenant à construire une identité plus consciente et plus profonde.",,,,,,,,,,,
,,,,,,,,,,,,,,,,
lune,conjonction,soleil,,"Le soleil
conjoint à la lune indique une naissance en nouvelle lune, ce qui
est une configuration karmique, indiquant un début de cycle dans
cette incarnation, et la fin du cycle précédent. Cette conjonction a
une dimension un peu dissonante, dans le sens où elle apporte un
certain flou intérieur, à cause d’une confusion entre sa conscience
et ses émotions. Cela rend parfois difficile la perception de soi, et
amène une confusion intérieure.
On peut avoir du mal à prendre du recul et comprendre ses
émotions, tant elles se fondent dans le soleil, et on confond
parfois ce qu’on l’on est avec ce que l’on ressent. Notre identité
peut être très changeante, au fil de la vie, mais aussi selon les
humeurs, ambiances, humeurs des personnes qui nous entourent.
On peut avoir certaines turbulences émotionnelles, des sensations
de déséquilibre, portant une extrême sensibilité. On peut avoir du
mal à se rendre compte de l’effet que l’on produit sur les autres,
comme si tout est parfois un peu flou, incompréhensible autour de
nous.
Mais cette conjonction peut apporter une certaine popularité, la
possibilité d’être connu(e)/reconnu(e) dans cette vie. On peut
avoir également eu une certaine popularité dans les vies passées.
Notre part Yang est mélangée, fusionnée, avec notre part Yin, ce
qui peut amener à la fois de la confusion, à la fois parfois une
certaine cohérence entre ces deux parts de nous.
On a tendance à ressentir de la fatigabilité, car la constitution
associée à la lune peut être brûlée par le soleil, ce qui peut nous
freiner dans nos décisions, actions, ayant un côté changeant,
lunatique.","Fusion entre identité et émotions : difficulté à prendre du recul sur ce qu’on ressent. Humeur changeante, personnalité évolutive, impression de se redéfinir constamment. Sensibilité forte aux ambiances et aux influences extérieures. Fatigabilité émotionnelle possible. En ressource : cohérence instinctive entre volonté et ressenti, capacité à unir intuition et conscience.","Fusion ou confusion des rôles parentaux : difficulté à distinguer clairement les places du père et de la mère. Parents très liés, complémentaires ou fonctionnant en bloc. L’enfant grandit avec peu de séparation entre ses propres besoins et ceux de la famille. Repères émotionnels parfois flous, tendance à absorber l’ambiance familiale.","Fusion ou confusion des rôles parentaux : difficulté à distinguer clairement les places du père et de la mère. Parents très liés, complémentaires ou fonctionnant en bloc. L’enfant grandit avec peu de séparation entre ses propres besoins et ceux de la famille. Repères émotionnels parfois flous, tendance à absorber l’ambiance familiale.","Fusion ou confusion des rôles parentaux : difficulté à distinguer clairement les places du père et de la mère. Parents très liés, complémentaires ou fonctionnant en bloc. L’enfant grandit avec peu de séparation entre ses propres besoins et ceux de la famille. Repères émotionnels parfois flous, tendance à absorber l’ambiance familiale.","Configuration karmique de nouvelle lune — début de cycle dans cette incarnation, clôture du cycle précédent. Thème de vie centré sur la construction progressive d'une identité stable, distincte des influences émotionnelles et familiales reçues. L'axe Soleil-Lune demande une intégration consciente des parts Yang et Yin : ni l'une ne doit écraser l'autre. Le travail de vie est de parvenir à distinguer ce qu'on est de ce qu'on ressent — et d'en faire une force plutôt qu'une source de confusion.","il sera important de clarifier
les rôles parentaux et comprendre ce qui s’est joué dans cette
association (ou difficulté d’association si conjonction dissociée)
parentale. Nous aurons besoin, au fil de notre vie, d’apprendre à
nous connaître, pour clarifier notre identité, nos fonctionnements,
nos émotions, apprendre à se comprendre, pour pouvoir prendre
de justes décisions pour soi, savoir plus ce que l’on veut et ce que
l’on veut réaliser dans sa vie.
Plus nous évoluerons dans la clarté intérieure, la clarté d’esprit,
plus nous serons au clair sur le chemin que l’on voudra prendre.
On devra veiller également à se préserver de la fusion du couple,
notamment avec notre partenaire avec qui nous nous engagerons
(soleil : mari, lune : femme). Nous aurons peut être envie de
fusionner pour nous sentir réellement complèt(e)s en nous même,
ce qui ne sera pas bon pour nous. Il faudra veiller à préserver une
juste indépendance, ne pas chercher à ne faire qu’un dans la
relation, et ne pas attendre trop du couple et de la relation. Là
aussi, à nouveau, il faudra veiller à clarifier la place de chacun(e),
clarifier ce qui relève de l’autre et de soi, clarifier ses propres
émotions et celles de l’autre.","Tes besoins émotionnels et ton identité sont profondément fusionnés. Tu ressens les choses de manière entière : difficile de prendre de la distance avec ce que tu vis intérieurement. En amour, ton état émotionnel influence directement ton rapport à toi-même et au lien.","Identité et émotions fusionnent. Tu cherches un amour qui fait corps, qui rassure, où l'on est  un . Grande cohérence intérieure quand tu es aligné(e), mais difficulté à distinguer ce que tu veux de ce que tu ressens. Ton style : l'amour comme prolongement de toi-même.","Tu projettes sur l'homme idéal une fusion entre force et douceur. Il doit être à la fois solide et nourrissant — un homme qui protège ET qui prend soin. Tu cherches un partenaire qui incarne le masculin et le féminin réconciliés. Non intégré, tu peux attendre qu'il soit tout : père, mère, amant, ami — une pression impossible. Ou tu attires des hommes dont l'identité est floue, qui ne savent pas vraiment qui ils sont. Intégré, tu choisis un homme complet, en contact avec ses émotions, capable de force tendre.","Tu cherches une femme qui incarne à la fois la lumière et le refuge. Attiré par une femme solaire, charismatique, sûre d’elle. Elle doit être solaire mais aussi rassurante — quelqu'un dont tu es fier et qui te fait te sentir  chez toi . La femme idéale pour construire a une présence forte et une chaleur enveloppante. Non intégré, tu peux confondre admiration et sécurité, choisissant des femmes brillantes mais incapables de créer un foyer, ou au contraire étouffer une partenaire lumineuse en voulant qu'elle ne brille que pour toi. Intégré, tu choisis une femme qui rayonne ET qui nourrit — la maison devient un lieu de lumière partagée.",,
lune,conjonction_dissociee,soleil,,"cette conjonction en version dissociée
indiquera plutôt une difficulté pour les parents à faire bloc. Ils
voulaient s’associer, mais n’y sont pas parvenus, comme si
quelque chose de trop important les séparait (voir selon signes,
maisons ce qui pouvait les différencier, puis reste du thème). Cela
indique une impossibilité de s’entendre, comme une barrière et
peut donc indiquer des difficultés relationnelles entre eux.
Sur le plan comportemental, cette conjonction en version
dissociée peut indiquer d’autant plus certaines confusions : on
cherche à associer ces 2 parties de soi, mais quelque chose les
sépare. On n’arrive ainsi plus à s’identifier à ses émotions, qui sont
pourtant brûlées par le soleil donc excessives parfois, notre
identité sera d’autant plus changeante, générant une difficulté
pour se comprendre.","La confusion entre être et ressentir est encore plus marquée — les deux parties cherchent à s'unir mais quelque chose les sépare structurellement. L'identité devient d'autant plus instable : on n'arrive pas à s'identifier à ses émotions, pourtant intenses car brûlées par le Soleil. Le résultat est une alternance entre excès émotionnel et sentiment de ne pas se reconnaître. Difficulté accrue à se comprendre soi-même.","Les parents voulaient fonctionner en duo mais n'y sont pas parvenus — une barrière trop importante les séparait. Difficultés relationnelles entre eux visibles pour l'enfant. Contrairement à la conjonction standard où les parents fusionnent, ici l'enfant perçoit la tension entre deux pôles qui aspirent à s'unir sans y parvenir. À croiser avec les signes et maisons pour identifier ce qui les différenciait.","Les parents voulaient fonctionner en duo mais n'y sont pas parvenus — une barrière trop importante les séparait. Difficultés relationnelles entre eux visibles pour l'enfant. Contrairement à la conjonction standard où les parents fusionnent, ici l'enfant perçoit la tension entre deux pôles qui aspirent à s'unir sans y parvenir. À croiser avec les signes et maisons pour identifier ce qui les différenciait.","Les parents voulaient fonctionner en duo mais n'y sont pas parvenus — une barrière trop importante les séparait. Difficultés relationnelles entre eux visibles pour l'enfant. Contrairement à la conjonction standard où les parents fusionnent, ici l'enfant perçoit la tension entre deux pôles qui aspirent à s'unir sans y parvenir. À croiser avec les signes et maisons pour identifier ce qui les différenciait.",Thème de vie centré sur la réconciliation de deux parts de soi qui se cherchent sans se trouver facilement. Le travail est plus exigeant que pour la conjonction standard — l'intégration Soleil-Lune demande un effort conscient et prolongé.,"il sera important de clarifier
les rôles parentaux et comprendre ce qui s’est joué dans cette
association (ou difficulté d’association si conjonction dissociée)
parentale. Nous aurons besoin, au fil de notre vie, d’apprendre à
nous connaître, pour clarifier notre identité, nos fonctionnements,
nos émotions, apprendre à se comprendre, pour pouvoir prendre
de justes décisions pour soi, savoir plus ce que l’on veut et ce que
l’on veut réaliser dans sa vie.
Plus nous évoluerons dans la clarté intérieure, la clarté d’esprit,
plus nous serons au clair sur le chemin que l’on voudra prendre.
On devra veiller également à se préserver de la fusion du couple,
notamment avec notre partenaire avec qui nous nous engagerons
(soleil : mari, lune : femme). Nous aurons peut être envie de
fusionner pour nous sentir réellement complèt(e)s en nous même,
ce qui ne sera pas bon pour nous. Il faudra veiller à préserver une
juste indépendance, ne pas chercher à ne faire qu’un dans la
relation, et ne pas attendre trop du couple et de la relation. Là
aussi, à nouveau, il faudra veiller à clarifier la place de chacun(e),
clarifier ce qui relève de l’autre et de soi, clarifier ses propres
émotions et celles de l’autre.",,,,,,
