TYPE,DONNEE,VALEUR,SCORE,INTERPRETATION,IDENTITE,FAMILLE,MA_MERE,MA_PERE,GRANDS_AXES,COMMENT_GERER,AMOUR_STYLE,AMOUR_COUPLE,AMOUR_PARTENAIRE_FEMME,AMOUR_PARTENAIRE_HOMME,AMOUR_INTIMITE,KARMIQUE,KARMIQUE_VIE_PASSEES
ascendant,signe,verseau,,"L'ascendant verseau fonctionne dans son mental et dans ses idées. Plutôt froid et distant, il comprend mal le monde des émotions et rationnalise tout. Il semble alors détaché des autres, préférant les relations impersonnelles ou les amours libres que les relations engagées et les intimes. Il aimera ses groupes d'amis, mais se confiera peu à eux et restera détaché. Ce qui compte c'est sa liberté, son indépendance et affirmer son originalité. Il a tendance à être rebelle, militant, prônant une certain vision du monde, ayant une vision globale, mondiale, aimant les concepts sociologiques et politiques. Il est inventif, novateur, avant-gardiste, ce qui le marginalise parfois. Il aime qui sort de l'ordinaire.","L'ascendant verseau fonctionne dans son mental et dans ses idées. Plutôt froid et distant, il comprend mal le monde des émotions et rationnalise tout. Il semble alors détaché des autres, préférant les relations impersonnelles ou les amours libres que les relations engagées et les intimes. Il aimera ses groupes d'amis, mais se confiera peu à eux et restera détaché. Ce qui compte c'est sa liberté, son indépendance et affirmer son originalité. Il a tendance à être rebelle, militant, prônant une certain vision du monde, ayant une vision globale, mondiale, aimant les concepts sociologiques et politiques. Il est inventif, novateur, avant-gardiste, ce qui le marginalise parfois. Il aime qui sort de l'ordinaire.",,,,,,"Tu charmes par ton originalité et ta capacité à surprendre. Ton approche intellectuelle et décalée crée une dynamique unique où l'autre découvre quelqu'un qui ne rentre dans aucune case. Cette liberté assumée peut désarçonner, mais elle attire ceux qui cherchent l'authenticité plutôt que la conformité.",,,,,,
ascendant,signe,poissons,,"L'ascendant poissons est très sensible et perméable aux ambiances et émotions des autres, à son environnement. Intuitif, il ressent facilement le monde invisible, la spiritualité étant nécessaire pour son équilibre, lui qui a du mal à se confronter à la réalité du monde. Parfois fuyant, il peut aussi être très fusionnel, vivant dans ses rêves et fantasmant l'amour. Il peut être difficile à cerner, ayant du mal à s'engager sans lui même savoir pourquoi, vivant dans une forme de brouillard. Il semble déconnecté, cyclique, insondable, il vit dans une autre sphère. Il aime l'art, la musique, il peut être sensible aux addictions.","L'ascendant poissons est très sensible et perméable aux ambiances et émotions des autres, à son environnement. Intuitif, il ressent facilement le monde invisible, la spiritualité étant nécessaire pour son équilibre, lui qui a du mal à se confronter à la réalité du monde. Parfois fuyant, il peut aussi être très fusionnel, vivant dans ses rêves et fantasmant l'amour. Il peut être difficile à cerner, ayant du mal à s'engager sans lui même savoir pourquoi, vivant dans une forme de brouillard. Il semble déconnecté, cyclique, insondable, il vit dans une autre sphère. Il aime l'art, la musique, il peut être sensible aux addictions.",,,,,,"Tu abordes la séduction avec une douceur rêveuse et une empathie fusionnelle. Ton intuition te permet de t'adapter à l'énergie de l'autre et de créer une bulle émotionnelle. Cette approche fluide et réceptive peut sembler insaisissable, mais elle crée une intimité poétique où l'autre se sent compris sans avoir à s'expliquer.",,,,,,
maitre_asc,signe,belier,,"On avance dans la vie de manière instinctive, directe et impulsive. On ressent un besoin fort d’agir, de décider rapidement et de garder le contrôle sur sa trajectoire. Le rapport à l’identité passe par l’action, le défi, l’affirmation de soi et le mouvement. Difficulté à supporter la lenteur, la dépendance ou les situations où l’on se sent bloqué. Tempérament plus combatif, réactif et impatient que ce que l’Ascendant seul pourrait laisser penser.","On avance dans la vie de manière instinctive, directe et impulsive. On ressent un besoin fort d’agir, de décider rapidement et de garder le contrôle sur sa trajectoire. Le rapport à l’identité passe par l’action, le défi, l’affirmation de soi et le mouvement. Difficulté à supporter la lenteur, la dépendance ou les situations où l’on se sent bloqué. Tempérament plus combatif, réactif et impatient que ce que l’Ascendant seul pourrait laisser penser.",,,,,,,,,,,,
maitre_asc,signe,taureau,,"On construit son identité dans la stabilité, la sécurité et le concret. Besoin de maîtriser son environnement, d’avancer lentement mais sûrement et de s’appuyer sur des repères solides. Rapport fort au confort, au corps, aux plaisirs simples, à l’argent ou aux valeurs matérielles. Tempérament patient et persévérant, mais pouvant devenir très têtu ou résistant au changement lorsqu’on se sent insécurisé.","On construit son identité dans la stabilité, la sécurité et le concret. Besoin de maîtriser son environnement, d’avancer lentement mais sûrement et de s’appuyer sur des repères solides. Rapport fort au confort, au corps, aux plaisirs simples, à l’argent ou aux valeurs matérielles. Tempérament patient et persévérant, mais pouvant devenir très têtu ou résistant au changement lorsqu’on se sent insécurisé.",,,,,,,,,,,,
maitre_asc,signe,gemeaux,,"L’identité se construit à travers le mouvement mental, les échanges, l’apprentissage et la curiosité. On a besoin de stimulation intellectuelle constante et on supporte mal l’ennui ou les environnements figés. Capacité à montrer plusieurs facettes selon les contextes, à changer rapidement d’avis ou à s’adapter facilement aux autres. Le rapport à soi passe beaucoup par la communication, les idées, l’humour et la capacité à comprendre rapidement son environnement.","L’identité se construit à travers le mouvement mental, les échanges, l’apprentissage et la curiosité. On a besoin de stimulation intellectuelle constante et on supporte mal l’ennui ou les environnements figés. Capacité à montrer plusieurs facettes selon les contextes, à changer rapidement d’avis ou à s’adapter facilement aux autres. Le rapport à soi passe beaucoup par la communication, les idées, l’humour et la capacité à comprendre rapidement son environnement.",,,,,,,,,,,,
maitre_asc,signe,cancer,,"On avance dans la vie à travers la sensibilité, la protection émotionnelle et les besoins affectifs. L’identité se construit autour du besoin de sécurité intérieure, de liens rassurants et d’un attachement fort au passé ou au foyer. Grande réceptivité émotionnelle, mémoire affective importante et tendance à fonctionner selon l’humeur ou le ressenti du moment. Difficulté à se sentir stable lorsque le monde émotionnel est perturbé.","On avance dans la vie à travers la sensibilité, la protection émotionnelle et les besoins affectifs. L’identité se construit autour du besoin de sécurité intérieure, de liens rassurants et d’un attachement fort au passé ou au foyer. Grande réceptivité émotionnelle, mémoire affective importante et tendance à fonctionner selon l’humeur ou le ressenti du moment. Difficulté à se sentir stable lorsque le monde émotionnel est perturbé.",,,,,,,,,,,,
maitre_asc,signe,lion,,"On a besoin d’exister pleinement, d’être reconnu et de rayonner dans ce que l’on fait. L’identité se construit à travers l’expression personnelle, la créativité, l’affirmation et le besoin de laisser une trace. Tempérament plus fier, chaleureux, démonstratif ou théâtral que ce que l’Ascendant seul pourrait laisser penser. Besoin d’être admiré, valorisé ou respecté, avec une forte difficulté à vivre l’humiliation ou l’indifférence.","On a besoin d’exister pleinement, d’être reconnu et de rayonner dans ce que l’on fait. L’identité se construit à travers l’expression personnelle, la créativité, l’affirmation et le besoin de laisser une trace. Tempérament plus fier, chaleureux, démonstratif ou théâtral que ce que l’Ascendant seul pourrait laisser penser. Besoin d’être admiré, valorisé ou respecté, avec une forte difficulté à vivre l’humiliation ou l’indifférence.",,,,,,,,,,,,
maitre_asc,signe,vierge,,"L’identité se construit autour du contrôle, de l’analyse et du besoin d’être utile. On cherche à comprendre, organiser, corriger ou améliorer ce qui nous entoure. Fonctionnement mental très actif, tendance à l’autocritique et difficulté à lâcher prise lorsque les choses échappent au contrôle. Besoin de maîtriser les détails, de se sentir compétent et de trouver une utilité concrète dans la vie quotidienne.","L’identité se construit autour du contrôle, de l’analyse et du besoin d’être utile. On cherche à comprendre, organiser, corriger ou améliorer ce qui nous entoure. Fonctionnement mental très actif, tendance à l’autocritique et difficulté à lâcher prise lorsque les choses échappent au contrôle. Besoin de maîtriser les détails, de se sentir compétent et de trouver une utilité concrète dans la vie quotidienne.",,,,,,,,,,,,
maitre_asc,signe,balance,,"L’identité se construit à travers les relations, le regard des autres et la recherche d’harmonie. On avance en cherchant à créer des liens équilibrés, à séduire ou à maintenir une bonne entente autour de soi. Sensibilité forte à l’ambiance relationnelle, au rejet, aux conflits ou à l’injustice. Difficulté à prendre certaines décisions seul, besoin fréquent de validation ou de coopération.","L’identité se construit à travers les relations, le regard des autres et la recherche d’harmonie. On avance en cherchant à créer des liens équilibrés, à séduire ou à maintenir une bonne entente autour de soi. Sensibilité forte à l’ambiance relationnelle, au rejet, aux conflits ou à l’injustice. Difficulté à prendre certaines décisions seul, besoin fréquent de validation ou de coopération.",,,,,,,,,,,,
maitre_asc,signe,scorpion,,"On avance dans la vie avec intensité, lucidité et instinct de contrôle. Le rapport à soi passe par les transformations profondes, les rapports de pouvoir, les émotions fortes et la capacité à survivre aux crises. Grande méfiance naturelle, difficulté à montrer sa vulnérabilité et tendance à observer avant de faire confiance. L’identité se construit souvent dans les expériences extrêmes, les remises en question ou les renaissances psychologiques.","On avance dans la vie avec intensité, lucidité et instinct de contrôle. Le rapport à soi passe par les transformations profondes, les rapports de pouvoir, les émotions fortes et la capacité à survivre aux crises. Grande méfiance naturelle, difficulté à montrer sa vulnérabilité et tendance à observer avant de faire confiance. L’identité se construit souvent dans les expériences extrêmes, les remises en question ou les renaissances psychologiques.",,,,,,,,,,,,
maitre_asc,signe,sagittaire,,"L’identité se construit dans l’expansion, la liberté et la recherche de sens. Besoin de mouvement, d’évolution, d’exploration ou d’ouverture sur le monde. Tempérament plus spontané, optimiste et aventureux que ce que l’Ascendant seul pourrait laisser penser. Difficulté à supporter l’enfermement, la routine ou les environnements trop limitants. Le rapport à soi passe beaucoup par les croyances, les projets et la sensation d’avancer vers quelque chose de plus grand.","L’identité se construit dans l’expansion, la liberté et la recherche de sens. Besoin de mouvement, d’évolution, d’exploration ou d’ouverture sur le monde. Tempérament plus spontané, optimiste et aventureux que ce que l’Ascendant seul pourrait laisser penser. Difficulté à supporter l’enfermement, la routine ou les environnements trop limitants. Le rapport à soi passe beaucoup par les croyances, les projets et la sensation d’avancer vers quelque chose de plus grand.",,,,,,,,,,,,
maitre_asc,signe,capricorne,,"L’identité se construit dans le contrôle, la maîtrise et la recherche de solidité. On ressent rapidement le poids des responsabilités, des attentes ou du temps. Besoin de construire quelque chose de durable, de crédible et de stable. Tempérament plus réservé, prudent ou exigeant envers soi-même. Difficulté à lâcher prise, peur de l’échec ou besoin constant de garder le contrôle sur sa trajectoire.","L’identité se construit dans le contrôle, la maîtrise et la recherche de solidité. On ressent rapidement le poids des responsabilités, des attentes ou du temps. Besoin de construire quelque chose de durable, de crédible et de stable. Tempérament plus réservé, prudent ou exigeant envers soi-même. Difficulté à lâcher prise, peur de l’échec ou besoin constant de garder le contrôle sur sa trajectoire.",,,,,,,,,,,,
maitre_asc,signe,verseau,,"L’identité se construit dans la différence, l’indépendance et la liberté mentale. Besoin d’exister selon ses propres règles, de se sentir libre dans ses choix et de ne pas être enfermé dans des normes trop rigides. Fonctionnement souvent plus atypique, détaché ou imprévisible. Le rapport à soi passe par les idées, les projets collectifs, l’innovation ou le besoin de garder une forme de distance émotionnelle.","L’identité se construit dans la différence, l’indépendance et la liberté mentale. Besoin d’exister selon ses propres règles, de se sentir libre dans ses choix et de ne pas être enfermé dans des normes trop rigides. Fonctionnement souvent plus atypique, détaché ou imprévisible. Le rapport à soi passe par les idées, les projets collectifs, l’innovation ou le besoin de garder une forme de distance émotionnelle.",,,,,,,,,,,,
maitre_asc,signe,poissons,,"On avance dans la vie de manière intuitive, sensible et perméable à son environnement. L’identité se construit à travers le ressenti, l’imaginaire, l’émotionnel ou la spiritualité. Grande empathie, capacité à capter les ambiances et les émotions des autres, mais difficulté possible à poser des limites claires. Tendance à fuir les réalités trop dures, à idéaliser ou à se perdre dans des projections émotionnelles ou affectives.","On avance dans la vie de manière intuitive, sensible et perméable à son environnement. L’identité se construit à travers le ressenti, l’imaginaire, l’émotionnel ou la spiritualité. Grande empathie, capacité à capter les ambiances et les émotions des autres, mais difficulté possible à poser des limites claires. Tendance à fuir les réalités trop dures, à idéaliser ou à se perdre dans des projections émotionnelles ou affectives.",,,,,,,,,,,,
maitre_asc,maison,1,,"L’identité prend énormément de place dans la vie. Besoin fort d’exister par soi-même, de contrôler son image et de sentir que l’on dirige sa trajectoire. La personnalité devient plus visible, assumée et incarnée. Difficulté à rester passif ou à vivre dans l’ombre.","L’identité prend énormément de place dans la vie. Besoin fort d’exister par soi-même, de contrôler son image et de sentir que l’on dirige sa trajectoire. La personnalité devient plus visible, assumée et incarnée. Difficulté à rester passif ou à vivre dans l’ombre.",,,,,,,,,,,,
maitre_asc,maison,2,,"Le rapport à soi passe beaucoup par les ressources, la sécurité matérielle et la stabilité. Besoin de construire quelque chose de solide et durable pour se sentir légitime. L’identité peut être fortement liée à la valeur personnelle, au travail, à l’argent ou à la capacité à produire concrètement.","Le rapport à soi passe beaucoup par les ressources, la sécurité matérielle et la stabilité. Besoin de construire quelque chose de solide et durable pour se sentir légitime. L’identité peut être fortement liée à la valeur personnelle, au travail, à l’argent ou à la capacité à produire concrètement.",,,,,,,,,,,,
maitre_asc,maison,3,,"L’identité se construit à travers les échanges, l’apprentissage, le mouvement et la communication. Besoin de stimulation mentale permanente, difficulté à rester enfermé dans une routine figée. Importance des idées, des rencontres, des discussions et du besoin d’être compris intellectuellement.","L’identité se construit à travers les échanges, l’apprentissage, le mouvement et la communication. Besoin de stimulation mentale permanente, difficulté à rester enfermé dans une routine figée. Importance des idées, des rencontres, des discussions et du besoin d’être compris intellectuellement.",,,,,,,,,,,,
maitre_asc,maison,4,,"Le rapport à soi passe fortement par la sécurité émotionnelle, les racines et les besoins affectifs profonds. Importance du foyer, de la famille ou du besoin de se sentir protégé intérieurement. L’identité peut être marquée par le passé, l’enfance ou des mémoires émotionnelles très présentes.","Le rapport à soi passe fortement par la sécurité émotionnelle, les racines et les besoins affectifs profonds. Importance du foyer, de la famille ou du besoin de se sentir protégé intérieurement. L’identité peut être marquée par le passé, l’enfance ou des mémoires émotionnelles très présentes.",,,,,,,,,,,,
