DONNEE,MAISON,SIGNE,INTERPRETATION,BLOC,PRIORITE
maison,1,verseau,"L'ascendant verseau fonctionne dans son mental et dans ses idées. Plutôt froid et distant, il comprend mal le monde des émotions et rationnalise tout. Il semble alors détaché des autres, préférant les relations impersonnelles ou les amours libres que les relations engagées et les intimes. Il aimera ses groupes d'amis, mais se confiera peu à eux et restera détaché.
Ce qui compte c'est sa liberté, son indépendance et affirmer son originalité. Il a tendance à être rebelle, militant, prônant une certain vision du monde, ayant une vision globale, mondiale, aimant les concepts sociologiques et politiques. Il est inventif, novateur, avant-gardiste, ce qui le marginalise parfois. Il aime ce qui sort de l'ordinaire.",,
maison,1,poissons,"L'ascendant poissons est très sensible et perméable aux ambiances et émotions des autres, à son environnement. Intuitif, il ressent facilement le monde invisible, la spiritualité étant nécessaire pour son équilibre, lui qui a du mal à se confronter à la réalité du monde.
Parfois fuyant, il peut aussi être très fusionnel, vivant dans ses rêves et fantasmant l'amour. Il peut être difficile à cerner, ayant du mal à sengager sans lui même savoir pourquoi, vivant dans une forme de brouillard.
Il semble déconnecté, cyclique, insondable, il vit dans une autre sphère. Il aime l'art, la musique, il peut être sensible aux addictions.",,
maison,2,bélier,"On gagne et dépense son argent de façon impulsive, esprit parfois agressif pour défendre ses intérêts financiers. On travaille avec ardeur pour gagner sa vie. Les habitudes alimentaires peuvent être source de troubles digestifs.",,
maison,2,taureau,"Position naturelle de la maison 2, on peut être très conservateur concernant ses acquis, mais aussi vouloir partager avec ses proches le fruit de son travail. Persévérance dans le travail, sens des affaires. Attachement presque sensuel aux biens matériels.",,
maison,2,gémeaux,"Donne de la mobilité intellectuelle pour gérer les finances au quotidien, mais difficile de faire des économies, tendance à dépenser. Adaptabilité pour se sortir de périodes difficiles et trouver des solutions.",,
maison,2,cancer,"On utilise son argent pour sa famille, pour sa maison. On peut hériter de l'argent de sa famille pour pouvoir vivre confortablement. Avec cette position on peut être amené à gagner sa vie en restant à la maison.",,
maison,2,lion,"Amour de l'argent, du faste, du clinquant, recherche d'une abondance financière et réussite matérielle. On aime pas particulièrement le travail dur, mais on veut réussir pour briller et vivre dans un certain confort.",,
maison,2,vierge,"Sens pratique, méthode pour gérer un budget. Les dépenses sont surveillées de près. Technicité dans le travail, on doit gagner sa vie en se rendant utile. Un secteur de dépense plus important concernant la santé, étroitement surveillée !",,
maison,2,balance,"L'argent ne doit pas constituer une source de disharmonie, donc on l'utilise pour rendre le foyer accueillant, beau, agréable.
Générosité avec les proches. Le besoin de s'associer dans son travail est important, de travailler avec les autres.",,
maison,2,scorpion,"L'argent n'est pas utilisé pour vivre mais pour augmenter en pouvoir. Problèmes financiers possibles au sujet d'héritages ou de placements, mais le scorpion sait se transformer pour régler la situation.",,
maison,2,sagittaire,"L'argent permet surtout l'acquisition d'une certaine place et reconnaissance dans la société. On aime le luxe, les belles choses, mais on saura aussi être généreux. L'argent peut venir de l'étranger.",,
maison,2,capricorne,"Sens de l'économie, qui est gagné par le biais d'un travail rigoureux. L'ambition n'est pas d'accumuler des biens matériels, mais de gagner lentement mais sûrement son argent pour de vraies raisons. Acheter un bien immobilier, par exemple.",,
maison,2,verseau,"L'argent devrait toujours être redonné pour des causes sociales, ou pour aider ses amis. Peu d'attache aux biens matériels, jugés superficiels. Argent gagné dans un travail indépendant ou en association, d'une manière novatrice.",,
maison,2,poissons,"Manque de sens pratique dans le sens matériel. Manque d'objectivité dans les finances, fortement influençable sur les placements à faire. Difficulté à faire face aux problématiques matérielles, va utiliser son intuition pour se sortir des situations.",,
maison,3,bélier,"Les disputes ont pu être nombreuses dans la fratrie et avec l'entourage. La mémoire est courte, et on organise les voyages à la hâte sans s'organiser. Le raisonnement et la réflexion sont impulsifs, manquant d'anticipation.",,
maison,3,taureau,"L'esprit manque de légèreté et de curiosité, il est centré sur des préoccupations concrètes et on manque d'ouverture intellectuelle. L'esprit est plus lent, et a besoin de temps pour se formaliser. Charme dans sa manière de s'exprimer.",,
maison,3,gémeaux,"Position naturelle de la maison 3. Esprit rapide, adaptable, parfois trop superficiel et dispersé, on passe d'une idée à l'autre.
Présence de frères et soeurs et lien fort, gémellité. Aisance dans la communication, selon l'état de Mercure.",,
maison,3,cancer,"Fratrie très ""famille"", proximité. Esprit tourné vers des préoccupations familiales, liées au foyer, goût pour la généalogie. Pour réfléchir on se fie à son intuition et à son ressenti.",,
maison,3,lion,"Ego intellectuel, on a envie de montrer sa capacité de réflexion.
On a pris une place particulière dans sa fratrie. On aime les voyages confortables. Esprit dominant, goût pour tout ce qui est beau et artistique.",,
maison,3,vierge,"Esprit critique et analytique, mais l'amour du détail perturbe le raisonnement et le discours. On sera organisé dans les voyages, les commerces. On peut devenir critique d'art ou culinaire.
Fratrie un peu distante, entourage centré sur le quotidien.",,
maison,3,balance,"Qualités artistiques, en particulier dans le théâtre, les exercices de communication et de jeu. Rejet de la solitude, mondanités, grande sociabilité. Harmonie dans les relations à l'entourage et avec les frères et soeurs.",,
maison,3,scorpion,"Intérêt intellectuel fort en particulier pour l'occulte, les mystères, la mort. On communique de manière tranchante et percutante, on réfléchit avec profondeur, on se questionne. Difficultés avec la fratrie.",,
maison,3,sagittaire,"Intérêt pour les hautes études, la philosophie, la religion. On délaisse l'intellect immédiat pour s'enthousiasmer de grandes découvertes. Les cultures étrangères et les grands voyages nourrissent.",,
maison,3,capricorne,"Excellente mémoire, endurance intellectuelle, force de travail, projets exigeants menés dans le temps malgré un certain pessimisme. Structure des idées. Froideur avec l'entourage familial et les frères et soeurs.",,
maison,3,verseau,"Esprit de synthèse plus qu'esprit analytique, pensée dogmatique tournée vers les préoccupations sociales. Grand besoin d'amitiés, grands groupes d'amis et amitiés proches, relation parfois distante avec l'entourage.",,
maison,3,poissons,"Intellect un peu noyé, dilué. Il est difficile de réfléchir concrètement, mener une idée à terme. On est perméable et influençable aux idées de l'entourage. Étude autour de la méditation, la spiritualité. Fusion avec les frères et soeurs.",,
maison,4,bélier,"Les relations familiales ont souvent été source de conflits, voire de violence (pas forcément physiques, mais morales). Les difficultés de communication n'ont pas permis de résoudre ce qui posait problème au sein du foyer et les non-dits ont crée de la colère. La compétition pouvait être rude. Le foyer pouvait être aussi dynamique, sportif, aventurier, partant souvent en expéditions.",,
maison,4,taureau,"L'argent pouvait être une question importante au sein du foyer.
La famille était assez soudée, voire très envahissante, possessive.
C'est souvent l'image du parent ""poule"", qui voulait gérer à la place de l'enfant, lui laissant peu d'autonomie. Les membres du foyers devaient rester unis, rattachés à la maison, pour éviter l'insécurité, l'anxiété étant présente dans ce modèle familial.",,
maison,4,gémeaux,"La famille prônait la valeur intellectuelle, la curiosité, l'apprentissage. Le parent pouvait être joueur, complice ou parent-copain. Il pouvait y avoir un fort duo entre le parent et l'enfant. La fratrie a pu beaucoup compter dans le foyer. Les parents pouvaient être enseignants. Beaucoup d'amis pouvaient venir au foyer, considérés comme des membres de la famille.",,
maison,4,cancer,"Position en domicile du cancer et du capricorne. La famille était essentielle au fonctionnement de l'individu. La valeur familiale, l'importance du clan, des réunions et du partage affectif, des traditions ont parfois conféré à la dépendance affective vis-à-vis des parents. Il n'a pas été facile de grandir et partir de la maison Le référentiel éducatif, les normes et valeurs familiales impactent profondément l'individu tout au long de sa vie.",,
maison,4,lion,"La fierté familiale a pu devenir une valeur, la sensation d'être une famille unique, mieux que les autres. Importance du confort, du lieu de vie qui doit être chaleureux et agréable. Foyer créatif, valorisant pour l'individu mais parfois égocentrisme familial difficile à porter, chacun voulant tirer la couverture à lui.",,
maison,4,vierge,"La santé est souvent au centre des préoccupations familiales, avec une gestion assez organisée du quotidien, des soins. Le travail a pu éloigner un parent qui était centré sur son activité professionnelle. Il y avait des règles, des principes et du jugement parental. Cette position est assez froide au niveau affectif.",,
maison,4,balance,"Les relations harmonieuses au sein de la famille ont été primordiales. Cependant, le regard des autres a pu être trop prégnant, mettant une pression sur l'individu. Le parent donnait à l'extérieur une image de lui lisse, ""de bon parent"", mais la réalité dans l'intimité a pu être tout autre. La beauté, l'esthétique, la décoration du lieu ont été des valeurs importantes.",,
maison,4,scorpion,"Image d'un foyer anxiogène, parent(e) angoissé(s), anxiétés financières, peurs, stress quotidien. Il y a pu y avoir des événements, des traumatismes au cours de l'enfance. Cela peut signifier une destruction du foyer, un mal-être pendant l'enfance et avec le parent. Angoisses financières, tabous et secrets familiaux.",,
maison,4,sagittaire,"La famille peut venir de l'étranger, ou elle a pu beaucoup voyager. Ça peut être l'image d'une famille bourgeoise, vivant dans le luxe et l'apparat. Les principes religieux et moraux ont pu être transmis. Les parents pouvaient être enseignants. La question de sa place dans la famille a été importante, avec le sentiment d'en manquer, de ne pas être reconnu par les autres membres.",,
maison,4,capricorne,"Froideur familiale, discipline excessive, rapports difficiles avec le parent. La demande de la famille était la réussite professionnelle, l'attrait pour le dépassement de soi, pour la poursuite d'objectifs.
Un parent a pu beaucoup commander, condamner, manquer de tendresse pour l'individu. Il était important de réaliser des tâches à la maison, de travailler, d'être sérieux et rigoureux, laissant peu de place au rire et au plaisir.",,
maison,4,verseau,"Le FDC en verseau est particulier, il peut y avoir le sentiment de différence, d'avoir été différent dans sa famille, de ne pas avoir été admis et accepté dans sa personnalité, son originalité.
Le foyer était non conventionnel, totalement en rupture avec les autres normes familiales, avec la revendication d'être différent.
Vie hors norme, éducation politique et intellectuelle. Froideur.
Importance des amitiés, des regroupements.",,
maison,4,poissons,"Cette configuration est difficile : le fond du ciel c'est nos racines, qui ont bien du mal à s'ancrer dans le grand océan du poissons.
C'est comme un arbre qui tente de pousser dans l'eau. Base peu sécurisante, pas de règles à la maison, beaucoup de non-dits, alcoolisme d'un parent. Importance de la musique, de l'art, de la spiritualité, vie marginale, hors des règles, modèle de référence flou, peu de cadre. Généalogie floue.",,
maison,5,bélier,"L'amour est impulsif, coups de foudre, amour intense mais on s'emballe vite et on arrête vite la relation si on se lasse.
Aventures amoureuses, on aime séduire. Enfant: archétype masculin, plutôt hyperactif.",,
maison,5,taureau,"Sensualité dans les sentiments, fidélité, loyauté. Amours durables. Créativité forte. Engagement et cohérence dans les loisirs, activités qui demande du temps et de la méthode.
Enfant: archétype féminin, enfant calme et proche de son foyer.",,
maison,5,gémeaux,"Vie amoureuse légère et volage, recherche constante de son double, et de nouveautés. Amitiés amoureuses. Energie créative forte, créativité abondante mais dispersion. Enfant: archétype masculin, nerveux, jumeaux, intelligent et vif.",,
maison,5,cancer,"Recherche maternante dans les amours, volonté de construire un foyer, associe les sentiments à une création familiale. Créativité et sensibilité, besoin de s'exprimer. Enfant: archétype féminin, enfant doux, affectueux, fusion et amour fort avec l'enfant.",,
maison,5,lion,"Position naturelle de la maison 5. Amour intensément vécu, relations passionnelles, grande créativité. Recherche de paraître, de séduire. Recherche de joie, d'expression de soi, de briller.
Enfant: archétype masculin, qui aime être vu et reconnu.",,
maison,5,vierge,"Sentiments analysés, disséqués, ce qui altère la spontanéité. On recherche de la structure et des règles en amour. Besoin de se sentir utile dans son expression créative. Autocritique. Enfant :
archétype féminin, enfant sage et mature.",,
maison,5,balance,"L'amour est vu comme une nécessité, il y a le besoin de se mettre en couple, l'amour est romantique et beau. Exagération des sentiments dans la relation. Collaboration créative. Enfant :
beauté, cherche à charmer, créatif et sociable.",,
maison,5,scorpion,"La sexualité a une place privilégiée dans les rapports amoureux.
Sentiments profonds, exclusifs, jalousie excessive. Méfiance envers l'amour parfois car rend vulnérable. Désir de pouvoir.
Enfant : enfant anxieux, intelligent.",,
maison,5,sagittaire,"Protection envers ses amours. Générosité, recherche d'aventure et de passion, d'admirer les personnes que l'on aime. Attrait pour les voyages pendant les vacances, volonté d'être vu.
Enfant: explorateur, aimant apprendre, joyeux.",,
maison,5,capricorne,"On reste plutôt solitaire dans ses amours, mais quand on s'engage c'est durable. On met du temps à rencontrer la bonne personne. La créativité doit être productive et ambitieuse.
Enfant: sérieux, plus mature que son âge.",,
maison,5,verseau,"Amitiés amoureuses, distance avec les sentiments amoureux, indépendance. Besoin de partage intellectuel dans les relations.
Création partagée en groupe. Enfant: archétype masculin, indépendant, différent, intelligent, aimant découvrir des choses.",,
maison,5,poissons,"Grande sensibilité et création artistique, émotions dans sa manière de créer. Amours fusionnels, mais peut fuir devant des contraintes. Enfant: fusionnel, doux, sensible, rêveur, plein d'imagination.",,
maison,6,bélier,"
Tensions dans l'environnement professionnel, vécu difficile des contraintes. Métier actif, dynamique, sportif, carrière militaire, entreprenariat si Mars bien positionné. Santé: maux de tête, éruptions et inflammations.",,
maison,6,taureau,"


Métier mené avec rigueur et sérieux, engagement et gestion dans la profession. Restauration, nourriture, agriculture, massages, voie artistique et plastique, sculpture ou domaine financier. Santé: gorge fragile.",,
maison,6,gémeaux,"Changements de métiers au cours de la vie, intérêt pour de multiples domaines, instabilité professionnelle. Écriture, journalisme, métiers de communication, commerçant, voleur, coursier. Santé: poumons et système nerveux fragiles.",,
maison,6,cancer,"Travail en relation avec sa famille, ou avec des familles, des enfants. Besoin de travailler en fonction de sa sensibilité. Agent immobilier, décorateur d'intérieur, métiers liés à l'eau, pâtisserie, travail au foyer. Santé: digestion et estomac fragiles.",,
maison,6,lion,"Volonté de diriger, d'être mis en avant, amour pour son travail, forte volonté et créativité dans son métier. Chef, costumier, métiers du show business, couturier, caridiologue, bijoutier.
Santé: colonne vertébrale et coeur à surveiller.",,
maison,6,vierge,"Position naturelle de la 5. Volonté de servir et d'être utile, sens du devoir. Métiers du soin et de santé: pharmacie, diététique, infirmier.e, aide sangnant.e, kiné, domestique, comptable, administratif. Santé : système digestif (intestins).",,
maison,6,balance,"Partenariats, associations, besoin d'une atmosphère harmonieuse. Juge, notaire, diplomate, législateur, danseur, artiste, collectionneur d'art, modiste, esthéticienne, carrière artistique. Santé: articulation, vessie et reins à surveiller.",,
maison,6,scorpion,"Vie professionnelle mal vécue. Métiers autour de l'occulte, de la recherche sur l'humain (philo, psy, enquêteur...), gynécologue, astrologue, médium, voyant, antiquaire, éboueur, pompes funèbres. Santé: organes sexuels et anus à surveiller.",,
maison,6,sagittaire,"Besoin de réussir dans son travail, volonté d'élévation sociale.
Explorateur, équitation, tourisme, enseignement, chercheur, député, juge, ambassadeur, notable, ministre, chef, député.
Santé: hanches, cuisses, circulation sanguine et foie à surveiller.",,
maison,6,capricorne,"Ambition, sérieux et endurance dans son métier. Système hiérarchique respecté, mais aussi besoin de diriger. Spéléologue, guide montagne, archiviste, historien, archéologue, président, ostéopathe, directeur. Santé: os, dents et genoux fragiles.",,
maison,6,verseau,"Parcours atypique, besoin d'être novateur dans son métier.
Ingénieur, inventeur, astronaute, aviateur, électricien, technologie et réseaux sociaux, anarchiste, leader de parti, informatique. Santé: système nerveux et veineux à surveiller.",,
maison,6,poissons,"Incertitudes professionnelles, dimension d'amour dans son métier. Guérisseur, médium, prêtre, voyant, barman, trafiquant de drogues, Marine, professions hospitalières et religieuses, musicien, artiste. Santé : circulation et santé mentale.",,
maison,7,bélier,"Recherche d'un partenaire dynamique, entreprenant, actif, qui ne se laisser pas faire et qui s'affirme. Recherche d'une personnalité qui cherche à gagner, à agir, qui va faire des choses, qui sera dans de l'impulsivité.
La question de la domination dans le couple risque d'être au centre des problèmes rencontrés.",,
maison,7,taureau,"Recherche d'un partenaire qui saura sécuriser l'ascendant scorpion, qui lui permettra de sentir entouré. L'ascendant scorpion anxieux se sentira rassuré avec le taureau. Le partenaire sera loyal, fidèle, on pourra compter sur lui, il aura beaucoup de certitudes.
Le couple cherchera à construire ensemble au niveau matériel.
C'est l'image du couple possessif.",,
maison,7,gémeaux,"Recherche d'un partenaire avec qui on pourra lier une complicité, une amitié, avec qui on pourra être complice.
La communication sera essentielle dans le fonctionnement du couple, le partenaire sera bavard, parfois un peu immature et léger. Le partage intellectuel sera de mise avec un conjoint curieux d'apprentissage.
La qualité intellectuelle sera moteur dans la bonne entente et le désir du couple.",,
maison,7,cancer,"Recherche d'un partenaire sensible, doux, émotif, avec qui construire une famille et qui sera tendre et attentionné, tourné vers sa famille et vers son foyer. L'ascendant capricorne en aura besoin pour atténuer sa froideur, pour ouvrir son coeur.
Le projet avec ce descendant est de construire un foyer stable, pour retravailler sur son passé et sa propre histoire.",,
maison,7,lion,"Recherche d'un partenaire brillant, que l'on pourra admirer et complimenter, un brin orgueilleux, mais lumineux, généreux, créatif. Il sera susceptible, et aura besoin d'être reconnu pour que le couple fonctionne.
La problématique sera de réussir à gérer l'égo de chacun dans le couple, pour qu'aucun des deux ne prenne toute la place.",,
maison,7,vierge,"Recherche d'un partenaire qui donnera du cadre à l'ascendant poissons un peu flou et perdu. Elle lui permettra de trouver un cadre sécurisant et de concrétiser des choses. Le partenaire sera un peu rigide, à cheval sur des principes, perfectionniste et travailleur.
Le couple aura tendance à être un sujet d'analyse, rationnalisant la relation plutôt que de se laisser aller aux sentiments.",,
maison,7,balance,"Recherche d'un partenaire qui apaisera la personnalité fougueuse de l'ascendant bélier. Le partenaire sera doux, très beau ou belle, charmant, et mettra de l'harmonie dans le foyer. Il y a besoin de cette notion d'esthétique !
Le besoin d'amour est fort, le besoin de construire une relation est important dans la vie. Le couple devra renvoyer une bonne image auprès des autres.",,
maison,7,scorpion,"Recherche d'un partenaire qui sera profond, et permettra à l'ascendant taureau de sortir de ses certitudes pour affronter une autre palette émotionnelle, apprendre l'introspection et les questionnements.
La vision de l'amour sera profonde, mais tourmentée. Il y a un rapport de pouvoir dans le couple qui peut perturber la relation, une recherche de partenaire anxieux. La sexualité est essentielle.",,
maison,7,sagittaire,"La question du mariage sera importante, même si la liberté prime dans ce placement. Recherche d'un partenaire qui prend de la place, qui a confiance en lui, qui prend les devants.
Il y a le besoin d'admirer son partenaire, de l'idéaliser. Le partenaire devra avoir une réussite financière et/ou socio-professionnelle, un savoir faire et une maîtrise dans son domaine.
L'amour sera vu comme passionné, fait d'aventure.",,
maison,7,capricorne,"Recherche d'un partenaire qui sécurisera et prendra la vie de la maison en main, qui dirigera et gérera les choses, ce qui est sécurisant pour l'ascendant cancer. Le partenaire devra être mature, intelligent, parfois plus âgé.
La construction du couple peut être plus tardive, avec des périodes de célibat.",,
maison,7,verseau,"Recherche d'un partenaire qui sera intelligent, intellectuel, qui sera différent des autres. La supériorité intellectuelle sera essentielle pour les sentiments, pour que l'ascendant lion se sente unique à ses côtés.
Le problème sera l'indépendance, à la fois recherchée et redoutée pour l'ascendant lion. Les partenaires seront souvent libres, pas toujours prêts à s'engager. Le couple devra être un terrain d'apprentissage, pour accepter la liberté de chacun.",,
maison,7,poissons,"Recherche d'un partenaire qui sera dans le lâcher prise afin d'aider l'ascendant vierge à se sentir plus sereine et détendue, à prendre du recul sur les détails. Les partenaires seront parfois fuyants, peu engagés
L'amour est fantasmé. Il y a un besoin de fusion dans la relation, de vibrer. Et en même temps, la notion de relation est floue, les rôles et places de chacun ne sont pas faciles à définir.",,
maison,8,bélier,"Vécu d'une certaine répression dans l'enfance, difficulté pour s'exprimer et s'affirmer, colère problématique: on a peur de sa colère ou on fuit celle des autres. Peur des conflits, de ses désirs et pulsions. Empressements financiers.",,
maison,8,taureau,"Dans l'enfance, instabilité, crises relationnelles, empêchement de la joie de vivre. Peur d'exprimer son affection, de vivre sa sexualité, crainte de la trahison. Importance de l'acquisition de biens terrestres et de la transmission.",,
maison,8,gémeaux,"Difficulté pour s'exprimer, interdit de la parole, empêchement de la curiosité, de la découverte, environnement d'enfance non stimulant intellectuellement. Peur de s'ouvrir au monde. La question de la mort et de ses mystères hante l'intellect.",,
maison,8,cancer,"Le lien à la famille ne s'est pas fait: décès d'un proche, manque d'un point d'ancrage, empêchement d'exprimer ses émotions.
Créer sa propre famille peut faire peur, sa sensibilité fait peur.
L'argent est dépensé pour se créer un cocon rassurant.",,
maison,8,lion,"Remise en question de l'égo, dû à une structure familiale répressive, qui n'a pas permis d'avoir confiance en soi, qui a empêché l'expression, règles trop strictes. Peur de devenir égocentrique. Responsabilités assumées sur le plan matériel.",,
maison,8,vierge,"Famille qui a pu beaucoup critiquer, engendrant un manque de confiance en son intelligence. Le rapport au corps et à la santé pouvait poser problème dans la famille. Peur de la maladie, peur de ne pas être capable. Inquiétudes sur le plan financier.",,
maison,8,balance,"Importance des conflits dans l'enfance, mésententes et manque d'harmonie, image dissonante entre le vécu familial et l'image renvoyée aux autres. Solitude dans l'enfance. Peur de la méchanceté. Finances déséquilibrées.",,
maison,8,scorpion,"Position naturelle de la maison 8. Vécu de nombreuses situations douloureuses, traumatismes, engendrant de la négativité et la peur que ses blessures refassent surface. Profonde capacité pour se transformer. Angoisses financières.",,
maison,8,sagittaire,"Perte de la foi et de la confiance en l'autre, sentiment d'avoir été écrasé, de ne pas avoir eu de place. Peur de se mettre en avant, sentiment d'illégitimité. Difficulté à ressentir joie et abondance. L'argent permet de de s'élever socialement.",,
maison,8,capricorne,"Sentiment de solitude dans l'enfance, d'avoir été délaissé, trahi, abandonné. Protection, carapace, par peur de l'intimité et de la vulnérabilité. Sentiment enterrés sous une couche de froideur.
Budget tenu avec rigueur.",,
maison,8,verseau,"Environnement dans l'enfance enfermant, bridant, sentiment de ne pas pouvoir exprimer son individualité. Peur d'être à nouveau enfermé dans une relation, peur de l'engagement. Adaptabilité vis-à-vis de l'argent.",,
maison,8,poissons,"Vécu dans l'enfance sans imagination ou spiritualité, mais dure, froide, matérielle, sans émotion. Peur de perdre le contrôle et de lâcher prise. Difficulté de créer une connexion dans ses relations.
Vie matérielle et financière assez incertaine.",,
maison,9,bélier,"Voyages décidés impulsivement, mais esprit de conquête, d'aventure, de découverte. Volonté d'élargir son horizon et relever des défis. Domination dans la façon de penser, agressivité dans la manière de donner des conseils.",,
maison,9,taureau,"Le goût pour l'aventure n'est pas très prononcé, tendance sédentaire. Attitude terre à terre qui ne permet pas forcément d'avoir l'esprit philosophique, mais sens du devoir et du patriotisme, amour de la terre.",,
maison,9,gémeaux,"Curiosité et envie de s'ouvrir au monde. Implication dans les organisations comme les écoles, les centres de formation, les universités. On apprend beaucoup des voyages, on aime se fondre dans les différentes cultures.",,
