BLOC,POLARITÉ,MAISON,TYPE_DONNÉE,VALEUR,INTERPRÉTATION,CE_QUE_TU_RECHERCHES,TYPE_EXPERIENCE,DIFFICULTÉS,MOTS_CLÉS
Style,"Femme, Homme",Maison 5,Planète,Lune,"L’amour nourrit ton besoin de sécurité émotionnelle. Tu donnes avec tendresse, mais attends beaucoup.on aura besoin d’être rassuré(e), vision très sentimentale
de l’amour, rapport à la maternité.","Un lien sincère, doux, stable.",Vit l’amour comme un refuge.,Risque de dépendance affective.,tendresse; besoin; protection; attachement
Style,"Femme, Homme",Maison 5,Planète,Mercure,"L’amour commence par le mental : humour, discussion, légèreté. on a besoin d’être ami(e)s avant d’être amoureux(ses).","Quelqu’un qui te parle, te stimule intellectuellement.",Vit l’amour dans la complicité et le partage.,Peut manquer de profondeur émotionnelle.,dialogue; curiosité; jeunesse; complicité
Style,"Femme, Homme",Maison 5,Planète,Vénus,"L’amour est ton langage naturel. Charme, sensualité et plaisir d’aimer. on exprime fortement un besoin de séduction, de plaire, de
charmer, rapport important à la beauté et à l’apparence.","Un lien doux, artistique, harmonieux.",Vit l’amour dans la beauté et la romance.,Peut idéaliser ou trop plaire pour être aimé(e).,charme; romance; plaisir; harmonie
Style,"Femme, Homme",Maison 5,Planète,Mars,"L’amour te pousse à agir, désirer, conquérir. Passion et intensité. la sexualité peut être forte, l’attraction aussi, soit on a le flash
avec l’autre tout de suite, de manière spontanée soit il n’y a rien !","Un lien vivant, dynamique, charnel.",Vit l’amour avec feu et volonté.,Peut s’épuiser dans la poursuite ou les conflits.,passion; énergie; désir; conquête
Style,"Femme, Homme",Maison 5,Planète,Jupiter,"L’amour élargit ton monde. Tu crois en la joie, la chance et la générosité dans le couple.grand besoin d’existence et de reconnaissance, parfois excès
dans la séduction : on en fait trop...","Quelqu’un d’enthousiaste, positif, inspirant.",Vit l’amour avec confiance et optimisme.,Peut en faire trop ou ignorer les limites.,joie; confiance; expansion; foi
Style,"Femme, Homme",Maison 5,Planète,Saturne,"L’amour est un engagement sérieux, réfléchi. Tu ne donnes pas facilement. retenue, besoin de contrôler le flirt, de prendre son temps, de
maîtriser son image, peut limiter la facilité à séduire, à se sentir désirable","Un partenaire fiable, respectueux.",Vit l’amour avec pudeur et loyauté.,Peut craindre l’échec ou le rejet.,responsabilité; fidélité; retenue; exigence
Style,"Femme, Homme",Maison 5,Planète,Uranus,"L’amour doit être libre et stimulant. Tu as besoin de mouvement, d’originalité. besoin de se différencier, liberté dans les sentiments, audace !
Besoin d'électricité dans la séduction.","Quelqu’un de différent, curieux, libre.",Vit l’amour comme une expérience unique.,Peut s’ennuyer vite ou fuir l’attachement.,liberté; surprise; indépendance; nouveauté
Style,"Femme, Homme",Maison 5,Planète,Neptune,"L’amour est un rêve, une poésie, une transcendance. Tu idéalises le lien. si mal aspecté ou rétrograde, on a pu vivre des situations de
déceptions amoureuses. Fusion, attentes parfois trop fortes.","Quelqu’un de doux, inspirant, spirituel.",Vit l’amour comme un miracle ou une foi.,Risque d’illusion ou de désillusion.,rêve; compassion; fusion; mystère
Style,"Femme, Homme",Maison 5,Planète,Pluton,"L’amour est un champ de transformation. Tu cherches la fusion, la vérité. passion mais la séduction est vite vue comme un rapport de
conflit où on doit pas trop montrer notre attachement.","Quelqu’un d’intense, profond, loyal.",Vit l’amour comme une passion absolue.,Peut attirer des relations de pouvoir ou de contrôle.,intensité; transformation; loyauté; pouvoir
Style,"Femme, Homme",Maison 5,Planète,Chiron,"L’amour réveille des blessures anciennes. Besoin de guérir à travers la relation.c’est la blessure amenée par le père, dans sa dose de fierté et de
reconnaissance envers nous. On transporte alors un égo blessé.","Un partenaire bienveillant, rassurant.",Vit l’amour dans la vulnérabilité et la sincérité.,Risque de rejouer la blessure de rejet ou d’injustice.,blessure; guérison; compassion; sensibilité
Style,"Femme, Homme",Maison 5,Planète,Lune Noire,"L’amour te fascine et t’effraie à la fois. Désirs intenses, zones d’ombre et d’attirance.on ne saura pas si on mérite de se
donner de l’importance, on veut beaucoup de reconnaissance et en même
temps on n’en veut pas, on ne mérite pas.","Quelqu’un de magnétique, mystérieux, dérangeant.","Vit l’amour dans l’extrême, la passion interdite.",Peut s’autodétruire ou se perdre dans le pouvoir affectif.,magnétisme; tabou; intensité; transformation
Couple,"Femme, Homme",Maison 7,Signe,Bélier,"Cherche un partenaire énergique, affirmé, capable de prendre des initiatives. L’amour se vit dans la confrontation et la vitalité.
Recherche d'une personne active, plutôt dominante, sûre d'elle, orientée compétition...","Quelqu’un qui ose, qui agit, qui stimule.",Vit l’amour dans la passion et la franchise.,"Relations orageuses, peur de la dépendance.",courage; action; indépendance; passion
Couple,"Femme, Homme",Maison 7,Signe,Taureau,"Cherche stabilité et sécurité affective. L’amour se construit dans la durée et la fidélité.
Recherche d'une personne sécurisante, calme, apaisante, terre à terre, sensuelle, pratique, avec du charme.","Un partenaire fiable, constant, doux.",Vit l’union comme une valeur refuge.,Peut rester dans des relations figées.,stabilité; loyauté; sécurité; constance
Couple,"Femme, Homme",Maison 7,Signe,Gémeaux,"Attiré(e) par les personnes vives, communicatives, curieuses. L’amour doit être stimulant mentalement.Recherche d'une personne avec qui on aura une complicité amicale, qui se fondera d'abord sur une amitié.","Un partenaire drôle, intelligent, bavard.",Vit l’amour dans la complicité mentale.,"Instabilité, superficialité, peur de l’ennui.",communication; légèreté; curiosité; mouvement
Couple,"Femme, Homme",Maison 7,Signe,Cancer,"Recherche tendresse, fidélité et stabilité émotionnelle. L’union est perçue comme un foyer protecteur.Recherche d'une personne sensible, émotionnelle, plutôt passive, qui vous laissera le contrôle sur certaines choses.","Quelqu’un de sincère, loyal, rassurant.",Vit l’amour dans la douceur et la loyauté.,"Dépendance affective, peur de l’abandon.",tendresse; loyauté; famille; sécurité
Couple,"Femme, Homme",Maison 7,Signe,Lion,"Attiré(e) par les personnalités fortes, rayonnantes, généreuses. L’union doit être fière et visible.Recherche d'une personne qui a du charisme, qui rayonne, chaleureuse, généreuse, créative, brillante, qui a confiance en elle, qui est passionnée, inspirée, fière.",Un partenaire charismatique et sûr de lui.,Vit l’amour dans la passion et la loyauté.,"Risque d’orgueil, besoin de reconnaissance.",charisme; fierté; passion; générosité
Couple,"Femme, Homme",Maison 7,Signe,Vierge,"Attiré(e) par des partenaires stables, loyaux, réfléchis. L’amour doit être utile et respectueux.Recherche d'une personne structurée, un peu rigide, organisée, réfléchie, plutôt modeste et humble, réservée, analytique.","Quelqu’un de calme, fiable, précis.",Vit l’amour avec prudence et réalisme.,"Critique, peur du lâcher-prise.",loyauté; service; stabilité; exigence
Couple,"Femme, Homme",Maison 7,Signe,Balance,"Cherche l’harmonie et la beauté dans la relation. L’union est un miroir : besoin d’équilibre et de douceur.Recherche d'une personne attirante, charmante, douce, équilibrée, sociable, qui a du goût, qui soigne son apparence.","Un partenaire juste, aimable, charmant.",Vit l’amour comme une alliance d’égal à égal.,Difficulté à affirmer ses besoins.,équilibre; douceur; harmonie; justice
Couple,"Femme, Homme",Maison 7,Signe,Scorpion,"Attiré(e) par des partenaires profonds, intenses, loyaux. L’amour est une expérience de transformation.Recherche d'une personne secrète, complexe, parfois tourmentée, passionnelle, intense, mystérieuse, magnétique, fascinante, profonde.","Quelqu’un de vrai, entier, passionné.",Vit l’amour comme une fusion d’âmes.,"Jalousie, contrôle, peur de la perte.",intensité; vérité; loyauté; transformation
Couple,"Femme, Homme",Maison 7,Signe,Sagittaire,"Attiré(e) par des partenaires libres, curieux, positifs. L’amour doit être vivant et porteur de sens.Recherche d'une personne libre, exploratrice, aventureuse, intelligente, optimiste, bon vivant, qui amène de la joie, ouverte au monde.","Un partenaire inspirant, joyeux, ouvert.",Vit l’amour comme une aventure partagée.,Peur de l’engagement ou de la routine.,liberté; enthousiasme; aventure; foi
Couple,"Femme, Homme",Maison 7,Signe,Capricorne,"Cherche stabilité, fiabilité et engagement. L’union est sérieuse, ancrée dans le temps.Recherche d'une personne stable, mature, sage, patiente, ambitieuse, travailleuse, responsable, que cette personne vous rassure, vous cadre, vous oriente, c'est l'autre qui prendra des décisions.","Quelqu’un de loyal, fort, protecteur.",Vit l’amour comme une construction durable.,"Distance émotionnelle, peur de la vulnérabilité.",stabilité; fidélité; engagement; respect
Couple,"Femme, Homme",Maison 7,Signe,Verseau,"Attiré(e) par des partenaires atypiques, indépendants, originaux. L’amour doit être libre et stimulant.Recherche d'une personne libre, indépendante, originale, différente, détachée émotionnellement et très intellectuelle.","Quelqu’un de différent, inspirant, intellectuel.",Vit l’amour comme une alliance d’esprits libres.,Difficulté à s’ancrer ou peur de la fusion.,liberté; originalité; différence; indépendance
Couple,"Femme, Homme",Maison 7,Signe,Poissons,"Cherche un lien d’âme, doux et fusionnel. L’amour doit être tendre, spirituel, bienveillant.Recherche d'une personne fusionnelle, sensible, mystérieuse, compatissante, calme, rêveuse, qui soit dans une recherche intérieure et spirituelle.","Un partenaire intuitif, sensible, rêveur.",Vit l’union dans l’abandon et la foi.,"Illusion, confusion, dépendance émotionnelle.",compassion; rêve; fusion; spiritualité
Couple,"Femme, Homme",Maison 7,Planète,Soleil,"Cherche un partenaire fort, rayonnant, inspirant. L’union renforce son identité.",Une relation où chacun brille à sa manière.,Vit l’amour dans la loyauté et la fierté.,Risque d’ego ou de compétition.,rayonnement; fierté; loyauté; affirmation
Couple,"Femme, Homme",Maison 7,Planète,Lune,"Attiré(e) par des personnes sensibles, protectrices, maternelles. L’union est émotionnelle avant tout.",Une relation tendre et sécurisante.,Vit l’amour avec besoin de stabilité affective.,"Dépendance, peur de la solitude.",tendresse; sécurité; attachement; famille
Couple,"Femme, Homme",Maison 7,Planète,Mercure,"Attiré(e) par l’intelligence, la communication, la complicité mentale.","Quelqu’un de curieux, à l’écoute, drôle.",Vit l’amour par le dialogue.,"Inconstance, verbalisme, besoin de stimulation.",communication; curiosité; légèreté; lien
Couple,"Femme, Homme",Maison 7,Planète,Vénus,"Besoin d’amour, de douceur et d’harmonie.","Un partenaire aimant, doux, loyal.",Vit l’amour dans la réciprocité et la tendresse.,Peur du conflit ou du rejet.,harmonie; beauté; douceur; union
Couple,"Femme, Homme",Maison 7,Planète,Mars,"Attiré(e) par des partenaires forts, actifs, parfois dominants.",Quelqu’un de courageux et direct.,Vit l’amour dans la confrontation ou la passion.,"Conflits, rapports de force.",passion; énergie; confrontation; intensité
Couple,"Femme, Homme",Maison 7,Planète,Jupiter,"Attiré(e) par des partenaires bienveillants, ouverts, positifs.","Quelqu’un d’enthousiaste, juste, moral.",Vit l’amour dans la confiance et la joie.,Excès d’optimisme ou d’attentes.,expansion; confiance; générosité; ouverture
Couple,"Femme, Homme",Maison 7,Planète,Saturne,"Attiré(e) par des partenaires matures, fiables, solides. L’union doit durer.","Quelqu’un de constant, stable, loyal.",Vit l’amour avec engagement et patience.,"Peur du rejet, solitude, blocages affectifs.",stabilité; responsabilité; loyauté; patience
Couple,"Femme, Homme",Maison 7,Planète,Uranus,"Attiré(e) par des partenaires libres, indépendants, atypiques.",Quelqu’un de moderne et stimulant.,Vit l’amour dans la liberté.,"Instabilité, ruptures soudaines.",liberté; indépendance; imprévisibilité; nouveauté
Couple,"Femme, Homme",Maison 7,Planète,Neptune,"Attiré(e) par des partenaires sensibles, mystiques, spirituels.","Quelqu’un d’inspirant, bienveillant.",Vit l’amour comme un rêve éveillé.,"Illusion, idéalisation, déception.",rêve; compassion; fusion; spiritualité
Couple,"Femme, Homme",Maison 7,Planète,Pluton,"Attiré(e) par des partenaires puissants, profonds, transformateurs.","Quelqu’un de vrai, entier, loyal.",Vit l’amour comme une alchimie.,"Jalousie, contrôle, crises.",intensité; transformation; loyauté; pouvoir
,,,,,,,,,
,,,,,,,,,
Intime,"Femme, Homme",Maison 8,Signe,Bélier,"Tu cherches une intimité directe, conquérante, sans détour. Tu veux l'intensité immédiate, la passion brute. Tu peux être impulsif(ve), dominant(e) ou fuir la vulnérabilité. L'intimité doit être vivante, jamais tiède.","Quelqu’un de courageux, passionné, entier.","Vit l’amour comme une explosion, sans détour.","Impulsivité, domination, perte de contrôle.",passion; feu; intensité; courage
Intime,"Femme, Homme",Maison 8,Signe,Taureau,"Tu cherches une intimité sensuelle, stable, possessive. Tu veux la fusion charnelle, lente, profonde. Tu peux être jaloux(se), possessif(ve) ou résister à la transformation. L'intimité passe par le corps, les sens.","Un partenaire fiable, doux, sensuel.",Vit l’amour dans la lenteur et la constance.,"Possessivité, peur de la perte, refus du changement.",sensualité; fidélité; stabilité; attachement
Intime,"Femme, Homme",Maison 8,Signe,Gémeaux,"Tu cherches une intimité mentale, curieuse, variée. Tu veux parler, explorer intellectuellement les tabous. Tu peux papillonner ou éviter l'intensité émotionnelle. L'intimité passe par le langage, le jeu.","Quelqu’un d’intelligent, drôle, vif.",Vit l’amour dans le jeu et la parole.,"Instabilité, superficialité, dispersion.",curiosité; légèreté; communication; exploration
Intime,"Femme, Homme",Maison 8,Signe,Cancer,"Tu cherches une intimité émotionnelle, fusionnelle, protectrice. Tu veux te sentir en sécurité pour te livrer. Tu peux être craintif(ve), collant(e) ou défensif(ve). L'intimité passe par la vulnérabilité partagée.","Quelqu’un de loyal, doux, protecteur.",Vit la fusion avec pudeur et profondeur.,"Dépendance, peur de l’abandon, blessures passées.",tendresse; loyauté; fusion; protection
Intime,"Femme, Homme",Maison 8,Signe,Lion,"Tu cherches une intimité théâtrale, généreuse, créative. Tu veux être admiré(e), célébré(e) dans la fusion. Tu peux être orgueilleux(se) ou blessé(e) par l'indifférence. L'intimité passe par l'expression de soi.","Quelqu’un de charismatique, fort, sincère.",Vit la sexualité comme une scène de vérité et d’énergie.,"Jalousie, besoin de reconnaissance.",charisme; fierté; passion; loyauté
Intime,"Femme, Homme",Maison 8,Signe,Vierge,"Tu cherches une intimité précise, analytique, purifiée. Tu veux comprendre, améliorer, servir dans la fusion. Tu peux être critique, anxieux(se) ou refouler l'intensité. L'intimité passe par le contrôle, le service.","Quelqu’un de calme, stable, attentif.",Vit la passion avec discernement et loyauté.,"Inhibition, perfectionnisme, peur de l’abandon.",pudeur; loyauté; contrôle; exigence
Intime,"Femme, Homme",Maison 8,Signe,Balance,"Tu cherches une intimité harmonieuse, équilibrée, esthétique. Tu veux la réciprocité, la beauté dans la fusion. Tu peux fuir les conflits ou douter de tes désirs profonds. L'intimité passe par l'équilibre à deux.","Quelqu’un d’élégant, respectueux, aimant.",Vit la fusion dans la tendresse et la réciprocité.,"Peur du rejet, dépendance au regard de l’autre.",harmonie; séduction; équilibre; douceur
Intime,"Femme, Homme",Maison 8,Signe,Scorpion,"Tu cherches une intimité totale, magnétique, transformatrice. Tu veux fusionner jusqu'à la destruction-renaissance. Tu peux être obsessionnel(le), jaloux(se) ou manipulateur(trice). L'intimité est ton élément naturel.","Quelqu’un de vrai, intense, entier.",Vit la sexualité comme un rituel de transformation.,"Obsession, contrôle, peur de la trahison.",intensité; vérité; fusion; transformation
Intime,"Femme, Homme",Maison 8,Signe,Sagittaire,"Tu cherches une intimité libre, philosophique, expansive. Tu veux explorer sans t'enfermer, donner du sens à la fusion. Tu peux fuir l'intensité émotionnelle ou manquer de profondeur. L'intimité passe par la liberté.","Quelqu’un de libre, sincère, inspirant.",Vit la passion comme une quête de sens.,"Instabilité, fuite, refus de la profondeur.",liberté; aventure; expansion; philosophie
Intime,"Femme, Homme",Maison 8,Signe,Capricorne,"Tu cherches une intimité sérieuse, contrôlée, durable. Tu veux construire la fusion avec maturité et responsabilité. Tu peux être froid(e), distant(e) ou bloquer tes émotions. L'intimité passe par la structure, le temps.","Quelqu’un de stable, loyal, responsable.",Vit la sexualité avec sérieux et respect.,"Froid émotionnel, difficulté à se lâcher.",fidélité; responsabilité; contrôle; maturité
Intime,"Femme, Homme",Maison 8,Signe,Verseau,"Tu cherches une intimité atypique, égalitaire, détachée. Tu veux la fusion sans perdre ton autonomie. Tu peux être distant(e) émotionnellement ou expérimental(e). L'intimité passe par la liberté mutuelle, l'originalité.","Quelqu’un d’unique, atypique, conscient.",Vit la passion dans la nouveauté et l’ouverture.,"Détachement, peur de l’intimité.",liberté; différence; curiosité; indépendance
Intime,"Femme, Homme",Maison 8,Signe,Poissons,"Tu cherches une intimité fusionnelle, spirituelle, sans frontières. Tu veux dissoudre les limites, transcender l'ego. Tu peux te perdre dans l'autre ou idéaliser la fusion. L'intimité passe par le lâcher-prise total, la compassion.","Quelqu’un de doux, spirituel, compatissant.",Vit la sexualité comme une communion d’âmes.,"Illusion, fuite, confusion émotionnelle.",fusion; foi; compassion; mystère
Intime,"Femme, Homme",Maison 8,Planète,Soleil,"L’amour est un champ d’intensité. Tu veux briller dans la fusion, tout en gardant ton pouvoir.","Quelqu’un de fort, entier, qui t’admire sans te dominer.",Vit la sexualité comme une expérience de vérité et de renaissance.,Peur de perdre le contrôle ou d’être vulnérable.,pouvoir; passion; transformation; identité
Intime,"Femme, Homme",Maison 8,Planète,Lune,"L’amour touche à tes fondations émotionnelles. Tu ressens tout, profondément, parfois jusqu’à l’épuisement.","Un lien rassurant, loyal, sensible.",Vit la fusion avec intensité et fidélité.,"Peur de l’abandon, dépendance affective.",émotion; loyauté; fusion; vulnérabilité
Intime,"Femme, Homme",Maison 8,Planète,Mercure,"Tu analyses tes désirs, tu veux comprendre les mystères du lien. L’amour est cérébral autant que sensoriel.",Un partenaire avec qui tout peut se dire.,Vit la sexualité dans la confidence et la curiosité.,"Tendance à tout mentaliser, peur de lâcher prise.",communication; mystère; curiosité; contrôle
Intime,"Femme, Homme",Maison 8,Planète,Vénus,"L’amour devient passion, dépendance, intensité. Tu veux aimer jusqu’à la fusion totale.","Quelqu’un de magnétique, loyal, profond.",Vit la relation comme un engagement d’âme.,"Possessivité, peur de la trahison.",passion; fidélité; intensité; fusion
Intime,"Femme, Homme",Maison 8,Planète,Mars,"Sexualité puissante, instincts profonds, besoin de transformation par le désir.","Un lien charnel, vrai, sans masque.",Vit la passion dans la vérité brute.,"Dominance, colère, rapport de force.",intensité; désir; pouvoir; pulsion
Intime,"Femme, Homme",Maison 8,Planète,Jupiter,"L’amour te pousse à grandir. Tu crois à la régénération, à la foi à travers la passion.","Quelqu’un d’ouvert, spirituel, confiant.",Vit la sexualité comme un dépassement de soi.,"Excès, naïveté, dépendance émotionnelle.",foi; intensité; guérison; expansion
Intime,"Femme, Homme",Maison 8,Planète,Saturne,"Tu vis l’amour avec retenue et pudeur. Tu veux un lien fiable, mais tu redoutes la vulnérabilité.","Quelqu’un de stable, loyal, rassurant.",Vit la sexualité dans la lenteur et la profondeur.,"Peur de perdre le contrôle, blocage émotionnel.",retenue; loyauté; endurance; profondeur
Intime,"Femme, Homme",Maison 8,Planète,Uranus,"L’amour te bouscule. Tu cherches la liberté dans la fusion, l’inattendu dans la passion.","Un partenaire atypique, stimulant.",Vit la sexualité comme une expérience de libération.,"Ruptures, imprévisibilité, refus de l’attachement.",liberté; éveil; différence; choc
Intime,"Femme, Homme",Maison 8,Planète,Neptune,"L’amour est mystique, presque sacré. Tu veux te dissoudre dans l’autre, aimer au-delà du corps.","Quelqu’un de doux, inspirant, spirituel.",Vit la sexualité comme une prière.,"Illusion, désillusion, fuite.",rêve; compassion; fusion; foi
Intime,"Femme, Homme",Maison 8,Planète,Pluton,"L’amour est une épreuve initiatique. Tu veux renaître à travers la fusion, quitte à brûler.","Quelqu’un d’intense, vrai, courageux.",Vit la sexualité comme une alchimie d’âme.,"Contrôle, obsession, peur de l’abandon.",transformation; intensité; vérité; pouvoir
Intime,"Femme, Homme",Maison 8,Planète,Chiron,L’amour réveille des blessures profondes autour du contrôle et de l’abandon.,"Quelqu’un de patient, bienveillant.",Vit la sexualité comme guérison de l’âme.,"Douleur, peur de l’intimité, fermeture.",blessure; guérison; vulnérabilité; confiance
Intime,"Femme, Homme",Maison 8,Planète,Lune Noire,"Désir magnétique, tabous, fascination. L’amour est intense, dérangeant, souvent caché.","Quelqu’un de charismatique, dangereux ou fascinant.",Vit la passion dans l’interdit et la profondeur.,"Attirance toxique, honte, peur du rejet.",tabou; magnétisme; secret; pouvoir
