BLOC,POLARITÉ,PLANÈTE,TYPE_DONNÉE,VALEUR,INTERPRÉTATION,MOTS_CLÉS,SOURCE,VALIDATION,DATE_MAJ,
Style,"Femme, Homme",Lune,Maison ,2,"Tu te sens en sécurité quand tu as du concret, du tangible, du stable autour de toi. Tu te nourris émotionnellement dans la routine apaisante, les plaisirs simples, la présence physique constante. En amour, les mots ne suffisent pas - tu veux des preuves concrètes, du temps de qualité, des gestes qui se répètent et qui rassurent. Tu peux être possessif(ve) de ce qui te rassure parce que perdre ta sécurité est ta pire angoisse, mais quand tu te sens en terrain stable, tu es la plus généreuse, la plus sensuelle, celle qui offre un cocon de douceur matérielle.",,,,,
Style,"Femme, Homme",Lune,Maison ,3,"Tu te sens en sécurité quand tu peux parler, échanger, comprendre ce qui se passe. Tu te nourris dans la communication constante, la variété, la stimulation mentale. En amour, le silence t'angoisse - tu as besoin de mots, de dialogues, de savoir où vous en êtes à chaque instant. Tu peux papillonner émotionnellement si tu t'ennuies, mais ta vraie sécurité vient de la complicité intellectuelle, du sentiment qu'on se comprend sans se juger.",,,,,
Style,"Femme, Homme",Lune,Maison ,4,"Tu te sens en sécurité dans le cocon, le nid, l'intimité totale avec ceux que tu aimes. Tu te nourris dans la fusion familiale, les racines communes, le sentiment d'appartenance. En amour, tu veux créer un sanctuaire émotionnel où tout est protégé, où on se comprend sans mots. Tu peux devenir possessif(ve) et étouffant(e) parce que ta pire angoisse est l'abandon, mais quand tu es rassuré(e), tu offres une capacité de care et de protection maternelle incomparable.",,,,,
Style,"Femme, Homme",Lune,Maison ,5,"Tu te sens en sécurité quand tu es admiré(e), célébré(e), quand tu peux rayonner émotionnellement. Tu te nourris dans la passion, le jeu amoureux, la romance spectaculaire. En amour, tu as besoin qu'on te courtise, qu'on te fasse sentir spécial(e), qu'on entretienne la magie. Tu peux dramatiser tes émotions pour tester si on t'aime vraiment, mais ta générosité affective est immense quand tu te sens le centre du cœur de l'autre.",,,,,
Style,"Femme, Homme",Lune,Maison ,6,"Tu te sens en sécurité dans l'utilité, le service mutuel, la routine bien huilée du quotidien. Tu te nourris en étant indispensable, en améliorant la vie de l'autre, en créant un quotidien sain et fonctionnel. En amour, tu montres tes sentiments par des gestes concrets, une présence attentive aux détails. Tu peux devenir anxieux(se) et hypercritique si la relation dysfonctionne, mais ta capacité de dévouement et de soin quotidien est ta force quand tu te sens apprécié(e).",,,,,
Style,"Femme, Homme",Lune,Maison ,7,"Tu te sens en sécurité dans le partenariat équilibré, dans le miroir que l'autre te renvoie. Tu te nourris dans l'harmonie relationnelle, la validation mutuelle, la beauté du couple. En amour, tu as besoin de sentir que vous êtes une équipe parfaite, que l'autre te complète, que tout est juste entre vous. Tu peux te perdre dans l'autre pour maintenir la paix, mais ton talent pour créer de l'équilibre et de la diplomatie amoureuse est ta vraie puissance.",,,,,
Style,"Femme, Homme",Lune,Maison ,8,"Tu te sens en sécurité dans l'intensité, la fusion totale, la vérité nue même si elle fait mal. Tu te nourris dans les profondeurs émotionnelles, les crises qui transforment, la mort-renaissance du couple. En amour, tu veux tout ou rien - la superficialité te vide, tu as besoin de pouvoir plonger dans les ombres de l'autre sans peur. Tu peux être possessif(ve), jaloux(se), obsessionnel(le), mais ta capacité de régénération émotionnelle et de loyauté inconditionnelle est ta force quand tu es avec quelqu'un qui accepte tes profondeurs.",,,,,
Style,"Femme, Homme",Lune,Maison ,9,"Tu te sens en sécurité dans le mouvement, l'expansion, la quête de sens qui dépasse le quotidien. Tu te nourris dans l'aventure (physique ou mentale), l'optimisme, la vision d'un horizon plus grand. En amour, tu as besoin d'un compagnon de voyage qui te fait grandir, qui explore avec toi, qui ne t'enferme jamais. Tu peux fuir l'intimité trop lourde pour garder ta liberté, mais ta capacité à apporter de la joie, de la foi et de l'inspiration dans l'amour est ta vraie magie.",,,,,
Style,"Femme, Homme",Lune,Maison ,10,"Tu te sens en sécurité dans la structure, le respect mutuel, la maturité du couple. Tu te nourris quand la relation a un but, une utilité, quand elle construit quelque chose de solide socialement. En amour, tu as besoin de sentir que vous êtes une équipe qui avance, que l'autre t'élève, que le couple est respectable. Tu peux paraître froid(e) ou distant(e) émotionnellement, mais ta loyauté, ton sérieux et ta capacité à construire du durable sont ta vraie force.",,,,,
Style,"Femme, Homme",Lune,Maison ,11,"Tu te sens en sécurité dans la liberté, l'amitié amoureuse, les idéaux partagés plutôt que la fusion. Tu te nourris dans l'ouverture d'esprit, la communauté, les projets qui dépassent le couple. En amour, tu veux un partenaire qui soit aussi ton ami, ton complice intellectuel, qui te laisse ton indépendance. Tu peux paraître détaché(e) émotionnellement, mais ta capacité à aimer sans posséder, à créer une alliance libre et progressiste, est ta vraie puissance.",,,,,
Style,"Femme, Homme",Lune,Maison ,12,"Tu te sens en sécurité dans la fusion spirituelle, la compassion infinie, le lien invisible qui transcende le quotidien. Tu te nourris dans l'indicible, le sacrifice, la dissolution des frontières entre toi et l'autre. En amour, tu peux te perdre complètement, idéaliser jusqu'à la souffrance, porter les blessures de l'autre comme les tiennes. Tu peux être victime ou sauveur, mais ta capacité d'amour inconditionnel et de connexion mystique est ton don le plus précieux quand tu apprends à ne pas t'oublier complètement.",,,,,
Style,Femme,Vénus,Signe,Bélier,"Tu aimes avec impulsivité, passion et indépendance. Ton affection est fougueuse, directe, parfois maladroite. Tu te lances vite mais te lasses aussi rapidement. Tu montres ton amour par l'action, le courage, la spontanéité. Tu peux être égocentrique ou avoir peur de la dépendance affective.",passion; spontanéité; intensité; franchise,,,,
Style,Femme,Vénus,Signe,Taureau,"Tu aimes avec sensualité, fidélité et stabilité. Ton affection est palpable, charnelle, ancrée dans le concret. Tu montres ton amour par le toucher, les plaisirs partagés, la création d'un cadre beau et confortable. Tu prends ton temps pour aimer mais c'est profond et durable. Tu peux être possessif(ve) ou résistant(e) au changement.""",fidélité; sensualité; stabilité; loyauté,,,,
Style,Femme,Vénus,Signe,Gémeaux,"Aime avec curiosité et légèreté. Le lien doit rester vivant, stimulant, jamais enfermant. On a besoin de dialogue, d’humour, d’échange.",communication; humour; légèreté; curiosité,,,,
Style,Femme,Vénus,Signe,Cancer,"Aime avec douceur, profondeur et loyauté. L’amour, c’est un cocon : on donne sans compter, mais on a besoin de se sentir en sécurité.",tendresse; loyauté; attachement; nostalgie,,,,
Style,Femme,Vénus,Signe,Lion,"Aime avec noblesse et cœur. Besoin d’admirer et d’être admirée. On veut un amour lumineux, sincère, qui met en valeur sans dominer.",fierté; loyauté; chaleur; générosité,,,,
Style,Femme,Vénus,Signe,Vierge,"Tu aimes avec pudeur, exigence et dévouement pratique. Ton affection est discrète, analytique, exprimée à travers le service et les gestes concrets. Tu montres ton amour en améliorant, en aidant, en prenant soin. Tu peux trop critiquer, douter de ta valeur ou avoir peur d'être imparfait(e) en amour.",loyauté; service; réalisme; perfectionnisme,,,,
Style,Femme,Vénus,Signe,Balance,"Tu aimes avec élégance, harmonie et équilibre. Ton affection passe par le raffinement, l'esthétique, le désir d'un lien juste et beau. Tu cherches naturellement la paix, le compromis, la réciprocité. Tu montres ton amour par ta présence gracieuse et ton attention à l'autre. Tu peux fuir les conflits ou douter de tes propres désirs.""",harmonie; diplomatie; charme; équilibre,,,,
Style,Femme,Vénus,Signe,Scorpion,"Tu aimes avec intensité, exclusivité et profondeur émotionnelle. Ton affection est magnétique, totale, souvent possessive. Tu ne fais rien à moitié : tu fusionnes ou tu te retires. Tu montres ton amour par ta loyauté absolue et ta capacité à transformer. Tu peux être jaloux(se), méfiant(e) ou obsessionnel(le).""",passion; loyauté; transformation; vérité,,,,
Style,Femme,Vénus,Signe,Sagittaire,"Aime avec liberté et enthousiasme. On cherche un lien qui élève, qui fait grandir. L’amour doit nourrir notre vision du monde.",liberté; aventure; foi; enthousiasme,,,,
Style,Femme,Vénus,Signe,Capricorne,"Aime avec sérieux, patience et fidélité. On ne se livre pas facilement, mais quand on s’engage, c’est pour de vrai.",engagement; stabilité; responsabilité; discrétion,,,,
Style,Femme,Vénus,Signe,Verseau,"Aime avec liberté et originalité. On veut un lien sincère mais non conventionnel, où chacun reste soi.",liberté; amitié; différence; indépendance,,,,
Style,Femme,Vénus,Signe,Poissons,"Tu aimes avec empathie, dévotion et sensibilité spirituelle. Ton affection est sans frontières, fusionnelle, idéalisée. Tu te donnes entièrement, tu ressens l'autre comme toi-même. Tu montres ton amour par ta compassion, ton sacrifice, ta capacité à pardonner. Tu peux te perdre dans l'autre ou aimer ce qui n'existe que dans tes rêves.",compassion; empathie; rêve; fusion,,,,
Style,Homme,Vénus,Signe,Bélier,"Tu aimes avec impulsivité, passion et indépendance. Ton affection est fougueuse, directe, parfois maladroite. Tu te lances vite mais te lasses aussi rapidement. Tu montres ton amour par l'action, le courage, la spontanéité. Tu peux être égocentrique ou avoir peur de la dépendance affective.",passion; spontanéité; intensité; franchise,,,,
Style,Homme,Vénus,Signe,Taureau,"Tu aimes avec sensualité, fidélité et stabilité. Ton affection est palpable, charnelle, ancrée dans le concret. Tu montres ton amour par le toucher, les plaisirs partagés, la création d'un cadre beau et confortable. Tu prends ton temps pour aimer mais c'est profond et durable. Tu peux être possessif(ve) ou résistant(e) au changement.""",fidélité; sensualité; stabilité; loyauté,,,,
Style,Homme,Vénus,Signe,Gémeaux,"Aime avec curiosité et légèreté. Le lien doit rester vivant, stimulant, jamais enfermant. On a besoin de dialogue, d’humour, d’échange.",communication; humour; légèreté; curiosité,,,,
Style,Homme,Vénus,Signe,Cancer,"Aime avec douceur, profondeur et loyauté. L’amour, c’est un cocon : on donne sans compter, mais on a besoin de se sentir en sécurité.",tendresse; loyauté; attachement; nostalgie,,,,
Style,Homme,Vénus,Signe,Lion,"Aime avec noblesse et cœur. Besoin d’admirer et d’être admirée. On veut un amour lumineux, sincère, qui met en valeur sans dominer.",fierté; loyauté; chaleur; générosité,,,,
Style,Homme,Vénus,Signe,Vierge,"Tu aimes avec pudeur, exigence et dévouement pratique. Ton affection est discrète, analytique, exprimée à travers le service et les gestes concrets. Tu montres ton amour en améliorant, en aidant, en prenant soin. Tu peux trop critiquer, douter de ta valeur ou avoir peur d'être imparfait(e) en amour.",loyauté; service; réalisme; perfectionnisme,,,,
Style,Homme,Vénus,Signe,Balance,"Tu aimes avec élégance, harmonie et équilibre. Ton affection passe par le raffinement, l'esthétique, le désir d'un lien juste et beau. Tu cherches naturellement la paix, le compromis, la réciprocité. Tu montres ton amour par ta présence gracieuse et ton attention à l'autre. Tu peux fuir les conflits ou douter de tes propres désirs.""",harmonie; diplomatie; charme; équilibre,,,,
Style,Homme,Vénus,Signe,Scorpion,"Tu aimes avec intensité, exclusivité et profondeur émotionnelle. Ton affection est magnétique, totale, souvent possessive. Tu ne fais rien à moitié : tu fusionnes ou tu te retires. Tu montres ton amour par ta loyauté absolue et ta capacité à transformer. Tu peux être jaloux(se), méfiant(e) ou obsessionnel(le).""",passion; loyauté; transformation; vérité,,,,
Style,Homme,Vénus,Signe,Sagittaire,"Aime avec liberté et enthousiasme. On cherche un lien qui élève, qui fait grandir. L’amour doit nourrir notre vision du monde.",liberté; aventure; foi; enthousiasme,,,,
Style,Homme,Vénus,Signe,Capricorne,"Aime avec sérieux, patience et fidélité. On ne se livre pas facilement, mais quand on s’engage, c’est pour de vrai.",engagement; stabilité; responsabilité; discrétion,,,,
Style,Homme,Vénus,Signe,Verseau,"Aime avec liberté et originalité. On veut un lien sincère mais non conventionnel, où chacun reste soi.",liberté; amitié; différence; indépendance,,,,
Style,Homme,Vénus,Signe,Poissons,"Tu aimes avec empathie, dévotion et sensibilité spirituelle. Ton affection est sans frontières, fusionnelle, idéalisée. Tu te donnes entièrement, tu ressens l'autre comme toi-même. Tu montres ton amour par ta compassion, ton sacrifice, ta capacité à pardonner. Tu peux te perdre dans l'autre ou aimer ce qui n'existe que dans tes rêves.",compassion; empathie; rêve; fusion,,,,
Style,Femme,Vénus,Maison,1,"L’amour fait partie de son identité. Charme naturel, besoin d’être aimé pour se sentir vivant. Capable d’aimanter sans forcer, mais sensible au regard des autres. Favorise la beauté, le charme, la séduction, rend magnétique et attirant. La beauté physique va beaucoup compter. On séduit en étant soi-même, en osant montrer sa personnalité, son charme naturel.",séduction; affirmation; charisme; visibilité,,,,
Style,Femme,Vénus,Maison,2,"Aime construire dans la durée, cherche la stabilité affective et matérielle. L’amour passe par la confiance, les plaisirs simples, les valeurs partagées. Vénus parlera ici de créativité et de sensualité. Charme, côté plantureux, sensualité, on aime profiter de la vie et de ses plaisirs. On aime les belles choses, on est authentique. Besoin de sécurité en amour, on peut se montrer possessif(ve) envers les personnes aimées.",stabilité; loyauté; plaisir; sécurité,,,,
Style,Femme,Vénus,Maison,3,"Aime à travers la communication, le rire, le partage d’idées. L’amour se nourrit du dialogue, de la complicité intellectuelle et de la légèreté.
L'amour est lié à la sphère mentale. On est apprécié(e) dans sa sociabilité, par le groupe d'ami(e)s, l'entourage. Beaucoup de charme quand on échange, on brille par son intelligence.",complicité; échange; curiosité; vivacité,,,,
Style,Femme,Vénus,Maison,4,"Aime profondément, avec loyauté et besoin de sécurité émotionnelle. L’amour, c’est un foyer, une tendresse, une racine. Grand besoin d'amour, forte sensibilité, grand besoin de tendresse et de douceur et une peur parfois de l'abandon...",tendresse; loyauté; foyer; sécurité,,,,
Style,Femme,Vénus,Maison,5,"Aime dans la joie, la créativité, le jeu. L’amour, ici, est un art d’aimer : généreux, expressif, vibrant. On aime briller, être regardé(e), charmer, plaire, séduire, la conquête, les amours, les flirts. Créativité, on aime le beau, se faire beau/belle, côté chaleureux, généreux. Vision de l'amour forte dans cette maison, si mal aspectée, des déceptions sont possibles au cours de la vie.",joie; passion; expression; romance,,,,
Style,Femme,Vénus,Maison,6,"Aime en prenant soin. L’amour s’exprime dans les détails, les gestes quotidiens, l’attention à l’autre. domaine. Ce placement indique l'amour des petits animaux, et le fait d'aimer rendre service aux autres, donner de soi dans l'amour. Attention au côté ""don"" qui peut être fort. Vision de l'amour parfois un peu rigide.",service; loyauté; modestie; constance,,,,
Style,Femme,Vénus,Maison,7,"Aime avec conscience de l’autre. Besoin d’un lien équilibré, clair, réciproque. L’amour devient miroir de soi. on aime tout simplement l'amour, besoin des autres, du couple, pour se sentir bien et sentir un bien être, un équilibre dans sa vie (attention à l'idéalisation de la relation, et au fait de s'y oublier).",équilibre; alliance; miroir; engagement,,,,
Style,Femme,Vénus,Maison,8,"Aime intensément, sans demi-mesure. Besoin de profondeur, de vérité, de fusion émotionnelle. Aura magnétique et irrésistible, mais le rapport à l'amour n'est pas toujours facile, voilé de méfiance et de jalousie parfois...  L'amour est fait de crise, il est intense, le rapport à l'amour doit être transformé.",passion; vérité; transformation; fusion,,,,
Style,Femme,Vénus,Maison,9,"Aime avec liberté, curiosité et foi. Cherche un lien qui ouvre les horizons, qui élève, qui inspire. On idéalise l'amour, parfois un peu trop, on idéalise le féminin, on a besoin de passion, de vibrer, et on a besoin d'admirer pour aimer. Côté excessif, parfois ! rencontre de nouvelles personnes à l'autre bout du monde.",liberté; aventure; philosophie; inspiration,,,,
Style,Femme,Vénus,Maison,10,"Aime dans la maîtrise et la construction. Besoin de respect, de reconnaissance, de vision commune. L'amour est une chose sérieuse, maturité émotionnelle. Charme plus distant, un peu inaccessible. ",respect; ambition; structure; engagement,,,,
Style,Femme,Vénus,Maison,11,"Aime différemment, librement. L’amour se vit comme une amitié forte, un lien basé sur l’échange et la compréhension mutuelle. besoin de se sentir libre et indépendant(e). on charme par son intellect. Vision de l'amour différente, atypique, avec un côté amical. Importance des amitiés féminines.",amitié; liberté; égalité; complicité,,,,
Style,Femme,Vénus,Maison,12,"Aime avec empathie, mystère et profondeur. Besoin d’un lien d’âme, au-delà des mots. L’amour devient refuge, guérison, ou parfois échappatoire. On peut avoir tendance à cacher son charme, qui transparaît pourtant d'une manière sensible, douce, réceptive. Le rapport au féminin et à l'amour n'est pas toujours facile, mais vie intérieure riche : spiritualité, rêve, imagination, démonstrations amoureuses... Tendance fusionnelle.",compassion; secret; rêve; fusion,,,,
Style,Homme,Vénus,Maison,1,"L’amour fait partie de son identité. Charme naturel, besoin d’être aimé pour se sentir vivant. Capable d’aimanter sans forcer, mais sensible au regard des autres. Favorise la beauté, le charme, la séduction, rend magnétique et attirant. La beauté physique va beaucoup compter. On séduit en étant soi-même, en osant montrer sa personnalité, son charme naturel.",séduction; affirmation; charisme; visibilité,,,,
Style,Homme,Vénus,Maison,2,"Aime construire dans la durée, cherche la stabilité affective et matérielle. L’amour passe par la confiance, les plaisirs simples, les valeurs partagées. Vénus parlera ici de créativité et de sensualité. Charme, côté plantureux, sensualité, on aime profiter de la vie et de ses plaisirs. On aime les belles choses, on est authentique. Besoin de sécurité en amour, on peut se montrer possessif(ve) envers les personnes aimées.",stabilité; loyauté; plaisir; sécurité,,,,
Style,Homme,Vénus,Maison,3,"Aime à travers la communication, le rire, le partage d’idées. L’amour se nourrit du dialogue, de la complicité intellectuelle et de la légèreté.
L'amour est lié à la sphère mentale. On est apprécié(e) dans sa sociabilité, par le groupe d'ami(e)s, l'entourage. Beaucoup de charme quand on échange, on brille par son intelligence.",complicité; échange; curiosité; vivacité,,,,
Style,Homme,Vénus,Maison,4,"Aime profondément, avec loyauté et besoin de sécurité émotionnelle. L’amour, c’est un foyer, une tendresse, une racine. Grand besoin d'amour, forte sensibilité, grand besoin de tendresse et de douceur et une peur parfois de l'abandon...",tendresse; loyauté; foyer; sécurité,,,,
Style,Homme,Vénus,Maison,5,"Aime dans la joie, la créativité, le jeu. L’amour, ici, est un art d’aimer : généreux, expressif, vibrant. On aime briller, être regardé(e), charmer, plaire, séduire, la conquête, les amours, les flirts. Créativité, on aime le beau, se faire beau/belle, côté chaleureux, généreux. Vision de l'amour forte dans cette maison, si mal aspectée, des déceptions sont possibles au cours de la vie.",joie; passion; expression; romance,,,,
Style,Homme,Vénus,Maison,6,"Aime en prenant soin. L’amour s’exprime dans les détails, les gestes quotidiens, l’attention à l’autre. domaine. Ce placement indique l'amour des petits animaux, et le fait d'aimer rendre service aux autres, donner de soi dans l'amour. Attention au côté ""don"" qui peut être fort. Vision de l'amour parfois un peu rigide.",service; loyauté; modestie; constance,,,,
Style,Homme,Vénus,Maison,7,"Aime avec conscience de l’autre. Besoin d’un lien équilibré, clair, réciproque. L’amour devient miroir de soi. on aime tout simplement l'amour, besoin des autres, du couple, pour se sentir bien et sentir un bien être, un équilibre dans sa vie (attention à l'idéalisation de la relation, et au fait de s'y oublier).",équilibre; alliance; miroir; engagement,,,,
Style,Homme,Vénus,Maison,8,"Aime intensément, sans demi-mesure. Besoin de profondeur, de vérité, de fusion émotionnelle. Aura magnétique et irrésistible, mais le rapport à l'amour n'est pas toujours facile, voilé de méfiance et de jalousie parfois...  L'amour est fait de crise, il est intense, le rapport à l'amour doit être transformé.",passion; vérité; transformation; fusion,,,,
Style,Homme,Vénus,Maison,9,"Aime avec liberté, curiosité et foi. Cherche un lien qui ouvre les horizons, qui élève, qui inspire. On idéalise l'amour, parfois un peu trop, on idéalise le féminin, on a besoin de passion, de vibrer, et on a besoin d'admirer pour aimer. Côté excessif, parfois ! rencontre de nouvelles personnes à l'autre bout du monde.",liberté; aventure; philosophie; inspiration,,,,
Style,Homme,Vénus,Maison,10,"Aime dans la maîtrise et la construction. Besoin de respect, de reconnaissance, de vision commune. L'amour est une chose sérieuse, maturité émotionnelle. Charme plus distant, un peu inaccessible. ",respect; ambition; structure; engagement,,,,
Style,Homme,Vénus,Maison,11,"Aime différemment, librement. L’amour se vit comme une amitié forte, un lien basé sur l’échange et la compréhension mutuelle. besoin de se sentir libre et indépendant(e). on charme par son intellect. Vision de l'amour différente, atypique, avec un côté amical. Importance des amitiés féminines.",amitié; liberté; égalité; complicité,,,,
Style,Homme,Vénus,Maison,12,"Aime avec empathie, mystère et profondeur. Besoin d’un lien d’âme, au-delà des mots. L’amour devient refuge, guérison, ou parfois échappatoire. On peut avoir tendance à cacher son charme, qui transparaît pourtant d'une manière sensible, douce, réceptive. Le rapport au féminin et à l'amour n'est pas toujours facile, mais vie intérieure riche : spiritualité, rêve, imagination, démonstrations amoureuses... Tendance fusionnelle.",compassion; secret; rêve; fusion,,,,
Style,"Femme, Homme",Mars,Signe,Bélier,"Tu agis en amour avec courage, spontanéité et affirmation directe. Ton désir est vif, immédiat, sans calcul. Tu prends l'initiative naturellement, tu fonces, tu conquiers. Tu montres ton intérêt par l'action rapide et franche. Tu peux être impatient(e), agressif(ve) ou te lasser vite une fois la conquête faite.",,,,,
Style,"Femme, Homme",Mars,Signe,Taureau,"Tu agis en amour avec lenteur, sensualité et possessivité. Ton désir est physique, stable, mais long à se manifester. Tu prends l'initiative quand tu te sens en sécurité, jamais à la hâte. Tu montres ton intérêt par la patience et la constance. Tu peux être têtu(e), passif(ve) ou accumuler de la colère avant d'exploser.",,,,,
Style,"Femme, Homme",Mars,Signe,Gémeaux,"Tu agis en amour avec légèreté, curiosité et vivacité d'esprit. Ton désir passe d'abord par la tête — tu séduis par les mots, l'humour, le jeu. Tu prends l'initiative en créant du lien mental, en faisant rire, en surprenant. Tu montres ton intérêt par ta présence stimulante et tes échanges. Tu peux papillonner, te disperser ou fuir quand ça devient trop émotionnel.",,,,,
Style,"Femme, Homme",Mars,Signe,Cancer,"Tu agis en amour avec prudence émotionnelle, intuition et vulnérabilité. Ton désir est sensible, protecteur, réactif à l'ambiance. Tu prends l'initiative seulement quand tu te sens en sécurité affective. Tu montres ton intérêt en créant un cocon, en prenant soin. Tu peux être passif(ve), sur la défensive ou manipuler émotionnellement quand tu te sens menacé(e).",,,,,
