BLOC,POLARITÉ,PLANÈTE_1,PLANÈTE_2,TYPE_DONNÉE,VALEUR,INTERPRÉTATION,CE_QUE_TU_RECHERCHES,COMMENT_TU_VIS_L_AMOUR,DIFFICULTÉS,MOTS_CLÉS
Style,"Femme, Homme",Vénus,Saturne,Aspect,Carré,"Conflit entre ton besoin d'amour et ta peur de ne pas le mériter. Tu te bloques toi-même, tu doutes, tu te sabotes. Attirance pour les relations difficiles, les partenaires froids ou inaccessibles. Ton défi : arrêter de te punir et accepter d'être aimé(e) simplement.",,,,
Style,"Femme, Homme",Vénus,Saturne,Aspect,Opposition,"Tu attires des partenaires qui incarnent la distance, la maturité, la difficulté. L'autre te confronte à tes limites amoureuses, te demande de grandir. Fascination pour ce qui résiste, pour ce qui te force à t'engager sérieusement. Ton défi : cesser de chercher l'épreuve.",,,,
Style,"Femme, Homme",Vénus,Saturne,Aspect,Trigone,"Tu construis l'amour dans la durée. Fidélité naturelle, engagement sincère, capacité à traverser les crises. Tu ne fuis pas quand c'est dur — tu restes et tu bâtis. Relations stables, solides, qui résistent au temps. L'amour comme un projet à long terme.",,,,
Style,"Femme, Homme",Vénus,Uranus,Aspect,Conjonction,"Tu aimes en liberté totale. Pas de règles, pas de cases, pas de routine. Attirance pour l'inhabituel, le rebelle, l'inclassable. Relations électriques, surprenantes, qui échappent aux normes. Risque : fuir dès que ça devient prévisible.",,,,
Style,"Femme, Homme",Vénus,Uranus,Aspect,Carré,"Conflit entre ton besoin d'amour et ton besoin d'indépendance. Tu veux être proche mais libre, engagé(e) mais autonome. Difficulté à tenir dans la durée, tentation de tout casser quand ça devient trop confortable. Ton défi : arrêter de confondre intimité et prison.",,,,
Style,"Femme, Homme",Vénus,Uranus,Aspect,Opposition,"Tu attires des partenaires imprévisibles, instables, électriques. L'autre incarne ta propre part de liberté — celle que tu n'oses pas assumer seul(e). Fascination pour ce qui te déstabilise, pour ce qui casse les codes. Ton défi : incarner toi-même ta propre révolution.",,,,
Style,"Femme, Homme",Vénus,Uranus,Aspect,Trigone,"Tu réinventes l'amour à ta manière. Capacité à créer des relations originales, qui te ressemblent vraiment. Tu gardes ta liberté sans fuir l'intimité — tu trouves l'équilibre. Attirance pour les esprits libres, les gens qui te surprennent.",,,,
Style,"Femme, Homme",Vénus,Neptune,Aspect,Conjonction,"Tu aimes dans la fusion totale. L'autre devient ton rêve, ton idéal, ton salut. Grande sensibilité romantique, capacité à vivre l'amour comme une transcendance. Risque : te perdre dans l'illusion, ne jamais voir l'autre tel qu'il est vraiment.",,,,
Style,"Femme, Homme",Vénus,Neptune,Aspect,Carré,"Conflit entre ton désir d'amour réel et ton besoin de rêve. Tu idéalises, tu projettes, tu fantasmes — puis tu te réveilles déçu(e). Difficulté à accepter l'ordinaire, le concret, le quotidien d'une relation. Ton défi : aimer l'humain, pas l'ange.",,,,
Style,"Femme, Homme",Vénus,Neptune,Aspect,Opposition,"Tu attires des partenaires flous, insaisissables, idéalisés. L'autre incarne ton propre rêve — celui que tu ne vis pas seul(e). Fascination pour ce qui échappe, pour ce qui reste mystérieux. Ton défi : cesser de projeter et voir ce qui est vraiment là.",,,,
Style,"Femme, Homme",Vénus,Neptune,Aspect,Trigone,"Tu aimes avec une profondeur émotionnelle naturelle. Capacité à créer de la magie, de l'émotion, du lien invisible. Sensibilité artistique, romantisme sincère — tu fais rêver sans mentir. L'amour est poésie, mais tu gardes les pieds sur terre.",,,,
Style,"Femme, Homme",Vénus,Pluton,Aspect,Conjonction,"Tu aimes intensément ou pas du tout. Fusion totale, transformation mutuelle, obsession réciproque. L'amour comme une mort et une renaissance. Grande puissance émotionnelle et sexuelle. Risque : dévorer l'autre, vouloir tout contrôler, ne jamais lâcher prise.",,,,
Style,"Femme, Homme",Vénus,Pluton,Aspect,Carré,"Conflit entre ton désir d'amour et ton besoin de pouvoir. Tu veux fusionner mais tu as peur de perdre le contrôle. Relations intenses, passionnées, souvent destructrices. Attirance pour ce qui te transforme violemment. Ton défi : aimer sans posséder.",,,,
Style,"Femme, Homme",Vénus,Pluton,Aspect,Opposition,"Tu attires des partenaires intenses, magnétiques, transformateurs. L'autre incarne ta propre puissance — celle que tu n'assumes pas seul(e). Fascination pour ce qui te confronte, pour ce qui te met face à tes démons. Ton défi : incarner ta propre intensité.",,,,
Style,"Femme, Homme",Vénus,Pluton,Aspect,Trigone,"Tu transformes naturellement par l'amour. Capacité à créer des liens profonds, vrais, qui changent les gens. Intensité émotionnelle et sexuelle assumée, sans drama. Tu sais aller au fond des choses sans tout détruire — l'amour comme une alchimie.",,,,
Couple,"Femme, Homme",Soleil,Lune,Aspect,Conjonction,"Identité et émotions fusionnent. Tu cherches un amour qui fait corps, qui rassure, où l'on est ""un"". Grande cohérence intérieure quand tu es aligné(e), mais difficulté à distinguer ce que tu veux de ce que tu ressens. Ton style : l'amour comme prolongement de toi-même.",Un lien où chacun accepte l’autre sans chercher à le corriger.,Vit l’amour comme un travail d’harmonisation.,"Fatigue relationnelle, malentendus émotionnels.",ajustement; adaptation; patience; équilibre
Couple,"Femme, Homme",Soleil,Lune,Aspect,Carré,"Tension entre qui tu es et ce dont tu as besoin. Tu peux t'affirmer au détriment de ta sécurité émotionnelle, ou te perdre dans tes émotions au détriment de ton identité. Relations où il faut sans cesse négocier. Ton défi : ne plus choisir entre briller et être nourri(e).","Un lien évident, fusionnel, où tout se vit ensemble.","Aime intensément, parfois jusqu’à la confusion.",Difficulté à différencier soi et l’autre.,fusion; unité; dépendance; intensité
Couple,"Femme, Homme",Soleil,Lune,Aspect,Opposition,"Tu attires des partenaires miroirs qui incarnent ce que tu refoules. Forte polarité : l'un est le soleil, l'autre la lune. L'amour devient terrain de projection — tu cherches chez l'autre ce que tu n'assumes pas en toi. Ton défi : intégrer tes propres opposés.",Un lien où chacun reste libre tout en restant lié.,Vit l’amour comme un aller-retour entre fusion et distance.,Crainte de ne jamais réussir à s’accorder.,distance; blocage; confusion; désaccord
Couple,"Femme, Homme",Soleil,Lune,Aspect,Trigone,"Harmonie naturelle entre conscience et émotions. Tu sais qui tu es et ce dont tu as besoin — pas de guerre intérieure. L'amour coule de source, les relations sont fluides. Tu as un modèle intérieur de couple équilibré qui t'aide à créer des liens sains.",Un partenaire capable de comprendre ses contradictions.,Vit l’amour dans la passion et le défi.,Peur de l’échec ou du rejet.,conflit; dualité; tension; apprentissage
Couple,"Femme, Homme",Soleil,Lune,Aspect,Sextile,"Bonne complémentarité entre identité et vie émotionnelle. L'amour circule dans le respect des différences. Tu sais t'affirmer sans écraser tes besoins, et ressentir sans te perdre. Relations où chacun garde sa place.",Un lien d’équilibre entre deux pôles complémentaires.,Vit l’amour comme une danse d’opposés.,Risque d’épuisement ou de prise de parti.,miroir; polarité; projection; équilibre
Couple,"Femme, Homme",Soleil,Vénus,Aspect,Conjonction,"Identité et amour sont intimement liés. Tu aimes à travers ce que tu rayonnes, ce que tu donnes, ce que tu incarnes. Grand charme naturel — tu as besoin d'être aimé(e) pour te sentir vivant(e). Risque : confondre ta valeur personnelle avec ta capacité à plaire.","Une relation fluide, stable, sincère.","Vit l’amour dans la simplicité, la sérénité.",Peut s’endormir dans le confort.,harmonie; stabilité; confiance; douceur
Couple,"Femme, Homme",Soleil,Vénus,Aspect,Carré,"Tension entre qui tu es et ce que tu aimes. Tu peux te sentir tiraillé(e) entre t'affirmer et être aimable, entre tes désirs et ce qui plaît aux autres. L'amour peut devenir un terrain de négociation avec toi-même. Ton défi : t'aimer tel(le) que tu es, sans compromis excessif.","Un lien d’entraide, d’écoute, de construction.","Aime progresser à deux, sans heurts.",Manque de feu ou d’élan parfois.,complicité; écoute; croissance; respect
Couple,"Femme, Homme",Soleil,Vénus,Aspect,Opposition,"Tu projettes ta capacité d'aimer sur l'autre. Le partenaire doit incarner la beauté, le charme, la valeur que tu ne te reconnais pas. L'amour devient un miroir — tu cherches dehors ce qui est déjà en toi. Ton défi : reconnaître ta propre lumière amoureuse.",Une relation claire et consciente.,"Aime profondément, mais reste parfois flou sur ses besoins.","Confusion affective, non-dits.",inconscient; malaise; silence; tension
Couple,"Femme, Homme",Soleil,Vénus,Aspect,Trigone,"L'amour et l'identité s'accordent naturellement. Tu es à l'aise avec qui tu es et tu le montres — ça te rend naturellement attirant(e). Pas besoin de jouer un rôle pour séduire. Les relations sont agréables, tu donnes et reçois avec fluidité.","Un lien évolutif, où le dialogue est possible.",Vit l’amour dans la remise en question.,"Fatigue émotionnelle, inertie relationnelle.",résistance; répétition; rigidité; apprentissage
Couple,"Femme, Homme",Soleil,Vénus,Aspect,Sextile,"Bonne connexion entre ce que tu es et ce que tu aimes. Tu sais créer de l'harmonie sans te renier. Les opportunités amoureuses viennent facilement quand tu es authentique. Relations plaisantes, équilibrées, sans excès.","Un lien où l’amour nourrit la confiance, pas l’ego.","Vit l’amour comme un miroir : plus il/elle se sent reconnu(e), plus il/elle s’épanouit.",Peut confondre amour de soi et amour reçu.,rayonnement; charme; dépendance; estime
Couple,"Femme, Homme",Soleil,Vénus,Aspect,Conjonction dissociée,L’amour et l’identité ne s’accordent pas toujours. Peut aimer profondément mais se sentir incompris(e). L’affectif réactive des blessures anciennes de valeur personnelle.,Une relation où il/elle n’a pas à prouver sa valeur.,"Aime intensément, mais doute souvent de mériter d’être aimé(e).","Attente de reconnaissance, blessure du père, peur d’être rejeté(e).",amour de soi; reconnaissance; blessure; identité
Couple,"Femme, Homme",Soleil,Vénus,Aspect,Semi-carré,"Aime avec exigence et lucidité. L’amour devient un terrain de travail intérieur : apprendre à se pardonner, à s’accepter.",Quelqu’un de patient et authentique.,"Vit l’amour avec vigilance, mais parfois trop d’autocritique.","Auto-sabotage, peur d’imperfection, jugement de soi.",exigence; amour de soi; lucidité; perfectionnisme
Couple,"Femme, Homme",Soleil,Vénus,Aspect,Semi-sextile,Aime sincèrement mais avec retenue. L’amour réveille des résistances subtiles à s’aimer tel(le) qu’il/elle est.,Une personne qui apaise plutôt qu’elle ne remet en question.,Vit l’amour comme une tension douce entre besoin d’aimer et peur de se montrer.,"Rigidité intérieure, peur du changement, fatigue émotionnelle.",résistance; amour; adaptation; rigueur
Couple,"Femme, Homme",Soleil,Lune,Aspect,Conjonction dissociée,Désir d’union mais sensation de barrière invisible. Le couple symbolise un “blocage d’accord”.,Un lien où chacun reste libre tout en restant lié.,Vit l’amour comme un aller-retour entre fusion et distance.,Crainte de ne jamais réussir à s’accorder.,distance; blocage; confusion; désaccord
Partenaire,Femme,Soleil,Lune,Aspect,Conjonction,"Tu projettes sur l'homme idéal une fusion entre force et douceur. Il doit être à la fois solide et nourrissant — un homme qui protège ET qui prend soin. Tu cherches un partenaire qui incarne le masculin et le féminin réconciliés. Non intégré, tu peux attendre qu'il soit tout : père, mère, amant, ami — une pression impossible. Ou tu attires des hommes dont l'identité est floue, qui ne savent pas vraiment qui ils sont. Intégré, tu choisis un homme complet, en contact avec ses émotions, capable de force tendre.",,,,
Partenaire,Femme,Soleil,Lune,Aspect,Trigone,"Tu as une image harmonieuse de l'homme qui sait allier présence et sensibilité. Le masculin émotionnellement disponible te semble naturel, attirant. Tu sais reconnaître un homme qui assume sa vulnérabilité sans perdre sa solidité. Tu attires des hommes équilibrés avec qui l'intimité coule de source.",,,,
Partenaire,Femme,Soleil,Lune,Aspect,Sextile,"Tu apprécies les hommes qui savent être forts et doux à la fois. L'équilibre entre action et émotion te semble accessible chez un partenaire. Tu veux un homme présent, capable de te rassurer sans te dominer.",,,,
Partenaire,Femme,Soleil,Lune,Aspect,Carré,"Tu ressens une tension entre l'homme que tu veux (solide, affirmé) et l'homme dont tu as besoin (nourrissant, sécurisant). Ces deux images semblent incompatibles. Non intégré, tu peux osciller entre des hommes forts mais froids et des hommes doux mais faibles — jamais satisfaite. Intégré, tu apprends que force et tendresse peuvent coexister chez le même homme.",,,,
Partenaire,Femme,Soleil,Lune,Aspect,Opposition,"Tu projettes sur l'homme des qualités opposées à ton propre fonctionnement émotionnel. S'il est solaire, tu attends qu'il soit aussi ton refuge. Le partenaire devient un miroir de ce que tu ne t'autorises pas. Non intégré, tu peux vivre des relations où l'un porte l'identité et l'autre les émotions — déséquilibre permanent. Intégré, tu assumes tes propres besoins et tu choisis un partenaire complémentaire, pas un substitut.",,,,
Partenaire,Femme,Soleil,Mercure,Aspect,Conjonction,"Tu projettes sur l'homme idéal une image d'intelligence, de vivacité d'esprit, d'éloquence. Il doit savoir parler, penser, communiquer — un homme brillant avec qui échanger. Tu tombes amoureuse par les mots, les idées, l'humour. Non intégré, tu peux attirer des beaux parleurs, des hommes séduisants intellectuellement mais fuyants émotionnellement. Le verbe peut masquer le vide. Intégré, tu choisis un homme intelligent ET présent — la connexion mentale nourrit aussi le cœur.",,,,
Partenaire,Femme,Soleil,Mercure,Aspect,Trigone,"Tu as une image positive de l'homme communicant, curieux, vif. Le dialogue avec le masculin te semble fluide et stimulant. Tu sais reconnaître un homme qui pense bien et s'exprime clairement. Tu attires des hommes avec qui la complicité intellectuelle est naturelle.",,,,
Partenaire,Femme,Soleil,Mercure,Aspect,Sextile,"Tu apprécies les hommes intelligents, accessibles, avec qui la conversation est facile. Le masculin cultivé te semble attirant sans être intimidant. Tu veux un homme avec qui tu peux parler de tout, simplement.",,,,
Partenaire,Femme,Soleil,Mercure,Aspect,Carré,"Tu es attirée par des hommes brillants mais difficiles à suivre — trop rapides, trop changeants, ou qui utilisent les mots pour manipuler. Il y a une tension entre ce que tu entends et ce que tu ressens. Non intégré, tu peux t'accrocher à des hommes qui te séduisent par leur esprit mais te laissent affectivement vide. Intégré, tu apprends à distinguer l'intelligence vraie du baratin.",,,,
Partenaire,Femme,Soleil,Mercure,Aspect,Opposition,"Tu projettes sur l'homme une capacité de communication que tu ne t'accordes pas. Il doit mettre des mots sur ce que toi tu ressens. Non intégré, tu peux attendre qu'il devine, qu'il exprime à ta place, ou tu attires des hommes qui parlent beaucoup mais n'écoutent pas. Intégré, tu développes ta propre voix et tu choisis un partenaire avec qui le dialogue est réciproque.",,,,
Partenaire,Femme,Soleil,Vénus,Aspect,Conjonction,"Tu projettes sur l'homme idéal une image de charme, de beauté, d'harmonie. Il doit être agréable, aimable, esthète — quelqu'un qui sait plaire et créer de la douceur. C'est l'archétype du ""prince charmant"". Non intégré, tu peux tomber pour des hommes séducteurs, superficiels, ou qui plaisent à tout le monde sauf à toi en particulier. La belle image peut cacher un manque de profondeur. Intégré, tu choisis un homme charmant ET authentique — la beauté est dans la relation, pas seulement dans l'apparence.",,,,
Partenaire,Femme,Soleil,Vénus,Aspect,Trigone,"Tu as une image positive de l'homme doux, charmant, qui sait aimer. Le masculin tendre te semble naturel et attirant. Tu sais reconnaître un homme qui cultive l'harmonie sans être mou. Tu attires des hommes agréables avec qui la relation est fluide et belle.",,,,
Partenaire,Femme,Soleil,Vénus,Aspect,Sextile,"Tu apprécies les hommes aimables, élégants, faciles à vivre. Le masculin raffiné te semble accessible. Tu veux un homme avec qui la vie quotidienne est douce et agréable.",,,,
Partenaire,Femme,Soleil,Vénus,Aspect,Carré,"Tu es attirée par des hommes charmants mais insaisissables — séducteurs qui ne s'engagent pas, ou esthètes qui privilégient l'image sur la substance. Il y a une tension entre ton idéal d'harmonie et la réalité des relations. Non intégré, tu peux collectionner des histoires ""jolies"" mais superficielles, ou rester dans des relations déséquilibrées par peur du conflit. Intégré, tu apprends que l'amour vrai inclut aussi les aspérités.",,,,
Partenaire,Femme,Soleil,Vénus,Aspect,Opposition,"Tu projettes sur l'homme la capacité d'aimer que tu ne t'accordes pas à toi-même. Il doit incarner l'amour, la beauté, la valeur que tu ne te reconnais pas. Non intégré, tu peux idéaliser des hommes qui te semblent ""trop bien pour toi"", ou t'effacer pour être aimée. Intégré, tu reconnais ta propre valeur et tu choisis un partenaire qui t'aime pour ce que tu es, pas pour ce que tu lui apportes.",,,,
Partenaire,Femme,Soleil,Mars,Aspect,Conjonction,"Tu projettes sur l'homme idéal une image très masculine, virile, affirmée. Il doit être direct, décidé, un moteur qui avance. Tu cherches un homme fort qui te stimule, te dynamise, te challenge. Non intégré, tu peux confondre force et brutalité, attirant des hommes agressifs ou dominateurs. Ou tu attends qu'il porte toute l'énergie du couple à ta place. Intégré, tu choisis un homme puissant qui respecte ta propre force — vous vous stimulez mutuellement sans rapport de domination.","Un homme qui assume son feu sans t’écraser, avec qui tu peux admirer et coopérer sans compétition.","Relations passionnées mais exigeantes, besoin d’équilibrer ego et désir.",feu; virilité; action; intensité,
Partenaire,Femme,Soleil,Mars,Aspect,Trigone,"Tu as une image positive de l'homme énergique, courageux, entreprenant. Il te motive naturellement, te tire vers le haut sans t'écraser. L'énergie masculine te porte — tu sais reconnaître et apprécier un homme d'action. Tu attires facilement des hommes dynamiques avec qui l'échange est fluide et stimulant.","Un homme qui t’encourage à agir, à créer, à t'affirmer.",Peut créer une dépendance au partenaire-moteur.,harmonie; action; courage; élan,
Partenaire,Femme,Soleil,Mars,Aspect,Sextile,"Tu apprécies les hommes dynamiques, simples, spontanés. Pas besoin de drama — tu veux un homme motivant avec qui avancer concrètement. L'énergie masculine te semble accessible, positive. Tu sais créer des opportunités de connexion avec des hommes actifs et directs.",Un homme qui t'entraîne dans le mouvement.,Peut manquer de profondeur si pas alimenté.,douceur; motivation; simplicité; énergie,
Partenaire,Femme,Soleil,Mars,Aspect,Carré,"Tu es attirée par des hommes impulsifs, têtus, parfois colériques. Il y a une tension entre ce que tu veux consciemment et ce qui t'attire viscéralement. La passion est intense mais source de conflits. Non intégré, tu rejoues des schémas de confrontation avec le masculin — soit tu te soumets, soit tu combats. Intégré, tu apprends à transformer cette tension en énergie créative plutôt que destructrice.","Un homme qui sait canaliser son feu, sans domination.","Conflits de pouvoir, clashs, rapports de force.",tension; conflit; désir; compétition,
Partenaire,Femme,Soleil,Mars,Aspect,Opposition,"Tu es attirée par des hommes puissants, mais difficiles à suivre. Grande attirance magnétique doublée d'instabilité relationnelle. Tu projettes ta propre énergie martienne sur lui — il incarne ce que tu n'oses pas être. Non intégré, tu vis des relations passionnelles épuisantes ou tu te perds dans des hommes qui te dominent. Intégré, tu récupères ta propre puissance et choisis un partenaire complémentaire, pas un substitut de ton feu intérieur.","Un homme capable de compromis, qui n’est pas dans le bras de fer.","Relations chaotiques, attraction/répulsion.",dualité; axe; séduction; confrontation,
Partenaire,Femme,Soleil,Saturne,Aspect,Conjonction,"Tu projettes sur l'homme idéal une image de maturité, de stabilité, de responsabilité. Il doit être un pilier — fiable, solide, structurant. Tu cherches un homme sur qui tu peux compter dans la durée. Non intégré, tu peux attirer des hommes froids, rigides, critiques, ou reproduire une dynamique père-fille où tu restes ""petite"". L'amour peut ressembler à du devoir. Intégré, tu choisis un homme mature qui sait aussi être tendre — la solidité coexiste avec la chaleur.","Un homme fiable, solide, structuré.",Peut attirer des hommes trop rigides ou distants.,maturité; stabilité; cadre; engagement,
Partenaire,Femme,Soleil,Saturne,Aspect,Trigone,"Tu as une image positive de l'homme loyal, sage, constant. La maturité masculine te rassure naturellement. Tu sais reconnaître et apprécier un homme responsable sans le trouver ennuyeux. Tu attires des hommes solides avec qui construire dans la durée est fluide.","Un homme patient, constructif.",Peut créer une relation trop sage ou routinière.,harmonie; constance; loyauté; structure,
Partenaire,Femme,Soleil,Saturne,Aspect,Sextile,Tu apprécies les hommes sérieux mais accessibles. Pas besoin qu'il soit un patriarche — tu veux un homme fiable avec qui les choses sont claires. La structure masculine te semble rassurante sans être étouffante.,Un homme engagé mais doux.,Peut manquer d’élan ou de spontanéité.,simplicité; respect; responsabilité; soutien,
Partenaire,Femme,Soleil,Saturne,Aspect,Carré,"Tu es attirée par des hommes froids, critiques, exigeants — ou indisponibles. Il y a une tension entre ton besoin de sécurité et la difficulté à l'obtenir. Non intégré, tu peux t'acharner à conquérir des hommes qui ne donnent rien, ou saboter les relations stables par peur de l'enfermement. Intégré, tu apprends que la structure peut être un cadre aimant, pas une prison.",Un homme qui ouvre son cœur sans juger.,"Blessures d’estime, rapport au père, rigidité.",blocage; froideur; autorité; manque,
Partenaire,Femme,Soleil,Saturne,Aspect,Opposition,"Tu projettes sur l'homme une image d'autorité distante, intouchable, supérieure. Tu peux être attirée par des figures paternelles inaccessibles ou des hommes qui te jugent. Non intégré, tu te sens toujours ""pas assez"" face au masculin, ou tu rejettes en bloc toute forme d'autorité. Intégré, tu cesses de chercher l'approbation paternelle chez ton partenaire et tu choisis un égal.",Un homme capable de vulnérabilité.,"Fuite émotionnelle, rapport de force, test permanent.",défi; distance; froideur; exigence,
Partenaire,Femme,Soleil,Jupiter,Aspect,Conjonction,"Tu projettes sur l'homme idéal une image d'expansion, de générosité, de brillance. Il doit être solaire, enthousiaste, plus grand que nature. Tu cherches un homme qui t'ouvre des horizons, qui te fait rêver. Non intégré, tu peux idéaliser des hommes excessifs, irresponsables, ou des ""grands enfants"" qui promettent beaucoup mais tiennent peu. Intégré, tu choisis un homme généreux avec les pieds sur terre — l'expansion se vit à deux, dans le réel.",Un homme qui t’élève et te valorise.,"Peut attirer des hommes mégalos, excessifs.",expansion; chaleur; ambition; générosité,
Partenaire,Femme,Soleil,Jupiter,Aspect,Trigone,"Tu as une image positive de l'homme optimiste, protecteur, inspirant. Le masculin t'élève naturellement. Tu sais reconnaître et apprécier un homme généreux qui voit grand. Tu attires des hommes enthousiastes avec qui grandir est un plaisir.","Un homme encourageant, confiant.",Risque d’idéalisation.,harmonie; optimisme; soutien; vision,
Partenaire,Femme,Soleil,Jupiter,Aspect,Sextile,"Tu apprécies les hommes enthousiastes, ouverts, drôles. Le masculin te semble porteur d'opportunités. Tu veux un homme positif avec qui la vie est une aventure légère et joyeuse.",Un homme qui illumine le quotidien.,Peut manquer d’ancrage.,légèreté; joie; confiance; ouverture,
Partenaire,Femme,Soleil,Jupiter,Aspect,Carré,"Tu es attirée par des hommes excessifs, parfois irresponsables ou survoltés. Il y a un décalage entre tes attentes démesurées et la réalité. Non intégré, tu passes d'un homme à l'autre en cherchant toujours ""mieux"", ou tu t'attaches à des prometteurs qui ne concrétisent jamais. Intégré, tu apprends que la grandeur se trouve aussi dans le quotidien partagé.",Un homme capable de modération.,"Promesses non tenues, illusions.",excès; dispersion; enthousiasme; chaos,
Partenaire,Femme,Soleil,Jupiter,Aspect,Opposition,"Tu projettes sur l'homme une image inspirante mais insaisissable. Il doit être extraordinaire — et donc souvent hors de portée. Non intégré, tu idéalises des hommes inaccessibles ou tu te sens ""trop petite"" pour ceux que tu admires. Intégré, tu reconnais ta propre capacité d'expansion et tu choisis un partenaire à ta hauteur, pas un guru.",Un homme libre mais fiable.,"Relations à distance, idéalisme, fuite.",aventure; liberté; idéal; écart,
Partenaire,Femme,Soleil,Uranus,Aspect,Conjonction,"Tu projettes sur l'homme idéal une image d'originalité, de brillance atypique, d'imprévisibilité. Il doit sortir du lot, te surprendre, être différent. Tu cherches un homme libre, un électron qui ne rentre dans aucune case. Non intégré, tu peux attirer des hommes instables, incapables de s'engager, ou fuir toi-même dès que ça devient conventionnel. Intégré, tu choisis un homme original qui sait aussi être présent — la liberté cohabite avec l'engagement.",Un homme libre qui respecte ta liberté.,"Instabilité, ruptures soudaines.",indépendance; génie; surprise; atypique,
Partenaire,Femme,Soleil,Uranus,Aspect,Trigone,"Tu as une image positive de l'homme moderne, visionnaire, inspirant. L'originalité masculine te stimule naturellement. Tu sais reconnaître et apprécier un homme qui pense différemment. Tu attires des hommes innovants avec qui l'avenir s'invente.",Un homme stimulant et créatif.,Peut manquer d’ancrage concret.,harmonie; innovation; liberté; esprit,
