BLOC ,POLARITÉ,MAITRE_MAISON,TYPE_DONNEE,VALEUR,INTERPRETATION,,,,
Style,"Femme, Homme",maitre_maison_7,Signe,Lion,"Tu abordes les relations avec un besoin d'admiration mutuelle. Tu veux être fier(ère) de ton partenaire et qu'il/elle soit fier(ère) de toi. Tu as besoin de compliments, de reconnaissance, de chaleur. L'union doit briller, être généreuse, rayonnante. Tu peux souffrir si tu te sens ignoré(e) ou si l'autre ne te met pas en valeur.",,,,
Style,"Femme, Homme",maitre_maison_7,Signe,Vierge,"Tu abordes les relations avec discrétion et pragmatisme. Tu as besoin d'un partenaire fiable, avec qui partager un quotidien organisé, sain, stable. Les réflexions autour de la santé, du bien-être, de l'amélioration mutuelle sont importantes. L'union se construit dans les détails. Tu peux être trop critique ou exigeant(e) envers l'autre.",,,,
Style,"Femme, Homme",maitre_maison_7,Signe,Balance,"Tu abordes les relations comme une quête d'harmonie et d'équilibre. L'union est centrale dans ta vie — tu as besoin d'être en couple pour te sentir complet(e). Tu cherches un partenaire doux, diplomate, qui sait faire des compromis. Tu veux une relation belle, élégante, sans conflit. Tu peux avoir du mal à être seul(e) ou à affirmer tes propres besoins.",,,,
Style,"Femme, Homme",maitre_maison_7,Signe,Scorpion,"Tu abordes les relations avec intensité et profondeur. Tu cherches un partenaire avec qui partager une vraie intimité, y compris sexuelle. L'union peut donner lieu à des rapports de force, des crises, des transformations. Tu veux la vérité, pas la surface. Tu peux être jaloux(se), possessif(ve), ou attirer des dynamiques de pouvoir.",,,,
Style,"Femme, Homme",maitre_maison_7,Signe,Sagittaire,"Tu abordes les relations avec enthousiasme et idéalisme. Tu as besoin d'admirer ton partenaire — son intelligence, sa réussite, sa vision du monde. L'union doit t'élever, te faire grandir, t'ouvrir des horizons. Tu cherches quelqu'un de libre, inspirant, avec qui partager des aventures. Tu peux fuir l'engagement si ça devient trop contraignant.",,,,
Style,"Femme, Homme",maitre_maison_7,Signe,Capricorne,"Tu abordes les relations avec sérieux et maturité. Tu prends ton temps pour t'engager — parfois trop, ce qui peut retarder le mariage ou l'union officielle. Tu cherches un partenaire solide, responsable, digne de confiance. L'union est une construction à long terme. Tu peux être distant(e) émotionnellement ou trop exigeant(e) sur les critères.",,,,
Style,"Femme, Homme",maitre_maison_7,Signe,Verseau,"Tu abordes les relations comme une amitié avant tout. Tu as besoin d'un partenaire original, différent, qui pense de façon avant-gardiste. L'union doit respecter ta liberté et ton indépendance. Tu cherches un lien égalitaire, stimulant intellectuellement, hors des codes traditionnels. Tu peux avoir du mal avec la fusion émotionnelle ou l'engagement conventionnel.",,,,
Style,"Femme, Homme",maitre_maison_7,Signe,Poissons,"Tu abordes les relations avec romantisme et idéalisation. Tu rêves d'une union fusionnelle, spirituelle, ""d'âme à âme"". Tu peux fantasmer le partenaire idéal au point de ne plus voir la réalité. L'amour est vécu comme une expérience mystique. Attention aux illusions, aux déceptions, ou à te perdre dans l'autre en oubliant qui tu es.",,,,
Style,"Femme, Homme",maitre_maison_7,Maison,1,"Tendance à s'identifier au partenaire et aux autres en général. Besoin de la validation des autres concernant sa personnalité. Grand besoin des autres dans sa construction et pour avoir confiance en soi. On aime se montrer aux autres. Donne du charme, de l'attraction.",,,,
Style,"Femme, Homme",maitre_maison_7,Maison,2,"À travers l'amour (et les autres) on recherche avant tout la sécurité, matérielle (que le/la partenaire nous sécurise matériellement) et affective, côté possessif. On peut gagner son argent avec son/sa partenaire. Vision gestionnaire du couple.",,,,
Style,"Femme, Homme",maitre_maison_7,Maison,3,"Besoin de la complicité amicale et intellectuelle, de beaucoup échanger avec l'autre, d'être stimulé(e) intellectuellement par l'autre. On voit l'autre et le/la partenaire comme un(e) ami(e), amour fraternel et gémellaire. Besoin d'un côté libre, vivant, sociabilité forte.",,,,
Style,"Femme, Homme",maitre_maison_7,Maison,4,"Rencontre du/de la partenaire dans le cadre familial possible. On associe l'amour à la vie commune, besoin d'une installation commune dans un foyer, du partage d'une intimité. Besoin de sécurité émotionnelle. Côté enfant possible avec l'autre, ou on attire des personnes un peu enfants.","Rencontre du/de la partenaire dans le cadre familial possible. On associe l'amour à la vie commune, besoin d'une installation commune dans un foyer, du partage d'une intimité. Besoin de sécurité émotionnelle. Côté enfant possible avec l'autre, ou on attire des personnes un peu enfants.",,,
Style,"Femme, Homme",maitre_maison_7,Maison,5,"On cherche avant tout une union d'amour, qui nous fera vibrer, romantisme, côté idéaliste. Besoin de trouver l'autre beau/belle, qu'il/elle nous mette des paillettes dans les yeux. Besoin de maintenir une certaine passion dans la relation, de créer ensemble.",,,,
Style,"Femme, Homme",maitre_maison_7,Maison,6,"On peut rencontrer son/sa partenaire dans le travail, ou travailler avec lui/elle. Le quotidien partagé avec l'autre peut être un sujet important : de partage mais de désagréments également. On peut être amené(e) à prendre soin de l'autre et de sa santé.",,,,
Style,"Femme, Homme",maitre_maison_7,Maison,7,"Très grande importance de l'amour, du mariage et de l'union. On peut avoir un côté indécis sur le choix de la bonne personne. Recherche d'une personne douce, conciliante, avec qui on trouvera un équilibre et on échangera. On peut en demander beaucoup à l'autre.",,,,
Style,"Femme, Homme",maitre_maison_7,Maison,8,"On remet souvent en question notre rapport à l'autre et on peut vivre la relation avec une sensation de méfiance parfois. Importance de la sexualité, de l'intensité dans le couple. L'amour peut être un lieu de crises, de remises en question. On doit transformer notre rapport à l'autre.",,,,
Style,"Femme, Homme",maitre_maison_7,Maison,9,"Partenaire d'origine étrangère possible, ou avec qui on partage le goût du voyage. Admiration de l'autre pour l'aimer, on attire à soi des personnes intellectuelles, qui enseignent, qui guident. Besoin d'évolution spirituelle à travers l'autre. On idéalise parfois trop l'autre.",,,,
Style,"Femme, Homme",maitre_maison_7,Maison,10,"Le/la partenaire peut être un appui pour s'élever socialement ou pour sa carrière, ou on est amené(e)s à travailler avec les autres, dans le relationnel. Importance de la loyauté et de la fidélité dans l'union. L'autre doit avoir de l'ambition, la tête sur les épaules.",,,,
Style,"Femme, Homme",maitre_maison_7,Maison,11,"Recherche d'une personne avec qui on sera ami(e) avant tout, complicité intellectuelle. On voit l'autre dans un grand besoin d'indépendance, ce qui peut être bien vécu ou non (on peut le lui reprocher). Amitiés nombreuses. Attrait pour les personnes différentes.",,,,
Style,"Femme, Homme",maitre_maison_7,Maison,12,"Vision de l'autre pas toujours facile: côté fusionnel dans les relations, mais on attire parfois des personnes fuyantes. On a du mal à comprendre les autres. Côté secret dans la relation, besoin d'être compris sur le plan émotionnel. Fantasmes qui amènent parfois de la déception.",,,,
Intime,"Femme, Homme",maitre_maison_8,Maison,1,L’intensité te traverse entièrement : chaque relation te transforme.,"Quelqu’un de fort, vrai, sans faux-semblant.",Vit l’amour dans l’affirmation de soi et la passion.,"Peut tout ramener à soi, peur d’être vulnérable.",transformation; ego; pouvoir; passion
Intime,"Femme, Homme",maitre_maison_8,Maison,2,La transformation passe par la sécurité et la matière. Tu cherches la stabilité après la crise.,"Quelqu’un de fiable, concret, rassurant.",Vit l’amour comme un ancrage régénérant.,"Peur de perdre ou de manquer, besoin de contrôle.",stabilité; sécurité; attachement; reconstruction
Intime,"Femme, Homme",maitre_maison_8,Maison,3,"L’intensité se vit dans les échanges, les confidences, le mental.","Quelqu’un de communicatif, curieux, subtil.",Vit l’amour dans le dialogue profond et les secrets partagés.,"Trop d’analyse, peur de se livrer vraiment.",parole; confidence; compréhension; contrôle
Intime,"Femme, Homme",maitre_maison_8,Maison,4,"La transformation vient de la sphère intime, familiale ou émotionnelle.","Quelqu’un de fidèle, tendre, protecteur.",Vit l’amour comme un refuge transformatif.,Peut se refermer ou rejouer les schémas familiaux.,tendresse; loyauté; sécurité; guérison
Intime,"Femme, Homme",maitre_maison_8,Maison,5,L’amour devient un espace de régénération créative.,"Quelqu’un de solaire, généreux, passionné.",Vit la passion comme un moteur de transformation.,"Besoin d’être admiré(e), peur du rejet.",passion; créativité; fierté; feu
Intime,"Femme, Homme",maitre_maison_8,Maison,6,"Tu vis la transformation dans le service, la constance, la guérison du quotidien.","Quelqu’un de loyal, attentif, patient.",Vit l’amour comme un espace de soin et de reconstruction.,"Fatigue émotionnelle, sacrifice de soi.",loyauté; guérison; patience; dévouement
Intime,"Femme, Homme",maitre_maison_8,Maison,7,Les relations sont ton miroir le plus intense.,"Quelqu’un de juste, conscient, engagé.",Vit l’amour comme un chemin d’évolution.,"Dépendance, peur du rejet ou de la trahison.",miroir; engagement; loyauté; fusion
Intime,"Femme, Homme",maitre_maison_8,Maison,8,"Intensité décuplée. Tu vis la vie, l’amour et la mort comme des initiations.","Quelqu’un de fort, loyal, courageux.",Vit la passion comme un absolu.,"Crises, fusion, contrôle, peurs inconscientes.",transformation; pouvoir; vérité; passion
Intime,"Femme, Homme",maitre_maison_8,Maison,9,Tu cherches le sens derrière la douleur. L’amour est un espace de transcendance.,"Quelqu’un de libre, conscient, inspirant.",Vit la passion dans la foi et la connaissance.,"Fuite, excès de spiritualisation.",expansion; foi; quête; philosophie
Intime,"Femme, Homme",maitre_maison_8,Maison,10,"L’intensité se manifeste dans la carrière, la responsabilité, l’image sociale.","Quelqu’un de stable, ambitieux, loyal.",Vit l’amour comme un engagement durable.,"Contrôle, rigidité, peur de perdre la face.",responsabilité; stabilité; endurance; loyauté
Intime,"Femme, Homme",maitre_maison_8,Maison,11,"Tu cherches la régénération par les amitiés, les groupes, les idéaux communs.","Quelqu’un d’ouvert, différent, libre.",Vit l’amour comme une amitié évolutive.,"Peur de la fusion, besoin de distance.",liberté; amitié; différence; vision
Intime,"Femme, Homme",maitre_maison_8,Maison,12,L’amour devient guérison karmique. Tu vis les liens comme des traversées d’âme.,"Quelqu’un de spirituel, sensible, silencieux.",Vit l’amour dans la compassion et l’abandon.,"Dépendance, confusion, attachement sacrificiel.",compassion; foi; mystère; karma
