PLANETE_1;PLANETE_2;ASPECTS;TYPE;SCORE;COMMENTAIRE
Lune;Mars;conjonction;mixte;4;Émotivité forte, courage affectif. Peut se transformer en réactivité excessive.
Lune;Saturne;conjonction;mixte;4.5;Grande stabilité émotionnelle ou froid intérieur selon le vécu. Maîtrise acquise dans le temps.
Lune;Pluton;conjonction;mixte;5;Ressenti profond, intuition extrême. Peut tourner à l’obsession affective si mal vécue.
Mercure;Mars;conjonction;mixte;4;Esprit vif, parole tranchante. Force d’action mentale mais risque de dureté.
Mercure;Pluton;conjonction;mixte;4.5;Intelligence psychologique, lucidité pénétrante. Peut devenir manipulatrice si non conscientisée.
Venus;Mars;conjonction;mixte;4.5;Passion, charme, intensité affective. Peut alterner entre attraction et agacement.
Venus;Pluton;conjonction;mixte;5;Amour absolu, passion transformatrice. Peut tourner à la dépendance affective si non équilibrée.
Mars;Saturne;conjonction;mixte;5;Force de volonté, endurance exceptionnelle. Peut donner frustration ou rigidité si bloquée.
Mars;Pluton;conjonction;mixte;5;Energie volcanique, transformation par l’action. Risque de dureté ou d’auto-destruction s’il n’y a pas de conscience.
Jupiter;Saturne;conjonction;mixte;4;Équilibre entre foi et réalisme. Vision pragmatique, mais parfois auto-limitation.
Saturne;Uranus;conjonction;mixte;4.5;Réforme structurée. Besoin de liberté dans le cadre. Risque de tension interne si refoulé.
Saturne;Neptune;conjonction;mixte;4;Réalisme spirituel. Peut s’épuiser à concilier idéal et devoir.
Saturne;Pluton;conjonction;mixte;5;Reconstruction profonde. Force intérieure extrême. Peut traverser des crises avant de renaître.
