PLANETE_1,PLANETE_2,ASPECTS,TYPE,SCORE,COMMENTAIRE
Venus,Pluton,"conjonction, carré, opposition",defis,5,"Passion absolue, jalousie, fusion ou contrôle. Relations intenses et transformatrices, souvent karmiques ou obsessionnelles."
Mars,Jupiter,"carré, opposition",defis,3.5,"Excès d’énergie, impulsivité dans l’action, excès de confiance. Tendance à imposer son point de vue. Peut être orgueilleux ou dispersé."
Mars,Saturne,"conjonction, carré, opposition",defis,5,"Tension extrême entre action et blocage. Frustration, colère contenue, peur d’agir. Conjonction très lourde ici : elle bloque l’élan vital ou crée une rage froide."
Mars,Neptune,"conjonction, carré, opposition",defis,4,"Conflit entre énergie et confusion. Difficulté à canaliser la volonté, fuite dans le rêve ou dispersion. Conjonction = flou sur la motivation, parfois épuisement."
Mars,Uranus,"conjonction, carré, opposition",defis,4.5,"Instinct explosif, réactions brusques, ruptures soudaines. Grande tension nerveuse. Conjonction = orage intérieur permanent, imprévisible."
Mars,Pluton,"conjonction, carré, opposition",defis,5,"Puissance brute, domination, risque d’abus de force. Colère refoulée ou destructrice. Conjonction = fusion de pulsions instinctives et volonté de pouvoir. Très transformateur, mais extrême."
Jupiter,Saturne,"conjonction, carré, opposition",defis,4.5,"Conflit entre expansion et restriction. Alternance entre excès et blocage, entre foi et peur de l’échec. conjonction : idéalisme bridé, discipline forcée."
Jupiter,Neptune,"conjonction, carré, opposition",defis,4,"Idéalisation excessive, fuite dans la croyance ou la spiritualité. Dilemme entre foi et réalité. Conjonction = confusion morale, quête d’absolu."
Jupiter,Uranus,"conjonction, carré, opposition",defis,3.5,"Enthousiasme anarchique, impatience, besoin de liberté sans mesure. Peut donner des éclats brillants mais instables. Conjonction = tension entre indépendance et excès."
Jupiter,Pluton,"conjonction, carré, opposition",defis,4.5,"Obsession de pouvoir, ambition sans limite. Rapport complexe au succès, tentation de “tout ou rien”. Conjonction = ambition extrême, crise d’intégrité ou chute possible."
Saturne,Neptune,"conjonction, carré, opposition",defis,4.5,"Conflit entre réalité et idéal. Perte de repères, désillusion, période de confusion morale ou professionnelle. Peut donner des crises de foi ou de sens. Conjonction = flou entre discipline et lâcher-prise, sentiment d’inertie ou de vide."
Saturne,Uranus,"conjonction, carré, opposition",defis,5,Tension entre conservatisme et rébellion. Besoin de liberté vs peur du chaos. Aspect des grandes révolutions de vie : rupture avec l’ancien cadre. Conjonction = choc interne entre structure et indépendance.
Saturne,Pluton,"conjonction, carré, opposition",defis,5,"Aspect de reconstruction radicale. Effondrement d’un système (pro, relationnel, psychique) suivi d’une renaissance. Conjonction = concentration extrême, volonté de contrôle ou épreuve de puissance. Karmique et transformateur."
Neptune,Uranus,"conjonction, carré, opposition",defis,2.5,Tension entre intuition et liberté. Visionnaire mais instable. Conjonction = potentiel créatif mais difficile à canaliser.
Neptune,Pluton,"conjonction, carré, opposition",defis,2.5,"Crise spirituelle générationnelle. Doute face aux valeurs collectives, perte de repères. Aspect de mutation culturelle ou mystique."
Uranus,Pluton,"conjonction, carré, opposition",defis,3,"Révolte intérieure, transformation radicale. Génération du “tout changer” ou de la résistance au pouvoir. Conjonction = grande intensité révolutionnaire."
