PLANETE;PLANETE;ORBE_MAX;SCORE;TYPE;COMMENTAIRE;
Pluton;MC;8;5.0;mixte;Pouvoir professionnel majeur, influence publique intense, transformation de la société (force) / Luttes de pouvoir, chutes brutales, ambition dévorante (défi);
Soleil;DESC;8;4.5;mixte;Partenaires solaires/charismatiques, besoin de briller dans le couple (force) / Éclipsé par l'autre, dépendance à la reconnaissance relationnelle (défi);
Lune;DESC;8;5.0;force;Besoin émotionnel profond de partenariat, empathie relationnelle, partenaires nourriciers;
Mercure;DESC;8;4.0;force;Communication dans le couple essentielle, partenaires intellectuels, échanges constants;
Venus;DESC;8;5.0;force;Mariage heureux, partenaires charmants, harmonie relationnelle naturelle, couple comme priorité;
Mars;DESC;8;4.5;mixte;Passion relationnelle intense, désir ardent (force) / Conflits permanents, guerre dans le couple (défi);
Jupiter;DESC;8;4.5;force;Partenaires généreux, expansion par les relations, mariage chanceux, croissance mutuelle;
Saturne;DESC;8;5.0;defis;Partenaires matures/âgés, engagement tardif, leçons karmiques relationnelles, peur du couple;
Uranus;DESC;8;4.5;mixte;Partenaires atypiques, couple libre (force) / Instabilité relationnelle, ruptures soudaines (défi);
Neptune;DESC;8;5.0;mixte;Amour idéalisé, fusion amoureuse (force) / Illusions sur le partenaire, sacrifice excessif (défi);
Pluton;DESC;8;5.0;mixte;Relations transformatrices, intensité du couple (force) / Luttes de pouvoir, manipulation, jalousie (défi);
Soleil;FC;8;4.5;force;Identité ancrée dans les racines, fierté familiale, foyer comme source de vitalité;
Lune;FC;8;5.0;force;Ancrage émotionnel profond, foyer nourricier essentiel, connexion aux ancêtres, mère centrale;
Mercure;FC;8;4.0;force;Communication familiale, mémoire des racines, archives familiales, transmission orale;
Venus;FC;8;4.5;force;Foyer harmonieux, amour du nid, beauté domestique, valeurs familiales solides;
Mars;FC;8;4.5;defis;Conflits familiaux, colère héritée, violence domestique possible, besoin de pacifier les racines;
Jupiter;FC;8;4.5;force;Foyer expansif, chance familiale, générosité des ancêtres, transmission positive;
Saturne;FC;8;5.0;defis;Lourdeur familiale, responsabilités précoces, parent absent/rigide, racines à reconstruire;
Uranus;FC;8;4.5;defis;Instabilité familiale, rupture avec les racines, foyer non-conventionnel, déracinement;
Neptune;FC;8;5.0;mixte;Sensibilité spirituelle héritée, foyer artistique (force) / Secrets familiaux, parent absent, racines floues (défi);
Pluton;FC;8;5.0;defis;Secrets familiaux lourds, trauma générationnel, héritage toxique, parent destructeur/absent;
Lune Noire;ASC;4;4;mixte;"Part d’ombre exposée. Besoin d’assumer sa singularité et ses zones taboues. Défi : ne pas chercher à plaire à tout prix ; force : magnétisme naturel et présence authentique.";
Lune Noire;MC;4;4;mixte;"Ambition marquée par la provocation ou la transgression. Défi : éviter l’autosabotage par peur du jugement ; force : influence publique unique quand tu assumes ton pouvoir sans masque.";
Lune Noire;DESC;4;4;mixte;"L’ombre se manifeste dans la relation. Attire des partenaires miroir de tes blessures inconscientes. Défi : sortir des rapports de pouvoir ; force : relations d’une rare profondeur quand la conscience est présente.";
Lune Noire;FC;4;4;mixte;"Mémoires familiales intenses, tabous ou secrets transmis. Défi : guérir la honte ou la culpabilité héritée ; force : grande lucidité émotionnelle et capacité de régénération intérieure.";
