PLANETE_1;PLANETE_2;ASPECTS;TYPE;SCORE;COMMENTAIRE;
Vénus;Mars;trigone, sextile;force;4.5;Équilibre entre désir et tendresse. Charme magnétique, sensualité naturelle. Passion harmonieuse, élan amoureux bien canalisé.;
Vénus;Mars;conjonction;mixte;4.5;Passion, charme, intensité affective. Peut alterner entre attraction et agacement, entre désir et douceur.;
Vénus;Jupiter;conjonction, trigone, sextile;force;5;Générosité affective, joie de vivre, chaleur du cœur. Aspect d’abondance et de chance relationnelle. Magnétisme social et créativité.;
Vénus;Saturne;trigone, sextile;force;4;Stabilité affective, fidélité, amour durable. Capacité à construire sur la durée sans perdre la tendresse. Maturité émotionnelle.;
Vénus;Neptune;conjonction, trigone, sextile;force;4.5;Amour spirituel, romantisme, compassion. Don artistique, imagination fertile. Fusion sensible sans perte de soi.;
Vénus;Uranus;trigone, sextile;force;4;Charme original, amour libre et conscient. Capacité à aimer sans dépendance. Créativité relationnelle moderne.;
Vénus;Pluton;trigone, sextile;force;5;Intensité amoureuse profonde. Pouvoir de transformation par l’amour. Magnétisme puissant, passion vécue avec conscience.;
Vénus;Pluton;conjonction;mixte;5;Passion absolue, amour transformateur. Magnétisme intense. Peut tourner à la dépendance affective si non équilibrée. risque d’obsession ou de contrôle.;
Venus;Rahu;trigone, sextile;force;3.5;Charme exotique, amours karmiques positives.;
Venus;Ketu;trigone, sextile;force;3;Amour détaché, relations spirituelles.;
Mars;Jupiter;carré, opposition;defis;3.5;Excès d’énergie, impulsivité dans l’action, excès de confiance. Tendance à imposer son point de vue. Peut être orgueilleux ou dispersé.;
Mars;Saturne;conjonction, carré, opposition;defis;5;Tension extrême entre action et blocage. Frustration, colère contenue, peur d’agir. Conjonction très lourde ici : elle bloque l’élan vital ou crée une rage froide.;
Mars;Neptune;carré, opposition;defis;4;Conflit entre énergie et confusion. Difficulté à canaliser la volonté, fuite dans le rêve ou dispersion. Conjonction = flou sur la motivation, parfois épuisement.;
Mars;Neptune;conjonction;mixte;4;Courage inspiré ou confusion sur les buts. L’énergie devient floue ou épuisante sans vision claire.;
Mars;Uranus;carré, opposition;defis;4.5;Instinct explosif, réactions brusques, ruptures soudaines. Grande tension nerveuse. Conjonction = orage intérieur permanent, imprévisible.;
Mars;Uranus;conjonction;mixte;4.5;Audace explosive, énergie imprévisible. Potentiel de libération ou d’accident si mal canalisée.;
Mars;Pluton;conjonction, carré, opposition;defis;5;Puissance brute, domination, risque d’abus de force. Colère refoulée ou destructrice. Conjonction = fusion de pulsions instinctives et volonté de pouvoir. Très transformateur, mais extrême.;
Mars;Rahu;conjonction;defis;4.5;Énergie explosive, impulsivité karmique. Tu fonces sans filet, poussé(e) par une ambition ou un désir de victoire. Le défi : apprendre la stratégie sans perdre la flamme.;
Mars;Ketu;conjonction;defis;4;Action intériorisée, volonté dispersée. Difficulté à affirmer ton pouvoir sans conflit ou fatigue. Le défi : redéfinir le rapport à la colère et à l’action juste.;
Mars;Rahu;carré;defis;4.5;Conflit entre pulsion d’agir (Rahu) et retrait ou découragement (Ketu). Alternance entre explosion et inhibition. Le défi : canaliser ton feu sans le retourner contre toi.;
Mars;Jupiter;conjonction, trigone, sextile;force;4.5;Enthousiasme, dynamisme, ambition expansive. Foi en soi, esprit de conquête positif. Capacité à mobiliser les autres.;
Mars;Saturne;trigone, sextile;force;4.5;Discipline et endurance. Capacité à structurer l’action et à atteindre ses objectifs. force tranquille, courage maîtrisé.;
Mars;Saturne;conjonction;mixte;5;Force de volonté, endurance exceptionnelle. Peut donner frustration ou rigidité si bloquée.;
Mars;Neptune;trigone, sextile;force;4;Action inspirée, créativité incarnée. Courage subtil, capacité à agir selon l’intuition. Aspect des artistes engagés.;
Mars;Uranus;trigone, sextile;force;4.5;Réactivité, audace, esprit d’innovation. Action rapide et visionnaire. Initiative indépendante et originale.;
Mars;Pluton;trigone, sextile;force;5;Puissance maîtrisée, transformation par l’action. Grande force intérieure, magnétisme et instinct de survie élevé.;
Mars;Pluton;conjonction;mixte;5;Puissance d'action phénoménale. Force de transformation. Energie volcanique, transformation par l’action. Risque de dureté ou d’auto-destruction s’il n’y a pas de conscience. Peut basculer en violence ou en obsession de pouvoir.;
Mars;Rahu;trigone, sextile;force;3.5;Action ambitieuse, courage d'innover.;
Mars;Ketu;trigone, sextile;force;3;Action détachée, courage spirituel.;
Jupiter;Saturne;carré, opposition;defis;3.5;Conflit entre expansion et restriction. Alternance entre excès et blocage, entre foi et peur de l’échec. conjonction : idéalisme bridé, discipline forcée.;
Jupiter;Saturne;conjonction;mixte;3.5;Sens du devoir et ambition solide, mais peur de l’échec ou auto-censure morale.;
Jupiter;Neptune;carré, opposition;defis;2.5;Idéalisation excessive, fuite dans la croyance ou la spiritualité. Dilemme entre foi et réalité. Conjonction = confusion morale, quête d’absolu.;
Jupiter;Neptune;conjonction;mixte;2.5;Idéalisme inspiré et compassion, mais tendance à se perdre dans les croyances ou l’utopie.;
Jupiter;Uranus;carré, opposition;defis;3;Enthousiasme anarchique, impatience, besoin de liberté sans mesure. Peut donner des éclats brillants mais instables. Conjonction = tension entre indépendance et excès.;
Jupiter;Uranus;conjonction;mixte;3;Esprit novateur et visionnaire, mais impulsivité et excès de liberté.;
Jupiter;Pluton;carré, opposition;defis;3;Obsession de pouvoir, ambition sans limite. Rapport complexe au succès, tentation de “tout ou rien”. Conjonction = ambition extrême, crise d’intégrité ou chute possible.;
Jupiter;Pluton;conjonction;mixte;3;Ambition extrême et force de conviction, mais risque d’orgueil ou de chute de pouvoir.;
Jupiter;Rahu;conjonction;defis;4.5;Expansion démesurée, foi en soi parfois excessive. Risque de tout vouloir comprendre ou conquérir. Le défi : cultiver la sagesse de la mesure et la foi intérieure plutôt que la quête d’approbation.;
Jupiter;Ketu;conjonction;defis;4;Idéalisme mystique, rejet du dogme. Tu cherches une vérité absolue mais risques de t’isoler dans ta vision. Le défi : trouver la foi dans la simplicité, sans fuite spirituelle.;
Jupiter;Rahu;carré;defis;4.5;Crise de sens : entre soif d’expansion (Rahu) et désillusion spirituelle (Ketu). Excès d’idéaux ou perte de repères. Le défi : apprendre la foi incarnée, qui allie conviction et discernement.;
Jupiter;Saturne;trigone, sextile;force;3.5;Équilibre entre foi et réalisme. Ambition mesurée, réussite construite. Stabilité morale et maturité dans les choix.;
Jupiter;Saturne;conjonction;force;4;Équilibre entre foi et réalisme. Vision pragmatique, mais parfois auto-limitation.;
Jupiter;Neptune;conjonction, trigone, sextile;force;2.0;Idéalisme inspiré, compassion, spiritualité fluide. Vision mystique ou humaniste constructive.;
Jupiter;Uranus;conjonction, trigone, sextile;force;2.5;Ouverture d’esprit, innovation sociale. Capacité à inspirer et à libérer les consciences. Esprit avant-gardiste.;
Jupiter;Pluton;conjonction, trigone, sextile;force;2.5;Pouvoir d’influence, transformation par la foi et la connaissance. Charisme magnétique, force de conviction.;
Jupiter;Rahu;trigone, sextile;force;3.5;Expansion karmique favorable. Foi en la destinée.;
Jupiter;Ketu;trigone, sextile;force;3;Sagesse spirituelle, détachement de l'expansion matérielle.;
Saturne;Rahu;conjonction;defis;4.5;Ambition implacable, besoin de contrôle sur la réussite. Risque d’épuisement à force de vouloir prouver ta valeur. Le défi : apprendre la patience et la confiance dans le temps long.;
Saturne;Ketu;conjonction;defis;4;Détachement du monde matériel, posture de retrait ou d’ascèse. Tu peux rejeter les contraintes jusqu’à t’exclure du réel. Le défi : redéfinir la discipline comme liberté, non comme punition.;
Saturne;Rahu;carré;defis;4.5;Tension entre ambition et lâcher-prise. D’un côté, l’envie de bâtir (Rahu), de l’autre, la peur ou le refus de s’impliquer (Ketu). Le défi : équilibrer effort et acceptation, rigueur et foi.;
Saturne;Neptune;carré, opposition;defis;1.5;Conflit entre réalité et idéal. Perte de repères, désillusion, période de confusion morale ou professionnelle. Peut donner des crises de foi ou de sens. Conjonction = flou entre discipline et lâcher-prise, sentiment d’inertie ou de vide.;
Saturne;Uranus;carré, opposition;defis;3;Tension entre conservatisme et rébellion. Besoin de liberté vs peur du chaos. Aspect des grandes révolutions de vie : rupture avec l’ancien cadre. Conjonction = choc interne entre structure et indépendance.;
Saturne;Pluton;carré, opposition;defis;3;Aspect de reconstruction radicale. Effondrement d’un système (pro, relationnel, psychique) suivi d’une renaissance. Conjonction = concentration extrême, volonté de contrôle ou épreuve de puissance. Karmique et transformateur.;
Saturne;Neptune;trigone, sextile;force;1.5;Capacité à donner forme à l’inspiration. Créativité ancrée, spiritualité réaliste. Union entre rêve et construction.;
Saturne;Neptune;conjonction;mixte;1.5;"Réalisme spirituel. Peut s’épuiser à concilier idéal et devoir. Discipline et idéal se mêlent ; possible flou entre foi et devoir, créativité bridée.";
Saturne;Uranus;trigone, sextile;force;2;Esprit d’innovation structuré. Capacité à réformer sans tout casser. Discipline souple et vision moderne.;
Saturne;Uranus;conjonction;mixte;2;Réforme intérieure entre liberté et cadre. Peut libérer ou casser la structure.;
Saturne;Pluton;trigone, sextile;force;2;Pouvoir de reconstruction. Endurance psychique, force dans l’adversité. Leadership silencieux et profond.;
Saturne;Pluton;conjonction;mixte;2;Reconstruction profonde. Force intérieure extrême. Peut traverser des crises avant de renaître. Force de reconstruction, intensité de contrôle ou de résilience. Transformation profonde.;
Saturne;Rahu;trigone, sextile;force;3;Structure karmique favorable. Ambition disciplinée.;
Saturne;Ketu;trigone, sextile;force;3;Maturité spirituelle, acceptation des limitations.;
Neptune;Uranus;carré, opposition;defis;1;Tension entre intuition et liberté. Visionnaire mais instable. Conjonction = potentiel créatif mais difficile à canaliser.;
Neptune;Uranus;conjonction;mixte;1;Vision intuitive et innovante, mais risque d’instabilité mentale ou d’idéalisme excessif.;
Neptune;Pluton;carré, opposition;defis;1;Crise spirituelle générationnelle. Doute face aux valeurs collectives, perte de repères. Aspect de mutation culturelle ou mystique.;
Neptune;Pluton;conjonction;mixte;1;Transformation spirituelle profonde, mais possible crise de foi ou perte de repères collectifs.;
Neptune;Uranus;trigone, sextile;force;1;Intuition visionnaire, génie spirituel. Créativité innovante, sensibilité collective futuriste.;
Neptune;Pluton;trigone, sextile;force;1;Transformation spirituelle, compassion puissante. Connexion mystique profonde. Intuition de guérison collective.;
Uranus;Pluton;carré, opposition;defis;1;Révolte intérieure, transformation radicale. Génération du “tout changer” ou de la résistance au pouvoir. Conjonction = grande intensité révolutionnaire.;
Uranus;Pluton;conjonction ;mixte;1;Révolution intérieure intense. Puissance de transformation, mais tension entre chaos et libération.;
Uranus;Pluton;trigone, sextile;force;1;Transformation radicale, puissance visionnaire. Capacité à libérer profondément. Réformateur né.;
